Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,
P,Benoit Paire (14165349),Benoit Paire,14165349,P,5900,Cilic@Paire 01/21/2020 09:30PM ET,Paire,60.13,0.347222222222222,0,188,,,0.347222222222222
P,Tommy Paul (14165350),Tommy Paul,14165350,P,5700,Dimitrov@Paul 01/21/2020 09:30PM ET,Paul,64.74,0.317460317460317,0,215,,,0.317460317460317
P,Greet Minnen (14165351),Greet Minnen,14165351,P,5600,Rybakina@Minnen 01/21/2020 09:35PM ET,Minnen,36.42,0.32258064516129,0,210,,,0.32258064516129
P,Marc Polmans (14165352),Marc Polmans,14165352,P,5500,Lajovic@Polmans 01/21/2020 11:30PM ET,Polmans,72.1,0.263157894736842,0,280,,,0.263157894736842
P,Fiona Ferro (14165353),Fiona Ferro,14165353,P,5400,Ferro@Wang 01/22/2020 12:15AM ET,Ferro,52.35,0.285714285714286,0,250,,,0.285714285714286
P,Nao Hibino (14165354),Nao Hibino,14165354,P,5300,Sakkari@Hibino 01/21/2020 11:30PM ET,Hibino,58.3,0.25974025974026,0,285,,,0.25974025974026
P,Cristian Garin (14165355),Cristian Garin,14165355,P,5100,Raonic@Garin 01/21/2020 10:15PM ET,Garin,56.72,0.307692307692308,0,225,,,0.307692307692308
P,Tennys Sandgren (14165356),Tennys Sandgren,14165356,P,4900,Sandgren@Berrettini 01/21/2020 09:30PM ET,Sandgren,54.38,0.253164556962025,0,295,,,0.253164556962025
P,Barbora Krejcikova (14165357),Barbora Krejcikova,14165357,P,4700,Krejcikova@Alexandrova 01/21/2020 08:15PM ET,Krejcikova,54.9,0.24390243902439,0,310,,,0.24390243902439
P,Alejandro Davidovich Fokina (14165358),Alejandro Davidovich Fokina,14165358,P,4500,Davidovich Fokina@Schwartzman 01/21/2020 09:30PM ET,Davidovich Fokina,42.6,0.208333333333333,0,380,,,0.208333333333333
P,Philipp Kohlschreiber (14165359),Philipp Kohlschreiber,14165359,P,4400,Kohlschreiber@Tsitsipas 01/21/2020 10:05PM ET,Kohlschreiber,89.7,0.166666666666667,0,500,,,0.166666666666667
P,Michael Mmoh (14165360),Michael Mmoh,14165360,P,4300,Bautista-Agut@Mmoh 01/21/2020 11:30PM ET,Mmoh,58.05,0.153846153846154,0,550,,,0.153846153846154
P,Polona Hercog (14165361),Polona Hercog,14165361,P,4200,Hercog@Barty 01/21/2020 08:15PM ET,Hercog,74.2,0.142857142857143,0,600,,,0.142857142857143
P,Arantxa Rus (14165362),Arantxa Rus,14165362,P,4000,Rus@Keys 01/22/2020 05:00AM ET,Rus,52.25,0.1,0,900,,,0.1
P,Filip Krajinovic (14165363),Filip Krajinovic,14165363,P,3700,Federer@Krajinovic 01/22/2020 04:15AM ET,Krajinovic,48.77,0.0625,0,1500,,,0.0625
P,Tamara Zidansek (14165364),Tamara Zidansek,14165364,P,3200,Williams@Zidansek 01/22/2020 03:00AM ET,Zidansek,40.78,0.047619047619048,0,2000,,,0.047619047619048
