Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40144-59218,W,David,David Pastrnak,Pastrnak,27.057141985212052,14,9200,BOS@MON,BOS,MON,,,,,
40144-8193,G,Tuukka,Tuukka Rask,Rask,28.799999237060547,8,9100,BOS@MON,BOS,MON,,,,,
40144-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,20.49230722280649,13,8900,VGK@CBJ,VGK,CBJ,,,,,
40144-41391,C,Nathan,Nathan MacKinnon,MacKinnon,20.514286586216517,14,8800,COL@DAL,COL,DAL,,,,,
40144-8763,W,Brad,Brad Marchand,Marchand,24.207142421177455,14,8700,BOS@MON,BOS,MON,,,,,
40144-70635,G,David,David Rittich,Rittich,20.49230722280649,13,8600,ARI@CGY,CGY,ARI,,,,,
40144-70899,C,Auston,Auston Matthews,Matthews,18.64000040690104,15,8600,LA@TOR,TOR,LA,,,,,
40144-8452,G,Carey,Carey Price,Price,19.418182373046875,11,8500,BOS@MON,MON,BOS,,,,,
40144-14466,G,Darcy,Darcy Kuemper,Kuemper,23.839999389648437,10,8400,ARI@CGY,ARI,CGY,,,,,
40144-8883,G,Ben,Ben Bishop,Bishop,16.363636363636363,11,8400,COL@DAL,DAL,COL,,,,,
40144-15339,G,Jordan,Jordan Binnington,Binnington,19.46666717529297,12,8400,STL@VAN,STL,VAN,,,,,
40144-8453,G,Jaroslav,Jaroslav Halak,Halak,22.933334350585938,6,8300,BOS@MON,BOS,MON,,,,,
40144-8732,G,Semyon,Semyon Varlamov,Varlamov,22.74285670689174,7,8300,OTT@NYI,NYI,OTT,,,,,
40144-23072,G,Frederik,Frederik Andersen,Andersen,18.181818181818183,11,8300,LA@TOR,TOR,LA,,,,,
40144-15268,G,John,John Gibson,Gibson,20.46666717529297,12,8200,MIN@ANH,ANH,MIN,,,,,
40144-12628,W,Mark,Mark Stone,Stone,17.326666259765624,15,8100,VGK@CBJ,VGK,CBJ,,,,,
40144-8633,G,Thomas,Thomas Greiss,Greiss,22.857142857142858,7,8100,OTT@NYI,NYI,OTT,,,,,
40144-8212,G,Ryan,Ryan Miller,Miller,19.360000610351562,5,8000,MIN@ANH,ANH,MIN,,,,,
40144-12697,G,Philipp,Philipp Grubauer,Grubauer,20.480000305175782,10,8000,COL@DAL,COL,DAL,,,,,
40144-15400,G,Petr,Petr Mrazek,Mrazek,21.422222561306423,9,8000,CAR@PHI,CAR,PHI,,,,,
40144-66737,W,Mikko,Mikko Rantanen,Rantanen,18.266665988498264,9,8000,COL@DAL,COL,DAL,IR,Lower body,,,
40144-8175,C,Patrice,Patrice Bergeron,Bergeron,17.185714721679688,14,8000,BOS@MON,BOS,MON,,,,,
40144-12283,G,Jacob,Jacob Markstrom,Markstrom,19.02222188313802,9,8000,STL@VAN,VAN,STL,,,,,
40144-70251,G,Thatcher,Thatcher Demko,Demko,24.160000610351563,5,7900,STL@VAN,VAN,STL,,,,,
40144-8262,W,Patrick,Patrick Kane,Kane,13.776923546424278,13,7800,CHI@SJ,CHI,SJ,,,,,
40144-43131,G,Malcolm,Malcolm Subban,Subban,6.800000190734863,2,7800,VGK@CBJ,VGK,CBJ,,,,,
40144-8394,C,Anze,Anze Kopitar,Kopitar,14.114286150251116,14,7800,LA@TOR,LA,TOR,,,,,
40144-66683,W,Mitchell,Mitchell Marner,Marner,16.259999593098957,15,7800,LA@TOR,TOR,LA,,,,,
40144-58909,G,Connor,Connor Hellebuyck,Hellebuyck,22.327273282137785,11,7800,NJ@WPG,WPG,NJ,,,,,
40144-12417,C,Tyler,Tyler Seguin,Seguin,11.012499809265137,16,7700,COL@DAL,DAL,COL,,,,,
40144-8864,G,Robin,Robin Lehner,Lehner,21.100000381469727,8,7700,CHI@SJ,CHI,SJ,,,,,
40144-40050,G,Antti,Antti Raanta,Raanta,19.399999618530273,4,7700,ARI@CGY,ARI,CGY,,,,,
40144-70900,W,Patrik,Patrik Laine,Laine,15.846153846153847,13,7700,NJ@WPG,WPG,NJ,,,,,
40144-12410,W,Taylor,Taylor Hall,Hall,14.608333587646484,12,7600,NJ@WPG,NJ,WPG,,,,,
40144-83213,G,Pavel,Pavel Francouz,Francouz,20,4,7600,COL@DAL,COL,DAL,,,,,
40144-14468,G,Anders,Anders Nilsson,Nilsson,19.599999745686848,6,7500,OTT@NYI,OTT,NYI,,,,,
40144-73938,G,Carter,Carter Hart,Hart,8.699999809265137,8,7500,CAR@PHI,PHI,CAR,,,,,
40144-23071,W,Vladimir,Vladimir Tarasenko,Tarasenko,14.63000030517578,10,7500,STL@VAN,STL,VAN,IR,Shoulder,,,
40144-8893,G,Anton,Anton Khudobin,Khudobin,16.933333079020183,6,7500,COL@DAL,DAL,COL,,,,,
40144-54065,G,Joonas,Joonas Korpisalo,Korpisalo,13.01818154074929,11,7500,VGK@CBJ,CBJ,VGK,,,,,
40144-15321,C,Mark,Mark Scheifele,Scheifele,13.413333129882812,15,7500,NJ@WPG,WPG,NJ,,,,,
40144-58904,G,Aaron,Aaron Dell,Dell,9.59999974568685,6,7500,CHI@SJ,SJ,CHI,,,,,
40144-8273,G,Corey,Corey Crawford,Crawford,11.59999974568685,6,7400,CHI@SJ,CHI,SJ,,,,,
40144-8494,C,John,John Tavares,Tavares,11.425000190734863,8,7400,LA@TOR,TOR,LA,,,,,
40144-8553,G,Brian,Brian Elliott,Elliott,12.800000190734863,8,7400,CAR@PHI,PHI,CAR,,,,,
