Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Roger Federer (13605307),Roger Federer,13605307,P,10700,Gojowczyk@Federer 10/21/2019 01:00PM ET,Federer,68.32,-3168,0,-3335,-3000,,,,,1
P,Alex de Minaur (13605308),Alex de Minaur,13605308,P,10000,Dellien@de Minaur 10/21/2019 02:20PM ET,de Minaur,52.5,-1225,0,-1250,-1200,,,,,1
P,Matteo Berrettini (13605309),Matteo Berrettini,13605309,P,9300,Edmund@Berrettini 10/21/2019 09:20AM ET,Berrettini,56.4,-378,0,-375,-410,-350,,,,1
P,Grigor Dimitrov (13605310),Grigor Dimitrov,13605310,P,9000,Dzumhur@Dimitrov 10/21/2019 11:30AM ET,Dimitrov,46.13,-272,0,-275,-270,-270,,,,1
P,Diego Sebastian Schwartzman (13605311),Diego Sebastian Schwartzman,13605311,P,8900,Herbert@Schwartzman 10/21/2019 08:00AM ET,Schwartzman,50.45,-243,0,-245,-245,-240,,,,1
P,Benoit Paire (13605312),Benoit Paire,13605312,P,8600,Laaksonen@Paire 10/21/2019 02:30PM ET,Paire,46.82,-203,0,-210,-200,-200,,,,0
P,Jan-Lennard Struff (13605313),Jan-Lennard Struff,13605313,P,8300,Kecmanovic@Struff 10/21/2019 01:00PM ET,Struff,51.62,-172,0,-177,-174,-165,,,,1
P,Karen Khachanov (13605314),Karen Khachanov,13605314,P,8100,Khachanov@Hurkacz 10/21/2019 12:50PM ET,Khachanov,46.4,-152,0,-148,-152,-155,,,,1
P,Marton Fucsovics (13605315),Marton Fucsovics,13605315,P,7900,Sonego@Fucsovics 10/21/2019 09:00AM ET,Fucsovics,44.31,-144,0,-143,-148,-140,,,,1
P,Lorenzo Sonego (13605316),Lorenzo Sonego,13605316,P,7400,Sonego@Fucsovics 10/21/2019 09:00AM ET,Sonego,45.66,121,0,116,126,120,,,,0
P,Hubert Hurkacz (13605317),Hubert Hurkacz,13605317,P,7100,Khachanov@Hurkacz 10/21/2019 12:50PM ET,Hurkacz,47.85,128,0,118,132,135,,,,0
P,Miomir Kecmanovic (13605318),Miomir Kecmanovic,13605318,P,6700,Kecmanovic@Struff 10/21/2019 01:00PM ET,Kecmanovic,46.91,144,0,140,148,145,,,,0
P,Henri Laaksonen (13605319),Henri Laaksonen,13605319,P,6300,Laaksonen@Paire 10/21/2019 02:30PM ET,Laaksonen,38.08,168,0,165,170,170,,,,1
P,Pierre-Hugues Herbert (13605320),Pierre-Hugues Herbert,13605320,P,6100,Herbert@Schwartzman 10/21/2019 08:00AM ET,Herbert,43.54,197,0,190,200,200,,,,0
P,Damir Dzumhur (13605321),Damir Dzumhur,13605321,P,5900,Dzumhur@Dimitrov 10/21/2019 11:30AM ET,Dzumhur,36.08,220,0,210,220,230,,,,0
P,Kyle Edmund (13605322),Kyle Edmund,13605322,P,5300,Edmund@Berrettini 10/21/2019 09:20AM ET,Edmund,41.24,297,0,280,320,290,,,,0
P,Hugo Dellien (13605323),Hugo Dellien,13605323,P,4800,Dellien@de Minaur 10/21/2019 02:20PM ET,Dellien,41.63,720,0,750,690,,,,,0
P,Peter Gojowczyk (13605324),Peter Gojowczyk,13605324,P,4500,Gojowczyk@Federer 10/21/2019 01:00PM ET,Gojowczyk,36.63,1525,0,1400,1650,,,,,0
