name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Tyrone Wallace,4500,LAC,SG,DEN,316781,70395,139019,30893,227900,50644,1
Jordan Clarkson,5000,CLE,SG,BKN,324860,64972,114140,22828,219500,43900,0
Allen Crabbe,5300,BKN,SF,CLE,297976,56221,140224,26457,219100,41339,0,=(h53-$h$65)/(b53-$b$65)
Jeremy Lamb,4800,CHA,SF,CHI,291330,60693,140270,29222,215799,44958,0,=(h54-$h$65)/(b54-$b$65)
George Hill,4600,CLE,PG,BKN,314922,68461,116478,25321,215700,46891,0
Larry Nance,5800,CLE,PF,BKN,301015,51899,119985,20687,210500,36293,0
Marcin Gortat,4700,WAS,C,MIL,291344,61988,127856,27203,209600,44595,0
Dwyane Wade,4200,MIA,SG,PHI,294690,70164,123310,29359,209000,49761,0
Jabari Parker,4500,MIL,PF,WAS,281656,62590,132544,29454,207100,46022,0
Tyler Johnson,4700,MIA,PG,PHI,284556,60543,127844,27200,206200,43872,0
Denzel Valentine,4000,CHI,SF,CHA,283176,70794,127224,31806,205200,51300,0,=(h61-$h$65)/(b61-$b$65)
Rodney Hood,4500,CLE,SG,BKN,281436,62541,117764,26169,199600,44355,0
Wilson Chandler,5600,DEN,SF,LAC,289372,51673,107028,19112,198200,35392,0,=(h63-$h$65)/(b63-$b$65)
Tristan Thompson,4800,CLE,C,BKN,281302,58604,114898,23937,198100,41270,0
Cedi Osman,3600,CLE,SF,BKN,352800,98000,39200,10888,196000,54444,1
Maurice Harkless,4300,POR,SF,SAC,307680,71553,76920,17888,192300,44720,0
Caris LeVert,4000,BKN,SG,CLE,259896,64974,122304,30576,191100,47775,0
Montrezl Harrell,4500,LAC,PF,DEN,290853,64634,89347,19854,190100,42244,0
J.R. Smith,4200,CLE,SG,BKN,279006,66430,100594,23950,189800,45190,0
Frank Kaminsky,4400,CHA,PF,CHI,274772,62448,101628,23097,188200,42772,0
Mason Plumlee,4300,DEN,PF,LAC,272165,63294,103234,24008,187700,43651,0
Marvin Williams,4100,CHA,PF,CHI,263952,64378,110448,26938,187200,45658,0
Trey Lyles,4400,DEN,PF,LAC,279750,63579,93250,21193,186500,42386,0
James Johnson,5000,MIA,PF,PHI,264836,52967,105564,21112,185200,37040,0
Kelly Olynyk,5100,MIA,PF,PHI,265968,52150,103432,20280,184700,36215,0
Cameron Payne,4100,CHI,PG,CHA,193662,47234,171738,41887,182700,44561,0
Ed Davis,3800,POR,PF,SAC,260783,68627,101416,26688,181100,47657,0
Shabazz Napier,4000,POR,PG,SAC,290790,72697,68210,17052,179500,44875,0
Marco Belinelli,3600,PHI,SG,MIA,259115,71976,98285,27301,178700,49638,0
T.J. McConnell,3600,PHI,PG,MIA,275808,76613,77792,21608,176800,49111,0
Michael Kidd-Gilchrist,4300,CHA,SF,CHI,259308,60304,93492,21742,176400,41023,0
Justise Winslow,4200,MIA,SF,PHI,248390,59140,99009,23573,173700,41357,0
Cody Zeller,3700,CHA,C,CHI,220211,59516,115989,31348,168100,45432,0
Wayne Ellington,3900,MIA,SG,PHI,245783,63021,88615,22722,167200,42871,0
Cristiano Da Silva Felicio,3900,CHI,C,CHA,275394,70613,56406,14463,165900,42538,0
Kyle Korver,3500,CLE,SG,BKN,242053,69158,78547,22442,160300,45800,0
Justin Jackson,4000,SAC,SF,POR,254178,63544,59622,14905,156900,39225,0
Tony Snell,3500,MIL,SG,WAS,230140,65754,80860,23102,155500,44428,0
Wesley Johnson,3500,LAC,SF,DEN,243036,69438,66564,19018,154800,44228,0
Joe Harris,3900,BKN,SF,CLE,211939,54343,97461,24990,154700,39666,0
Bam Adebayo,5000,MIA,PF,PHI,239304,47860,67496,13499,153400,30680,0
Michael Carter-Williams,3500,CHA,PG,CHI,218434,62409,74766,21361,146600,41885,0
Kosta Koufos,4200,SAC,C,POR,215138,51223,64262,15300,139700,33261,0
Milos Teodosic,3600,LAC,PG,DEN,187544,52095,88256,24515,137900,38305,0
Frank Mason,3500,SAC,PG,POR,194975,55707,75824,21664,135400,38685,0
Devin Harris,3800,DEN,SG,LAC,195216,51372,70384,18522,132800,34947,0
Ian Mahinmi,3900,WAS,C,MIL,215966,55375,44234,11342,130100,33359,0
Sterling Brown,3500,MIL,SG,WAS,197225,56350,47775,13650,122500,35000,0
Dante Cunningham,4200,BKN,SF,CLE,189813,45193,51987,12377,120900,28785,0
Evan Turner,3500,POR,SF,SAC,176368,50390,65232,18637,120800,34514,0
Noah Vonleh,3600,CHI,PF,CHA,213600,59333,26400,7333,120000,33333,0
Richaun Holmes,5100,PHI,C,MIA,177344,34773,40256,7893,108800,21333,0
Tim Frazier,3500,WAS,PG,MIL,165025,47150,39975,11421,102500,29285,0
Thon Maker,3800,MIL,C,WAS,148592,39103,52208,13738,100399,26421,0
Garrett Temple,4200,SAC,SG,POR,147408,35097,51792,12331,99600,23714,0
Mike Scott,3500,WAS,PF,MIL,157760,45074,39440,11268,98600,28171,0
Amir Johnson,3500,PHI,PF,MIA,147225,42064,47775,13650,97500,27857,0
Zach Collins,3500,POR,C,SAC,142299,40656,32301,9228,87300,24942,0
Sam Dekker,3500,LAC,SF,DEN,145123,41463,28677,8193,86900,24828,0
Jason Terry,3500,MIL,SG,WAS,154980,44280,17220,4920,86100,24600,0
Jodie Meeks,3500,WAS,SG,MIL,138713,39632,31487,8996,85100,24314,0
Treveon Graham,3500,CHA,SG,CHI,126542,36154,34658,9902,80600,23028,0
Pat Connaughton,3500,POR,SG,SAC,105138,30039,24662,7046,64900,18542,0
Tyler Zeller,3600,MIL,C,WAS,95807,26613,32793,9109,64300,17861,0
Trevor Booker,3500,PHI,PF,MIA,98560,28160,24640,7040,61600,17600,0
Quincy Acy,3800,BKN,PF,CLE,73059,19226,26341,6931,49700,13078,0
