name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Ryan Anderson,4500,HOU,PF,MIN,32.7736,7.28302,13.3864,2.97476,23.08,5.12889
Eric Gordon,6800,HOU,SG,MIN,43.9425,6.46213,21.1575,3.11140,32.55,4.78676
James Harden,10500,HOU,SG,MIN,43.911,4.182,27.489,2.618,35.7,3.4
P.J. Tucker,3700,HOU,SF,MIN,25.8735,6.99284,10.8265,2.92608,18.35,4.95946
Clint Capela,7500,HOU,C,MIN,47.0979,6.27972,25.9221,3.45628,36.51,4.868
Nene ,3600,HOU,C,MIN,17.9872,4.99644,6.6528,1.848,12.32,3.42222
Chris Paul,10400,HOU,PG,MIN,67.3152,6.47262,37.8648,3.64085,52.59,5.05673
Luc Richard Mbah a Moute,3500,HOU,PF,MIN,32.7205,9.34871,9.4995,2.71414,21.11,6.03143
Gorgui Dieng,3600,MIN,PF,HOU,23.5448,6.54022,7.4352,2.06533,15.49,4.30278
Nemanja Bjelica,3500,MIN,SF,HOU,10.7415,3.069,2.2785,0.651,6.51,1.86
Karl-Anthony Towns,9200,MIN,C,HOU,54.208,5.89217,30.492,3.31435,42.35,4.60326
Jimmy Butler,10000,MIN,SF,HOU,54.5084,5.45084,31.3316,3.13316,42.92,4.292
Shane Larkin,3500,BOS,PG,PHI,18.594,5.31257,2.066,0.590286,10.33,2.95143
Andrew Wiggins,6200,MIN,SG,HOU,38.6176,6.22865,21.7224,3.50361,30.17,4.86613
Jeff Teague,6800,MIN,PG,HOU,43.494,6.39618,22.406,3.295,32.95,4.84559
Tyus Jones,3500,MIN,PG,HOU,18.0785,5.16529,2.8215,0.806143,10.45,2.98571
Jamal Crawford,3500,MIN,SG,HOU,22.6656,6.47589,8.8144,2.5184,15.74,4.49714
Taj Gibson,5600,MIN,PF,HOU,34.3273,6.12988,17.2927,3.08798,25.81,4.60893
Victor Oladipo,9300,IND,SG,POR,55.432,5.96043,29.848,3.20946,42.64,4.58495
Thaddeus Young,5800,IND,PF,POR,34.7529,5.99188,17.5071,3.01847,26.13,4.50517
Maurice Harkless,3500,POR,SF,IND,10.0804,2.88011,2.6796,0.7656,6.38,1.82286
Jusuf Nurkic,6500,POR,C,IND,45.598,7.01508,19.542,3.00646,32.57,5.01077
Evan Turner,4000,POR,SF,IND,24.9696,6.2424,9.7104,2.4276,17.34,4.335
Pat Connaughton,3500,POR,SG,IND,16.944,4.84114,4.236,1.21029,10.59,3.02571
Ed Davis,3500,POR,PF,IND,18.6901,5.34003,7.4499,2.12854,13.07,3.73429
Al-Farouq Aminu,5600,POR,PF,IND,32.8596,5.86779,14.4204,2.57507,23.64,4.22143
Zach Collins,3500,POR,C,IND,16.1472,4.61349,2.4128,0.689371,9.28,2.65143
Shabazz Napier,4400,POR,PG,IND,32.1678,7.31086,7.7922,1.77095,19.98,4.54091
C.J. McCollum,8300,POR,SG,IND,41.1894,4.96258,24.1906,2.91453,32.69,3.93855
Damian Lillard,9400,POR,PG,IND,50.2029,5.34073,32.7771,3.48693,41.49,4.41383
Bojan Bogdanovic,4200,IND,SF,POR,25.284,6.02,10.836,2.58,18.06,4.3
