name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Bam Adebayo,4400,MIA,PF,DEN,294885,67019,178504,40569,201700,45840,0,=(h49-$h$52)/(b49-$b$52)
T.J. McConnell,4700,PHI,PG,WAS,325470,69249,167901,35723,198700,42276,0
Juan Hernangomez,4800,DEN,SF,MIA,334620,69712,131007,27293,197300,41104,0,=(h51-$h$54)/(b51-$b$54)
Jonas Jerebko,3600,GSW,PF,NYK,340399,94555,143215,39782,190700,52972,1
Torrey Craig,4100,DEN,SG,MIA,288417,70345,172021,41956,190500,46463,0
Wilson Chandler,4000,PHI,SF,WAS,286751,71688,128413,32103,189400,47350,1
Cory Joseph,4200,IND,PG,CLE,332032,79055,143300,34119,189300,45071,0
Andre Iguodala,4300,GSW,SG,NYK,281200,65395,108780,25297,185000,43023,0
Tyreke Evans,4600,IND,SF,CLE,245526,53375,105639,22965,181200,39391,0
Luke Kornet,5200,NYK,PF,GSW,270817,52080,111729,21486,175400,33730,0
Damyean Dotson,3500,NYK,SG,GSW,298941,85412,146002,41715,173400,49542,0
Mason Plumlee,5100,DEN,C,MIA,294464,57738,139780,27408,171300,33588,0
Tyler Johnson,4900,MIA,PG,DEN,264966,54074,117893,24059,167700,34224,0
Tony Parker,3700,CHA,PG,LAC,278376,75236,165700,44783,165700,44783,0
Kosta Koufos,3500,SAC,C,PHO,307482,87852,159400,45542,159400,45542,0
Derrick Jones,3900,MIA,SF,DEN,288970,74095,154200,39538,154200,39538,0
Mario Hezonja,3500,NYK,SF,GSW,285362,81532,135203,38629,152600,43600,0
Justin Jackson,4400,SAC,SF,PHO,226200,51409,121050,27511,150000,34090,0
Trey Burke,4000,NYK,PG,GSW,254707,63676,128090,32022,147400,36850,0
Jalen Jones,3700,CLE,SG,IND,250704,67757,115632,31251,144000,38918,0
Rodney McGruder,4100,MIA,SG,DEN,221352,53988,92885,22654,142900,34853,0
Kelly Olynyk,4000,MIA,PF,DEN,212745,53186,119758,29939,142400,35600,0
Harry Giles,3500,SAC,PF,PHO,150483,42995,34672,9906,142100,40599,0
Yogi Ferrell,3500,SAC,PG,PHO,230574,65878,118481,33852,138900,39685,0
Jonah Bolden,3900,PHI,PF,WAS,142793,36613,27146,6960,138500,35512,0
Channing Frye,3500,CLE,PF,IND,265534,75866,112965,32275,132900,37971,0
Landry Shamet,3500,PHI,PG,WAS,134854,38530,25636,7324,130800,37371,0
