name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,fl_inc/$
Jeff Teague,6700,MIN,PG,OKC,34.8859,52.0685,17.5741,26.23,26.23,39.1493,
Kent Bazemore,5900,ATL,SG,DEN,37.8942,64.2275,17.4258,29.5353,27.66,46.8814,
Kelly Olynyk,6400,MIA,PF,IND,44.4672,69.48,17.2928,27.02,30.88,48.25,
Taurean Prince,5800,ATL,SF,DEN,36.6928,63.2634,17.2672,29.771,26.98,46.5172,7.6825
Thaddeus Young,5600,IND,PF,MIA,34.9874,62.4775,17.2326,30.7725,26.11,46.625,
Courtney Lee,6000,NYK,SG,CHI,35.6805,59.4675,17.1795,28.6325,26.43,44.05,
Nicolas Batum,6100,CHA,SG,DAL,36.4208,59.7062,17.1392,28.097,26.78,43.9016,
Ricky Rubio,4800,UTA,PG,WAS,38.3223,79.8381,16.8177,35.0369,27.57,57.4375,
Jamal Murray,6600,DEN,PG,ATL,45.9816,69.6691,16.5784,25.1188,31.28,47.3939,
Jeremy Lamb,5600,CHA,SG,DAL,34.2495,61.1598,16.4905,29.4473,25.37,45.3036,
E'Twaun Moore,4700,NOP,SF,MEM,34.5576,73.5268,16.2624,34.6009,25.41,54.0638,4.488
Rajon Rondo,5300,NOP,PG,MEM,48.69,91.8679,16.23,30.6226,32.46,61.2453,
Enes Kanter,5400,NYK,C,CHI,35.0583,64.9228,16.1217,29.855,25.59,47.3889,21.49
Al-Farouq Aminu,5300,POR,PF,HOU,34.9898,66.0185,16.0902,30.3589,25.54,48.1887,
Andre Iguodala,4200,GSW,SF,LAC,32.562,77.5286,16.038,38.1857,24.3,57.8571,#DIV/0!
Josh Richardson,5600,MIA,SF,IND,40.9824,73.1829,15.9376,28.46,28.46,50.8214,
Ersan Ilyasova,5700,ATL,PF,DEN,38.8796,68.2098,15.8804,27.8604,27.38,48.0351,
Dirk Nowitzki,4900,DAL,PF,CHA,30.2544,61.7437,15.5856,31.8073,22.92,46.7755,
Avery Bradley,4900,DET,SG,BKN,35.3616,72.1665,15.5184,31.6702,25.44,51.9184,
Jarrett Jack,4500,NYK,PG,CHI,31.62,70.2667,14.88,33.0667,23.25,51.6667,
Rodney Hood,5300,UTA,SG,WAS,32.8578,61.9958,14.7622,27.8532,23.81,44.9245,
Darren Collison,5200,IND,PG,MIA,35.2359,67.7613,14.7441,28.354,24.99,48.0577,
Tyrone Wallace,3600,LAC,SG,GSW,20.2652,56.2922,14.6748,40.7633,17.47,48.5278,
Otto Porter,6700,WAS,SF,UTA,35.5426,53.0487,14.5174,21.6678,25.03,37.3582,
Jonathon Simmons,5800,ORL,SF,MIL,35.9502,61.9831,14.3298,24.7066,25.14,43.3448,
Wesley Matthews,5000,DAL,SG,CHA,34.0515,68.103,14.2485,28.497,24.15,48.3,
Thabo Sefolosha,4600,UTA,SF,WAS,40.404,87.8348,14.196,30.8609,27.3,59.3478,
John Henson,5400,MIL,PF,ORL,35.4926,65.727,14.1474,26.1989,24.82,45.963,
Joe Harris,4000,BKN,SF,DET,30.7017,76.7542,14.1183,35.2958,22.41,56.025,
Denzel Valentine,4700,CHI,SF,NYK,32.06,68.2128,13.74,29.234,22.9,48.7234,
David West,3700,GSW,PF,LAC,27.0948,73.2292,13.3452,36.0681,20.22,54.6486,
Robin Lopez,4100,CHI,C,NYK,25.872,63.1024,13.328,32.5073,19.6,47.8049,#DIV/0!
Mason Plumlee,4800,DEN,C,ATL,33.205,69.1771,12.595,26.2396,22.9,47.7083,
Wilson Chandler,5000,DEN,SF,ATL,31.4171,62.8342,12.5229,25.0458,21.97,43.94,
JaMychal Green,4500,MEM,PF,NOP,26.6739,59.2753,12.2661,27.258,19.47,43.2667,
Lance Stephenson,4800,IND,SF,MIA,29.2998,61.0412,12.2602,25.5421,20.78,43.2917,
Cory Joseph,4400,IND,PG,MIA,29.2857,66.5584,12.2543,27.8507,20.77,47.2045,
Marcin Gortat,4500,WAS,C,UTA,27.8278,61.8396,12.2122,27.1382,20.02,44.4889,
Markieff Morris,5100,WAS,PF,UTA,31.9448,62.6369,11.8152,23.1671,21.88,42.902,
Gerald Green,4500,HOU,SF,POR,33.1816,73.7369,11.6584,25.9076,22.42,49.8222,
John Collins,4800,ATL,PF,DEN,23.6242,49.2171,11.6358,24.2412,17.63,36.7292,
Bojan Bogdanovic,4300,IND,SF,MIA,25.6542,59.6609,11.5258,26.8042,18.59,43.2326,
Allen Crabbe,4900,BKN,SF,DET,31.4352,64.1535,11.0448,22.5404,21.24,43.3469,
Dwight Powell,4200,DAL,PF,CHA,27.6848,65.9162,11.0352,26.2743,19.36,46.0952,
Frank Kaminsky,4800,CHA,PF,DAL,32.1989,67.081,11.0211,22.9606,21.61,45.0208,
Evan Turner,4300,POR,SF,HOU,28.797,66.9698,10.923,25.4023,19.86,46.186,
Ryan Anderson,3900,HOU,PF,POR,26.7553,68.6033,10.6647,27.3454,18.71,47.9744,
Kelly Oubre,4100,WAS,SF,UTA,26.0144,63.4498,10.6256,25.9161,18.32,44.6829,
Trey Lyles,6400,DEN,PF,ATL,43.7759,68.3998,10.6041,16.5689,27.19,42.4844,
Michael Kidd-Gilchrist,4500,CHA,SF,DAL,27.216,60.48,10.584,23.52,18.9,42,
Bismack Biyombo,5600,ORL,C,MIL,40.4019,72.1462,10.4181,18.6038,25.41,45.375,
Kyle O'Quinn,4600,NYK,C,CHI,29.5704,64.2835,10.3896,22.5861,19.98,43.4348,
Dewayne Dedmon,4900,ATL,C,DEN,25.3896,51.8155,10.3704,21.1641,17.88,36.4898,
Bam Adebayo,3700,MIA,C,IND,40.528,109.535,10.132,27.3838,25.33,68.4595,
Wayne Ellington,4300,MIA,SG,IND,33.3256,77.5014,9.9544,23.1498,21.64,50.3256,
Dwight Buycks,3700,DET,PG,BKN,21.1208,57.0832,9.9392,26.8627,15.53,41.973,
Dante Cunningham,3500,NOP,SF,MEM,28.8166,82.3331,9.8634,28.1811,19.34,55.2571,
Shaun Livingston,3600,GSW,PG,LAC,28.995,80.5417,9.665,26.8472,19.33,53.6944,
Raymond Felton,3800,OKC,PG,MIN,23.0608,60.6863,9.4192,24.7874,16.24,42.7368,
Wesley Johnson,3800,LAC,SF,GSW,28.23,74.2895,9.41,24.7632,18.82,49.5263,
P.J. Tucker,3500,HOU,SF,POR,22.4472,64.1349,9.3928,26.8366,15.92,45.4857,
Jarrett Allen,3500,BKN,C,DET,24.534,70.0971,9.306,26.5886,16.92,48.3429,
Yogi Ferrell,3600,DAL,PG,CHA,23.8896,66.36,9.2904,25.8067,16.59,46.0833,
Tony Snell,3500,MIL,SG,ORL,22.9104,65.4583,8.9096,25.456,15.91,45.4571,
David Nwaba,3500,CHI,SF,NYK,24.9824,71.3783,8.7776,25.0789,16.88,48.2286,
Jordan Bell,4400,GSW,PF,LAC,37.653,85.575,8.547,19.425,23.1,52.5,
Mario Chalmers,3600,MEM,PG,NOP,24.675,68.5417,8.225,22.8472,16.45,45.6944,
C.J. Williams,4400,LAC,SG,GSW,31.8795,72.4534,8.2205,18.683,20.05,45.5682,
Jerian Grant,3500,CHI,PG,NYK,22.4322,64.092,8.0878,23.108,15.26,43.6,
Marvin Williams,3600,CHA,PF,DAL,19.7522,54.8672,8.0678,22.4106,13.91,38.6389,
Michael Beasley,6300,NYK,SF,CHI,43.9569,69.7729,8.0631,12.7986,26.01,41.2857,
Omri Casspi,3500,GSW,SF,LAC,29.3119,83.7483,8.0281,22.9374,18.67,53.3429,
Devin Harris,3500,DAL,SG,CHA,22.6588,64.7394,7.9612,22.7463,15.31,43.7429,
Stanley Johnson,3700,DET,SF,BKN,19.4256,52.5016,7.9344,21.4443,13.68,36.973,
Frank Ntilikina,4300,NYK,PG,CHI,28.9351,67.2909,7.9249,18.43,18.43,42.8605,
Doug McDermott,3500,NYK,SF,CHI,18.032,51.52,7.728,22.08,12.88,36.8,
Marco Belinelli,3500,ATL,SG,DEN,21.2709,60.774,7.6691,21.9117,14.47,41.3429,
Ed Davis,3600,POR,PF,HOU,18.7582,52.1061,7.6618,21.2828,13.21,36.6944,
Andrew Harrison,3600,MEM,PG,NOP,24.168,67.1333,7.632,21.2,15.9,44.1667,
Jerami Grant,3700,OKC,PF,MIN,17.3333,46.8468,7.6067,20.5586,12.47,33.7027,
Zaza Pachulia,3500,GSW,C,LAC,21.2972,60.8491,7.4828,21.3794,14.39,41.1143,
Gorgui Dieng,3700,MIN,PF,OKC,25.7455,69.5824,7.4745,20.2014,16.61,44.8919,
Jamal Crawford,3500,MIN,SG,OKC,20.0312,57.232,7.4088,21.168,13.72,39.2,
James Ennis,3600,MEM,SF,NOP,23.9139,66.4275,7.3461,20.4058,15.63,43.4167,
Tyler Zeller,3500,BKN,C,DET,17.8068,50.8766,7.2732,20.7806,12.54,35.8286,
Jawun Evans,4700,LAC,PG,GSW,50.365,107.16,7.195,15.3085,28.78,61.234,
Montrezl Harrell,4200,LAC,PF,GSW,28.592,68.0762,7.148,17.019,17.87,42.5476,
Thon Maker,3500,MIL,C,ORL,22.3744,63.9269,7.0656,20.1874,14.72,42.0571,
Mike Scott,3600,WAS,PF,UTA,25.9594,72.1094,6.9006,19.1683,16.43,45.6389,
Joe Johnson,3800,UTA,SF,WAS,20.565,54.1184,6.855,18.0395,13.71,36.0789,
Malcolm Delaney,3700,ATL,PG,DEN,23.157,62.5865,6.723,18.1703,14.94,40.3784,
Wayne Selden,3600,MEM,SG,NOP,21.2517,59.0325,6.5283,18.1342,13.89,38.5833,
Shabazz Napier,4200,POR,PG,HOU,29.5856,70.4419,6.4944,15.4629,18.04,42.9524,
Quincy Acy,3600,BKN,PF,DET,17.8017,49.4492,6.4183,17.8286,12.11,33.6389,
Jarell Martin,3600,MEM,PF,NOP,26.4684,73.5233,6.4116,17.81,16.44,45.6667,
Michael Carter-Williams,3500,CHA,PG,DAL,18.6101,53.1717,6.3699,18.1997,12.49,35.6857,
Reggie Bullock,4500,DET,SF,BKN,28.8312,64.0693,6.3288,14.064,17.58,39.0667,
Treveon Graham,3500,CHA,SG,DAL,15.4922,44.2634,6.3278,18.0794,10.91,31.1714,
Darius Miller,3500,NOP,SF,MEM,20.5128,58.608,6.1272,17.5063,13.32,38.0571,
Lance Thomas,3500,NYK,SF,CHI,18.9696,54.1989,5.9904,17.1154,12.48,35.6571,
Marreese Speights,3700,ORL,C,MIL,23.072,62.3568,5.768,15.5892,14.42,38.973,
D.J. Augustin,3700,ORL,PG,MIL,19.406,52.4486,5.634,15.227,12.52,33.8378,
Sam Dekker,3900,LAC,SF,GSW,21.2424,54.4677,5.4776,14.0451,13.36,34.2564,
Salah Mejri,3500,DAL,C,CHA,26.9808,77.088,5.1392,14.6834,16.06,45.8857,
Alec Burks,3500,UTA,SG,WAS,23.397,66.8486,4.963,14.18,14.18,40.5143,
Ian Mahinmi,3500,WAS,C,UTA,18.4386,52.6817,4.9014,14.004,11.67,33.3429,
Matthew Dellavedova,3500,MIL,PG,ORL,15.8967,45.4191,4.8833,13.9523,10.39,29.6857,
Ekpe Udoh,3500,UTA,C,WAS,22.968,65.6229,4.872,13.92,13.92,39.7714,
Al Jefferson,4000,IND,C,MIA,18.6984,46.746,4.8216,12.054,11.76,29.4,
Maurice Harkless,3500,POR,SF,HOU,15.8466,45.276,4.7334,13.524,10.29,29.4,
Anthony Tolliver,3500,DET,PF,BKN,15.3765,43.9329,4.7235,13.4957,10.05,28.7143,
Miles Plumlee,3500,ATL,C,DEN,14.8352,42.3863,4.6848,13.3851,9.76,27.8857,
Dillon Brooks,3500,MEM,SF,NOP,15.0705,43.0586,4.6295,13.2271,9.85,28.1429,
Pat Connaughton,3500,POR,SG,HOU,17.808,50.88,4.452,12.72,11.13,31.8,
Brandan Wright,3500,MEM,C,NOP,21.71,62.0286,4.29,12.2571,13,37.1429,
Jonas Jerebko,3500,UTA,PF,WAS,17.0982,48.852,4.1418,11.8337,10.62,30.3429,
Josh Huestis,3500,OKC,SF,MIN,23.086,65.96,4.074,11.64,13.58,38.8,
Jameer Nelson,3500,NOP,PG,MEM,13.475,38.5,4.025,11.5,8.75,25,
Nick Young,3600,GSW,SG,LAC,29.5236,82.01,3.8364,10.6567,16.68,46.3333,
Luke Kennard,3600,DET,SG,BKN,16.2511,45.1419,3.6889,10.2469,9.97,27.6944,
Nemanja Bjelica,3500,MIN,SF,OKC,16.995,48.5571,3.605,10.3,10.3,29.4286,
Patrick McCaw,3500,GSW,SG,LAC,32.22,92.0571,3.58,10.2286,17.9,51.1429,
Tomas Satoransky ,3500,WAS,PG,UTA,14.7582,42.1663,3.4618,9.89086,9.11,26.0286,
Tyus Jones,5800,MIN,PG,OKC,22.794,39.3,3.406,5.87241,13.1,22.5862,
Jordan Mickey,3500,MIA,PF,IND,18.904,54.0114,3.336,9.53143,11.12,31.7714,
Derrick Walton,3500,MIA,PG,IND,28.26,80.7429,3.14,8.97143,15.7,44.8571,
Johnny O'Bryant,3600,CHA,PF,DAL,18.3654,51.015,3.1146,8.65167,10.74,29.8333,
Patrick Patterson,3500,OKC,PF,MIN,12.8317,36.662,3.1083,8.88086,7.97,22.7714,
Terrance Ferguson,3600,OKC,SG,MIN,27.234,75.65,3.026,8.40556,15.13,42.0278,
Jodie Meeks,3500,WAS,SG,UTA,14.223,40.6371,3.017,8.62,8.62,24.6286,
Mario Hezonja,4200,ORL,SF,MIL,25.974,61.8429,2.886,6.87143,14.43,34.3571,
Cristiano Da Silva Felicio,3500,CHI,C,NYK,9.8124,28.0354,2.7676,7.90743,6.29,17.9714,
Tyler Cavanaugh,3500,ATL,PF,DEN,11.89,33.9714,2.61,7.45714,7.25,20.7143,
Ron Baker,3500,NYK,PG,CHI,10.2879,29.394,2.4921,7.12029,6.39,18.2571,
Sindarius Thornwell,3500,LAC,PG,GSW,16.8525,48.15,2.4075,6.87857,9.63,27.5143,
Ian Clark,3500,NOP,PG,MEM,15.2946,43.6989,2.2854,6.52971,8.79,25.1143,
Tarik Black,3500,HOU,PF,POR,20.43,58.3714,2.27,6.48571,11.35,32.4286,
Maxi Kleber,3500,DAL,PF,CHA,19.2962,55.132,2.2638,6.468,10.78,30.8,
Mike Muscala,3500,ATL,C,DEN,7.4382,21.252,2.2218,6.348,4.83,13.8,
Nik Stauskas,3500,BKN,SG,DET,19.188,54.8229,2.132,6.09143,10.66,30.4571,
Sterling Brown,3500,MIL,SG,ORL,10.3488,29.568,1.9712,5.632,6.16,17.6,
Jahlil Okafor,3500,BKN,C,DET,16.884,48.24,1.876,5.36,9.38,26.8,
Paul Zipser,3500,CHI,SF,NYK,8.2152,23.472,1.8648,5.328,5.04,14.4,
Zach Collins,3500,POR,C,HOU,15.66,44.7429,1.74,4.97143,8.7,24.8571,
Wesley Iwundu,3700,ORL,SF,MIL,15.048,40.6703,1.672,4.51892,8.36,22.5946,
Malik Beasley,3500,DEN,SG,ATL,12.8502,36.7149,1.6698,4.77086,7.26,20.7429,
Briante Weber,3800,HOU,PG,POR,11.2,29.4737,1.6,4.21053,6.4,16.8421,
Eric Moreland,3500,DET,PF,BKN,14.328,40.9371,1.592,4.54857,7.96,22.7429,
Kobi Simmons,3500,MEM,SG,NOP,12.726,36.36,1.414,4.04,7.07,20.2,
