name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,59500,29.53142857
LeBron James,11900,CLE,SF,MIA,69.4125,5.83298,41.6475,3.49979,55.53,4.66639,0,,,
Joel Embiid,10500,PHI,C,BKN,63.6416,6.0611,35.7984,3.40937,49.72,4.73524,0,25.79823529,,
Damian Lillard,9400,POR,PG,CHI,50.8079,5.4051,33.1721,3.52895,41.99,4.46702,1,,,
Marc Gasol,8500,MEM,C,IND,53.0586,6.24219,31.1614,3.66605,42.11,4.95412,0,29.53142857,,
Kemba Walker,8500,CHA,PG,ATL,50.7402,5.96944,29.7998,3.50586,40.27,4.73765,0,26.122,,
Victor Oladipo,10100,IND,SG,MEM,51.4048,5.08958,28.9152,2.86289,40.16,3.97624,0,22.28790698,,
Dwight Howard,10200,CHA,C,ATL,60.3024,5.912,28.3776,2.78212,44.34,4.34706,0,4.356774194,,
Ben Simmons,9000,PHI,PF,BKN,50.6583,5.6287,27.8817,3.09797,39.27,4.36333,0,27.86317073,,
Dennis Schroder,7500,ATL,PG,CHA,46.2924,6.17232,27.1876,3.62501,36.74,4.89867,1,,,
Al Horford,7100,BOS,C,NYK,43.173,6.0807,27.027,3.80662,35.1,4.94366,1,,,
C.J. McCollum,8000,POR,SG,CHI,44.2,5.525,26.52,3.315,35.36,4.42,1,,,
Devin Booker,8000,PHO,SG,DAL,50.9257,6.36571,25.6543,3.20679,38.29,4.78625,0,28.74045455,,
Kristaps Porzingis,8700,NYK,PF,BOS,51.7642,5.94991,25.4958,2.93055,38.63,4.44023,0,23.78421053,,
Hassan Whiteside,8100,MIA,C,CLE,49.8218,6.15084,25.0982,3.09854,37.46,4.62469,0,,,
Harrison Barnes,6600,DAL,SF,PHO,39.9135,6.0475,24.9865,3.78583,32.45,4.91667,1,,,
Dennis Smith Jr.,6800,DAL,PG,PHO,46.2973,6.80843,23.3227,3.42981,34.81,5.11912,0,,,
Goran Dragic,6700,MIA,PG,CLE,41.8992,6.25361,23.0608,3.44191,32.48,4.84776,0,,,
Brandon Ingram,6700,LAL,SF,ORL,44.0994,6.582,21.7206,3.24188,32.91,4.91194,0,6.904,,
Jaylen Brown,5700,BOS,SF,NYK,38.2098,6.70347,21.0302,3.68951,29.62,5.19649,1,,,
Evan Fournier,6300,ORL,SG,LAL,38.454,6.10381,20.706,3.28667,29.58,4.69524,0,27.492,,
TJ Warren,7100,PHO,SF,DAL,43.6152,6.14299,20.5248,2.89082,32.07,4.5169,0,,,
Enes Kanter,6600,NYK,C,BOS,41.1246,6.231,20.2554,3.069,30.69,4.65,0,,,
Spencer Dinwiddie,6300,BKN,PG,PHI,44.1186,7.00295,19.8214,3.14625,31.97,5.0746,0,,,
Bobby Portis,4500,CHI,PF,POR,45.808,10.1796,19.632,4.36267,32.72,7.27111,1,,,
Jayson Tatum,6000,BOS,PF,NYK,41.7112,6.95187,19.6288,3.27147,30.67,5.11167,0,28.82727273,,
Elfrid Payton,7300,ORL,PG,LAL,45.57,6.24247,19.53,2.67534,32.55,4.4589,0,,,
Julius Randle,6600,LAL,C,ORL,43.263,6.555,19.437,2.945,31.35,4.75,0,,,
Nicolas Batum,5800,CHA,SG,ATL,39.2486,6.767,19.3314,3.333,29.29,5.05,1,,,
Dario Saric,7000,PHI,PF,BKN,40.9904,5.85577,19.2896,2.75566,30.14,4.30571,0,13.4847619,,
Isaiah Thomas,6100,CLE,PG,MIA,36.4311,5.97231,19.1889,3.14572,27.81,4.55902,0,,,
Robert Covington,6200,PHI,SF,BKN,39.5382,6.37713,18.1818,2.93255,28.86,4.65484,0,,,
Josh Richardson,6400,MIA,SF,CLE,41.2135,6.43961,18.0865,2.82602,29.65,4.63281,0,,,
Jusuf Nurkic,6300,POR,C,CHI,43.9348,6.97378,17.9452,2.84844,30.94,4.91111,0,,,
Kent Bazemore,5800,ATL,SG,CHA,40.6575,7.00991,17.8425,3.07629,29.25,5.0431,0,,,
DeMarre Carroll,5500,BKN,SF,PHI,35.112,6.384,17.688,3.216,26.4,4.8,0,,,
