"Al-Farouq Aminu",5300,POR,PF,CLE,40.9584,9.9216,25.44
"Ed Davis",3700,POR,PF,CLE,30.8688,4.0112,17.44
"Kyle Korver",3500,CLE,SG,POR,21.8448,4.7952,13.32
"Shabazz Napier",6500,POR,PG,CLE,34.0017,4.4183,19.21
"Dejounte Murray",3500,SAS,PG,NYK,16.1392,2.2008,9.17
"Courtney Lee",5700,NYK,SF,SAS,36.4119,13.1281,24.77
"TJ Warren",7500,PHO,SF,ATL,57.4901,13.0499,35.27
"John Collins",5900,ATL,PF,PHO,40.1472,15.6128,27.88
"Devin Booker",8000,PHO,SG,ATL,57.0384,22.1816,39.61
"Dennis Schroder",7700,ATL,PG,PHO,52.9642,24.3558,38.66
"Ron Baker",3500,NYK,PG,SAS,9.9651,1.2949,5.63
"Marco Belinelli",4200,ATL,SG,PHO,26.448,8.352,17.4
"Ersan Ilyasova",5700,ATL,PF,PHO,36.9504,14.3696,25.66
"Isaiah Canaan",4100,PHO,PG,ATL,25.7184,10.0016,17.86
"Kent Bazemore",5800,ATL,SG,PHO,40.0216,12.6384,26.33
"Troy Daniels",3600,PHO,SG,ATL,22.302,2.898,12.6
"Tyler Cavanaugh",3600,ATL,PF,PHO,11.952,4.648,8.3
"Taurean Prince",6000,ATL,SF,PHO,50.5866,6.5734,28.58
"Lance Thomas",3500,NYK,SF,SAS,15.6291,2.0309,8.83
"Brandon Paul",3500,SAS,SG,NYK,3.0096,1.1704,2.09
"Doug McDermott",3500,NYK,SF,SAS,19.8488,3.2312,11.54
"Bryn Forbes",3500,SAS,SG,NYK,15.6822,2.0378,8.86
"Jarrett Jack",4700,NYK,PG,SAS,38.184,6.216,22.2
"Kyle O'Quinn",4200,NYK,C,SAS,34.0872,6.4928,20.29
"Pau Gasol",6200,SAS,C,NYK,49.2802,13.0998,31.19
"Manu Ginobili",3500,SAS,SG,NYK,25.5095,5.7905,15.65
"Patty Mills",3500,SAS,PG,NYK,22.7672,7.7928,15.28
"Frank Ntilikina",4700,NYK,PG,SAS,28.4832,11.0768,19.78
"Kyle Anderson",4200,SAS,SF,NYK,33.1344,4.3056,18.72
"Davis Bertans",3500,SAS,PF,NYK,3.6993,0.4807,2.09
"Danny Green",4000,SAS,SG,NYK,26.0364,7.3436,16.69
"LeBron James",11500,CLE,SF,POR,72.252,34.788,53.52
