name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,40700,
Pau Gasol,6000,SAS,C,BKN,37.688,6.28133,16.152,2.692,26.92,4.48667,0,31.7544,
Kentavious Caldwell-Pope,5600,LAL,SG,OKC,32.053,5.72375,16.147,2.88339,24.1,4.30357,0,18.62733333,
Taurean Prince,5700,ATL,SF,NOP,35.9352,6.30442,16.1448,2.83242,26.04,4.56842,0,,
Josh Richardson,5800,MIA,SF,MIL,39.5186,6.81355,16.1414,2.783,27.83,4.79828,0,,
Tyrone Wallace,4300,LAC,SG,DEN,29.952,6.96558,16.128,3.7507,23.04,5.35814,1,,
Kyle Kuzma,5900,LAL,PF,OKC,34.3206,5.81705,15.4194,2.61346,24.87,4.21525,0,20.181,
DeMarre Carroll,5000,BKN,SF,SAS,31.3024,6.26048,15.4176,3.08352,23.36,4.672,0,,
Tim Hardaway Jr.,6400,NYK,SG,MEM,39.7155,6.20555,15.0645,2.35383,27.39,4.27969,0,7.44173913,
James Johnson,5300,MIA,PF,MIL,39.4835,7.44972,14.9765,2.82575,27.23,5.13774,0,25.66642857,
Ersan Ilyasova,5200,ATL,PF,NOP,35.6448,6.85477,14.9152,2.86831,25.28,4.86154,0,27.16923077,
Bogdan Bogdanovic,5100,SAC,SG,UTA,30.2438,5.93016,14.8962,2.92082,22.57,4.42549,0,15.433,
Avery Bradley,5400,DET,SG,TOR,33.1062,6.13078,14.8738,2.75441,23.99,4.44259,0,11.69923077,
Ricky Rubio,5200,UTA,PG,SAC,33.7353,6.48756,14.8047,2.84706,24.27,4.66731,0,44.26764706,
Marcin Gortat,5400,WAS,C,CHA,32.7474,6.06433,14.7126,2.72456,23.73,4.39444,0,34.20631579,
E'Twaun Moore,5300,NOP,SF,ATL,31.0896,5.86596,14.6304,2.76045,22.86,4.31321,0,,
De'Aaron Fox,6200,SAC,PG,UTA,34.7847,5.61044,14.5553,2.34763,24.67,3.97903,0,26.94851852,
Courtney Lee,5700,NYK,SG,MEM,30.186,5.29579,14.534,2.54982,22.36,3.92281,0,7.381875,
Dewayne Dedmon,5100,ATL,C,NOP,33.0403,6.47849,14.4997,2.84308,23.77,4.66078,0,39.289375,
Jarrett Jack,5500,NYK,PG,MEM,34.0938,6.19887,14.2662,2.59385,24.18,4.39636,0,34.935,
Robin Lopez,4200,CHI,C,GSW,27.6012,6.57171,14.2188,3.38543,20.91,4.97857,0,85.79142857,
Rodney Hood,5600,UTA,SG,SAC,32.1507,5.7412,14.1093,2.51952,23.13,4.13036,0,5.042666667,
John Collins,5000,ATL,PF,NOP,28.4482,5.68964,14.0118,2.80236,21.23,4.246,0,23.89636364,
JaMychal Green,4800,MEM,PF,NYK,34.2362,7.13254,13.9838,2.91329,24.11,5.02292,0,28.89555556,
John Henson,5500,MIL,PF,MIA,34.1084,6.20153,13.9316,2.53302,24.02,4.36727,0,15.9275,
Zach Randolph,5400,SAC,PF,UTA,33.0786,6.12567,13.8414,2.56322,23.46,4.34444,0,16.388,
Jeremy Lamb,4500,CHA,SG,WAS,29.0224,6.44942,13.6576,3.03502,21.34,4.74222,0,7.6175,
Allen Crabbe,4500,BKN,SF,SAS,27.81,6.18,13.39,2.97556,20.6,4.57778,0,,
Zach LaVine,4100,CHI,SG,GSW,30.4271,7.42124,13.3529,3.2568,21.89,5.33902,1,,
Rajon Rondo,5700,NOP,PG,ATL,41.6024,7.29867,13.1376,2.30484,27.37,4.80175,0,26.62909091,
Jonas Valanciunas,5500,TOR,C,DET,36.3531,6.60965,13.1069,2.38307,24.73,4.49636,0,24.4675,
Kelly Oubre,4600,WAS,SF,CHA,30.45,6.61957,13.05,2.83696,21.75,4.72826,0,,
Markieff Morris,4700,WAS,PF,CHA,32.6736,6.95183,12.7064,2.70349,22.69,4.82766,0,16.54,
David West,3700,GSW,PF,CHI,25.0705,6.77581,12.6295,3.41338,18.85,5.09459,1,,
Kelly Olynyk,4400,MIA,PF,MIL,33.176,7.54,12.584,2.86,22.88,5.2,0,24.016,
Tony Parker,4200,SAS,PG,BKN,27.2136,6.47943,12.2264,2.91105,19.72,4.69524,0,70.67428571,
