name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
John Henson,5000,MIL,PF,GSW,34.8491,69.6982,13.8909,27.7818,24.37,48.74
Matthew Dellavedova,3500,MIL,PG,GSW,17.556,50.16,5.544,15.84,11.55,33
Thon Maker,3500,MIL,C,GSW,22.9822,65.6634,7.4578,21.308,15.22,43.4857
Sterling Brown,3500,MIL,SG,GSW,17.64,50.4,3.36,9.6,10.5,30
Tony Snell,3500,MIL,SG,GSW,19.488,55.68,7.392,21.12,13.44,38.4
Eric Bledsoe,7700,MIL,PG,GSW,45.3858,58.9426,22.3542,29.0314,33.87,43.9870
Omri Casspi,3600,GSW,SF,MIL,17.784,49.4,5.016,13.9333,11.4,31.6667
Giannis Antetokounmpo,10800,MIL,SF,GSW,61.2846,56.745,43.4754,40.255,52.38,48.5
Khris Middleton,7000,MIL,SG,GSW,47.5332,67.9046,24.4868,34.9811,36.01,51.4429
Malcolm Brogdon,5600,MIL,SG,GSW,34.7556,62.0636,17.9044,31.9721,26.33,47.0179
Damian Lillard,9000,POR,PG,NOP,50.752,56.3911,32.448,36.0533,41.6,46.2222
C.J. McCollum,7800,POR,SG,NOP,41.775,53.5577,25.065,32.1346,33.42,42.8462
Shabazz Napier,4400,POR,PG,NOP,33.2357,75.5357,7.5443,17.1461,20.39,46.3409
Zach Collins,3500,POR,C,NOP,18.4764,52.7897,2.2836,6.52457,10.38,29.6571
Al-Farouq Aminu,5000,POR,PF,NOP,32.706,65.412,14.694,29.388,23.7,47.4
Anthony Davis,10700,NOP,PF,POR,62.5521,58.4599,34.4279,32.1756,48.49,45.3178
Ed Davis,3900,POR,PF,NOP,19.9794,51.2292,8.1606,20.9246,14.07,36.0769
Pat Connaughton,3500,POR,SG,NOP,17.808,50.88,4.452,12.72,11.13,31.8
Evan Turner,4500,POR,SF,NOP,29.3472,65.216,11.4128,25.3618,20.38,45.2889
Jusuf Nurkic,6800,POR,C,NOP,43.918,64.5853,18.822,27.6794,31.37,46.1324
Maurice Harkless,3500,POR,SF,NOP,11.0292,31.512,3.1108,8.888,7.07,20.2
Jordan Bell,4300,GSW,PF,MIL,26.5518,61.7484,6.2282,14.4842,16.39,38.1163
Patrick McCaw,3500,GSW,SG,MIL,20.952,59.8629,2.328,6.65143,11.64,33.2571
Jeff Teague,5900,MIN,PG,NYK,38.4503,65.17,19.3697,32.83,28.91,49
Taj Gibson,5700,MIN,PF,NYK,37.1448,65.1663,18.2952,32.0968,27.72,48.6316
Jamal Crawford,3600,MIN,SG,NYK,20.878,57.9944,7.722,21.45,14.3,39.7222
Tyus Jones,3800,MIN,PG,NYK,20.5146,53.9858,3.0654,8.06684,11.79,31.0263
Andrew Wiggins,6200,MIN,SG,NYK,37.5003,60.4844,20.6397,33.2898,29.07,46.8871
Karl-Anthony Towns,9100,MIN,C,NYK,53.0816,58.3314,29.8584,32.8114,41.47,45.5714
Kyle O'Quinn,4300,NYK,C,MIN,29.8116,69.3293,10.7484,24.9963,20.28,47.1628
Jarrett Jack,4700,NYK,PG,MIN,32.775,69.7340,14.725,31.3298,23.75,50.5319
Michael Beasley,7300,NYK,SF,MIN,45.8136,62.7584,8.7264,11.9540,27.27,37.3562
Jimmy Butler,10000,MIN,SF,NYK,53.3358,53.3358,31.3242,31.3242,42.33,42.33
Nemanja Bjelica,3500,MIN,SF,NYK,13.7775,39.3643,2.9225,8.35,8.35,23.8571
Marcus Georges-Hunt,3500,MIN,SG,NYK,4.068,11.6229,0.452,1.29143,2.26,6.45714
Zaza Pachulia,3600,GSW,C,MIL,18.9924,52.7567,6.8476,19.0211,12.92,35.8889
Shaun Livingston,3600,GSW,PG,MIL,26.91,74.75,8.97,24.9167,17.94,49.8333
Nick Young,3500,GSW,SG,MIL,20.8384,59.5383,2.8416,8.11886,11.84,33.8286
David West,3700,GSW,PF,MIL,21.2792,57.5114,10.4808,28.3265,15.88,42.9189
Andre Iguodala,4200,GSW,SF,MIL,25.0572,59.66,12.6228,30.0543,18.84,44.8571
Draymond Green,7800,GSW,PF,MIL,53.0706,68.0392,29.2094,37.4479,41.14,52.7436
Gorgui Dieng,3700,MIN,PF,NYK,24.871,67.2189,7.429,20.0784,16.15,43.6486
Kevin Durant,10600,GSW,SF,MIL,61.7337,58.2393,38.6463,36.4588,50.19,47.3491
Klay Thompson,6600,GSW,SG,MIL,41.785,63.3106,26.715,40.4773,34.25,51.8939
DeMarcus Cousins,11000,NOP,C,POR,64.6365,58.7605,40.4635,36.785,52.55,47.7727
Jrue Holiday,7200,NOP,SG,POR,42.328,58.7889,22.792,31.6556,32.56,45.2222
Ryan Anderson,4300,HOU,PF,PHO,34.79,80.9070,14.21,33.0465,24.5,56.9767
P.J. Tucker,3500,HOU,SF,PHO,26.4546,75.5846,10.8054,30.8726,18.63,53.2286
Clint Capela,7600,HOU,C,PHO,50.0649,65.8749,27.5551,36.2567,38.81,51.0658
Chris Paul,10800,HOU,PG,PHO,65.919,61.0361,36.281,33.5935,51.1,47.3148
Trevor Ariza,5300,HOU,SF,PHO,36.3792,68.64,18.7408,35.36,27.56,52
Eric Gordon,8100,HOU,SG,PHO,54.3728,67.1269,25.5872,31.5891,39.98,49.3580
Malik Beasley,3500,DEN,SG,MEM,23.1089,66.0254,2.7111,7.746,12.91,36.8857
Trey Lyles,6100,DEN,PF,MEM,38.336,62.8459,9.584,15.7115,23.96,39.2787
Torrey Craig,3500,DEN,SF,MEM,29.178,83.3657,3.242,9.26286,16.21,46.3143
Emmanuel Mudiay,3500,DEN,PG,MEM,6.5689,18.7683,1.4911,4.26029,4.03,11.5143
Briante Weber,3800,HOU,PG,PHO,6.09,16.0263,0.87,2.28947,3.48,9.15789
