Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (13806864),Connor McDavid,13806864,C/UTIL,8700,EDM@LA 11/21/2019 10:30PM ET,EDM,19.06
RW,David Pastrnak (13807276),David Pastrnak,13807276,W/UTIL,8500,BUF@BOS 11/21/2019 07:00PM ET,BOS,19.83
C,Nathan MacKinnon (13806866),Nathan MacKinnon,13806866,C/UTIL,8400,COL@MIN 11/21/2019 08:00PM ET,COL,19.12
LW,Leon Draisaitl (13807278),Leon Draisaitl,13807278,W/UTIL,8300,EDM@LA 11/21/2019 10:30PM ET,EDM,18.54
LW,Brad Marchand (13807280),Brad Marchand,13807280,W/UTIL,8000,BUF@BOS 11/21/2019 07:00PM ET,BOS,15.76
RW,Nikita Kucherov (13807282),Nikita Kucherov,13807282,W/UTIL,7900,TB@CHI 11/21/2019 08:30PM ET,TB,10.78
C,Auston Matthews (13806868),Auston Matthews,13806868,C/UTIL,7900,TOR@ARI 11/21/2019 09:00PM ET,TOR,15.96
RW,Patrick Kane (13807284),Patrick Kane,13807284,W/UTIL,7800,TB@CHI 11/21/2019 08:30PM ET,CHI,14.54
C,Aleksander Barkov (13806870),Aleksander Barkov,13806870,C/UTIL,7700,ANH@FLA 11/21/2019 07:00PM ET,FLA,13.08
LW,Max Pacioretty (13807286),Max Pacioretty,13807286,W/UTIL,7700,SJ@VGK 11/21/2019 10:00PM ET,VGK,14.15
C,Dylan Larkin (13806872),Dylan Larkin,13806872,C/UTIL,7600,DET@CLS 11/21/2019 07:00PM ET,DET,10.65
LW,Evander Kane (13807288),Evander Kane,13807288,W/UTIL,7600,SJ@VGK 11/21/2019 10:00PM ET,SJ,15.47
LW,Filip Forsberg (13807290),Filip Forsberg,13807290,W/UTIL,7500,VAN@NSH 11/21/2019 08:00PM ET,NSH,14.56
C,Patrice Bergeron (13806874),Patrice Bergeron,13806874,C/UTIL,7400,BUF@BOS 11/21/2019 07:00PM ET,BOS,13.42
RW,Anthony Mantha (13807292),Anthony Mantha,13807292,W/UTIL,7400,DET@CLS 11/21/2019 07:00PM ET,DET,14.51
C,Jack Eichel (13806876),Jack Eichel,13806876,C/UTIL,7300,BUF@BOS 11/21/2019 07:00PM ET,BUF,16.34
LW,Jonathan Huberdeau (13807294),Jonathan Huberdeau,13807294,W/UTIL,7300,ANH@FLA 11/21/2019 07:00PM ET,FLA,12.87
C,Steven Stamkos (13806878),Steven Stamkos,13806878,C/UTIL,7200,TB@CHI 11/21/2019 08:30PM ET,TB,12.57
RW,Tyler Seguin (13807296),Tyler Seguin,13807296,W/UTIL,7200,WPG@DAL 11/21/2019 08:30PM ET,DAL,11.91
LW,Andrei Svechnikov (13807298),Andrei Svechnikov,13807298,W/UTIL,7100,PHI@CAR 11/21/2019 07:00PM ET,CAR,11.87
C,Evgeni Malkin (13806880),Evgeni Malkin,13806880,C/UTIL,7100,PIT@NYI 11/21/2019 07:00PM ET,PIT,12.92
D,Roman Josi (13808010),Roman Josi,13808010,D/UTIL,7000,VAN@NSH 11/21/2019 08:00PM ET,NSH,15.32
