Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS
F,Michael Johnson (13617237),Michael Johnson,13617237,F,9300,Johnson@Ray 10/26/2019 05:30AM ET,Johnson,56.36,-313,0,-278,-310,-350
F,Ciryl Gane (13617239),Ciryl Gane,13617239,F,9200,Gane@Mayes 10/26/2019 05:30AM ET,Gane,100.5,-302,0,-335,-270,-300
F,Sergei Pavlovich (13617241),Sergei Pavlovich,13617241,F,9000,Greene@Pavlovich 10/26/2019 05:30AM ET,Pavlovich,57.5,-226,0,-240,-198,-240
F,Rafael Fiziev (13617245),Rafael Fiziev,13617245,F,8900,Fiziev@White 10/26/2019 05:30AM ET,Fiziev,0.5,-216,0,-240,-198,-210
F,Jeff Hughes (13617255),Jeff Hughes,13617255,F,8800,Hughes@Pessoa 10/26/2019 05:30AM ET,Hughes,20.5,-220,0,-200,-230,-230
F,Movsar Evloev (13617247),Movsar Evloev,13617247,F,8700,Barzola@Evloev 10/26/2019 05:30AM ET,Evloev,83,-180,0,-190,-160,-190
F,Muslim Salikhov (13617253),Muslim Salikhov,13617253,F,8600,Salikhov@Staropoli 10/26/2019 05:30AM ET,Salikhov,69.5,-176,0,-177,,-175
F,Ben Askren (13617235),Ben Askren,13617235,F,8500,Askren@Maia 10/26/2019 05:30AM ET,Askren,47.5,-178,0,-182,-178,-175
F,Beneil Dariush (13617251),Beneil Dariush,13617251,F,8400,Camacho@Dariush 10/26/2019 05:30AM ET,Dariush,68.37,-150,0,-152,-138,-160
F,Randa Markos (13617249),Randa Markos,13617249,F,8300,Markos@Yoder 10/26/2019 05:30AM ET,Markos,50.88,-171,0,-175,-178,-160
F,Loma Lookboonmee (13617243),Loma Lookboonmee,13617243,F,8200,Albu@Lookboonmee 10/26/2019 05:30AM ET,Lookboonmee,0,-82,0,1,-122,-125
F,Alexandra Albu (13617244),Alexandra Albu,13617244,F,8000,Albu@Lookboonmee 10/26/2019 05:30AM ET,Albu,64.67,-8,0,-125,100,1
F,Ashley Yoder (13617250),Ashley Yoder,13617250,F,7900,Markos@Yoder 10/26/2019 05:30AM ET,Yoder,58.3,135,0,130,144,130
F,Frank Camacho (13617252),Frank Camacho,13617252,F,7800,Camacho@Dariush 10/26/2019 05:30AM ET,Camacho,72,120,0,115,114,130
F,Demian Maia (13617236),Demian Maia,13617236,F,7700,Askren@Maia 10/26/2019 05:30AM ET,Maia,70.78,147,0,150,146,145
F,Laureano Staropoli (13617254),Laureano Staropoli,13617254,F,7600,Salikhov@Staropoli 10/26/2019 05:30AM ET,Staropoli,70.25,138,0,130,,145
F,Enrique Barzola (13617248),Enrique Barzola,13617248,F,7500,Barzola@Evloev 10/26/2019 05:30AM ET,Barzola,79.5,142,0,140,130,155
F,Raphael Pessoa (13617256),Raphael Pessoa,13617256,F,7400,Hughes@Pessoa 10/26/2019 05:30AM ET,Pessoa,3.5,171,0,150,184,180
F,Alex White (13617246),Alex White,13617246,F,7300,Fiziev@White 10/26/2019 05:30AM ET,White,55.78,167,0,175,160,165
F,Maurice Greene (13617242),Maurice Greene,13617242,F,7200,Greene@Pavlovich 10/26/2019 05:30AM ET,Greene,98,175,0,175,160,190
F,Don'Tale Mayes (13617240),Don'Tale Mayes,13617240,F,7000,Gane@Mayes 10/26/2019 05:30AM ET,Mayes,0,217,0,225,205,220
F,Stevie Ray (13617238),Stevie Ray,13617238,F,6900,Johnson@Ray 10/26/2019 05:30AM ET,Ray,52.1,230,0,200,240,250
