name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,59100,19.09125
Trevor Ariza,5300,HOU,SF,PHO,26.5716,5.01351,13.6884,2.58272,20.13,3.79811,0,,,
Kentavious Caldwell-Pope,5100,LAL,SG,TOR,27.864,5.46353,13.416,2.63059,20.64,4.04706,0,,,
Brook Lopez,4200,LAL,C,TOR,34.394,8.18905,13.046,3.10619,23.72,5.64762,0,,,
Jerian Grant,6300,CHI,PG,MIL,37.4528,5.94489,11.8272,1.87733,24.64,3.91111,0,,,
Rajon Rondo,4500,NOP,PG,LAC,39.3932,8.75404,11.7668,2.61484,25.58,5.68444,0,,,
Tyson Chandler,4600,PHO,C,HOU,26.964,5.86174,11.556,2.51217,19.26,4.18696,0,,,
Larry Nance,5400,LAL,PF,TOR,27.4245,5.07861,11.4755,2.12509,19.45,3.60185,0,,,
Greg Monroe,4700,PHO,C,HOU,34.881,7.42149,11.319,2.4083,23.1,4.91489,0,,,
T.J. McConnell,4700,PHI,PG,OKC,33.48,7.1234,11.16,2.37447,22.32,4.74894,0,,,
Ryan Anderson,4200,HOU,PF,PHO,27.1414,6.46224,10.8186,2.57586,18.98,4.51905,0,,,
Dejounte Murray,5800,SAS,PG,SAC,48.9868,8.446,10.7532,1.854,29.87,5.15,0,,,
Danny Green,4800,SAS,SG,SAC,29.6352,6.174,10.6848,2.226,20.16,4.2,0,5.87076923076923,,
Delon Wright,4300,TOR,PG,LAL,30.765,7.15465,10.255,2.38488,20.51,4.76977,0,,,
George Hill,4500,SAC,PG,SAS,26.9265,5.98367,10.2135,2.26967,18.57,4.12667,0,,,
Jakob Poeltl,3900,TOR,C,LAL,33.4642,8.58056,9.9958,2.56303,21.73,5.57179,0,,,
J.R. Smith,3500,CLE,SG,DET,28.2384,8.06811,9.9216,2.83474,19.08,5.45143,1,,,
P.J. Tucker,3500,HOU,SF,PHO,22.778,6.508,9.762,2.78914,16.27,4.64857,0,,,
Kosta Koufos,3900,SAC,C,SAS,32.6172,8.36338,9.7428,2.49815,21.18,5.43077,0,,,
Dante Cunningham,3600,NOP,SF,LAC,29.205,8.1125,9.735,2.70417,19.47,5.40833,0,,,
Anthony Tolliver,3500,DET,PF,CLE,28.62,8.17714,9.54,2.72571,19.08,5.45143,0,,,
Isaiah Canaan,3700,PHO,PG,HOU,24.5232,6.62789,9.5368,2.57751,17.03,4.6027,0,,,
Marquese Chriss,5700,PHO,PF,HOU,29.5488,5.184,9.3312,1.63705,19.44,3.41053,0,,,
Pascal Siakam,3900,TOR,PF,LAL,23.7024,6.07754,9.2176,2.36349,16.46,4.22051,0,,,
Derrick Rose,3600,CLE,PG,DET,16.4217,4.56158,9.0383,2.51064,12.73,3.53611,0,,,
Tony Snell,4000,MIL,SG,CHI,24.272,6.068,8.528,2.132,16.4,4.1,0,,,
