name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Pascal Siakam,3700,TOR,PF,PHI,22.5765,6.10176,8.5635,2.31446,15.57,4.20811
Ben Simmons,8500,PHI,PF,TOR,48.9458,5.75833,28.1342,3.30991,38.54,4.53412
J.J. Redick,5500,PHI,SG,TOR,32.526,5.91382,17.514,3.18436,25.02,4.54909
Robert Covington,5600,PHI,SF,TOR,36.2776,6.47814,16.6824,2.979,26.48,4.72857
Khris Middleton,6600,MIL,SG,WAS,46.1111,6.98653,23.2289,3.51953,34.67,5.25303
Malcolm Brogdon,5500,MIL,SG,WAS,35.9333,6.53333,18.9267,3.44122,27.43,4.98727
Bradley Beal,8500,WAS,SG,MIL,48.1425,5.66382,25.3575,2.98324,36.75,4.32353
John Wall,10700,WAS,PG,MIL,56.6118,5.29082,33.2482,3.10731,44.93,4.19907
Otto Porter,6600,WAS,SF,MIL,38.7891,5.87714,16.2309,2.45923,27.51,4.16818
Marcin Gortat,5800,WAS,C,MIL,31.0086,5.34631,13.9314,2.40197,22.47,3.87414
Kelly Oubre,4000,WAS,SF,MIL,27.272,6.818,11.688,2.922,19.48,4.87
Sean Kilpatrick,3500,MIL,SG,WAS,9.79,2.79714,1.21,0.345714,5.5,1.57143
Sterling Brown,3500,MIL,SG,WAS,20.427,5.83629,4.333,1.238,12.38,3.53714
Tony Snell,3500,MIL,SG,WAS,15.984,4.56686,6.216,1.776,11.1,3.17143
Eric Bledsoe,7500,MIL,PG,WAS,45.2599,6.03465,22.8001,3.04001,34.03,4.53733
John Henson,5100,MIL,PF,WAS,33.7108,6.60996,13.7692,2.69984,23.74,4.65490
Matthew Dellavedova,3500,MIL,PG,WAS,14.688,4.19657,4.512,1.28914,9.6,2.74286
Thon Maker,3500,MIL,C,WAS,20.6115,5.889,6.6885,1.911,13.65,3.9
Fred VanVleet,5000,TOR,PG,PHI,24.8936,4.97872,8.7464,1.74928,16.82,3.364
OG Anunoby,4000,TOR,SF,PHI,20.851,5.21275,7.909,1.97725,14.38,3.595
Nicolas Batum,5300,CHA,SG,DET,37.5088,7.07713,17.6512,3.33042,27.58,5.20377
Michael Carter-Williams,3500,CHA,PG,DET,17.8932,5.11234,6.2868,1.79623,12.09,3.45429
Treveon Graham,3500,CHA,SG,DET,15.12,4.32,5.88,1.68,10.5,3.0
Avery Bradley,5300,DET,SG,CHA,36.974,6.97623,16.226,3.06151,26.6,5.01887
Andre Drummond,9900,DET,C,CHA,55.1053,5.56619,31.6747,3.19946,43.39,4.38283
Johnny O'Bryant,3500,CHA,PF,DET,6.1773,1.76494,0.8027,0.229343,3.49,0.997143
Malik Monk,3500,CHA,SG,DET,6.372,1.82057,0.708,0.202286,3.54,1.01143
Dwight Howard,8800,CHA,C,DET,49.8543,5.66526,22.9257,2.60519,36.39,4.13523
Jeremy Lamb,4800,CHA,SG,DET,27.5672,5.74317,12.9728,2.70267,20.27,4.22292
Frank Kaminsky,4600,CHA,PF,DET,27.5054,5.97943,9.4146,2.04665,18.46,4.01304
Marvin Williams,3600,CHA,PF,DET,28.7266,7.97961,11.7334,3.25928,20.23,5.61944
Michael Kidd-Gilchrist,4400,CHA,SF,DET,27.3312,6.21164,10.6288,2.41564,18.98,4.31364
Tobias Harris,6900,DET,PF,CHA,40.339,5.84623,21.721,3.14797,31.03,4.49710
Anthony Tolliver,3500,DET,PF,CHA,18.3767,5.25049,5.9633,1.7038,12.17,3.47714
Delon Wright,4600,TOR,PG,PHI,34.731,7.55022,10.669,2.31935,22.7,4.93478
Serge Ibaka,5700,TOR,PF,PHI,38.6057,6.77293,20.3343,3.56742,29.47,5.17018
Jonas Valanciunas,5400,TOR,C,PHI,38.0877,7.05328,13.7323,2.54302,25.91,4.79815
C.J. Miles,4100,TOR,SF,PHI,21.9876,5.36283,8.1324,1.98351,15.06,3.67317
Jakob Poeltl,3700,TOR,C,PHI,27.032,7.30595,7.848,2.12108,17.44,4.71351
Kyle Lowry,8200,TOR,PG,PHI,46.8012,5.70746,25.7588,3.14132,36.28,4.42439
DeMar DeRozan,9200,TOR,SG,PHI,50.2971,5.46708,27.6829,3.00901,38.99,4.23804
Luke Kennard,3700,DET,SG,CHA,24.5592,6.63762,5.7608,1.55697,15.16,4.09730
Ish Smith,6500,DET,PG,CHA,38.2778,5.88889,17.6022,2.70803,27.94,4.29846
Reggie Bullock,4400,DET,SF,CHA,33.4397,7.59993,8.1003,1.84098,20.77,4.72045
Eric Moreland,3500,DET,PF,CHA,25.5376,7.29646,3.4824,0.994971,14.51,4.14571
Dwight Buycks,3800,DET,PG,CHA,27.313,7.18763,14.707,3.87026,21.01,5.52895
Markieff Morris,4600,WAS,PF,MIL,34.974,7.60304,13.266,2.88391,24.12,5.24348
Mike Scott,3500,WAS,PF,MIL,20.3043,5.80123,5.2357,1.49591,12.77,3.64857
Kent Bazemore,5200,ATL,SG,SAS,36.4888,7.01708,17.1712,3.30215,26.83,5.15962
Taurean Prince,5400,ATL,SF,SAS,34.4281,6.37557,15.8319,2.93183,25.13,4.65370
Marco Belinelli,3500,ATL,SG,SAS,18.228,5.208,6.572,1.87771,12.4,3.54286
Dewayne Dedmon,5000,ATL,C,SAS,30.982,6.1964,13.278,2.6556,22.13,4.426
John Collins,4300,ATL,PF,SAS,23.0078,5.35065,11.3322,2.63540,17.17,3.99302
Dennis Schroder,7500,ATL,PG,SAS,44.3672,5.91563,27.1928,3.62571,35.78,4.77067
Tony Parker,3800,SAS,PG,ATL,25.185,6.62763,11.315,2.97763,18.25,4.80263
Davis Bertans,3700,SAS,PF,ATL,27.81,7.51622,3.09,0.835135,15.45,4.17568
Patty Mills,3600,SAS,PG,ATL,23.1264,6.424,8.5536,2.376,15.84,4.4
Bryn Forbes,3800,SAS,SG,ATL,18.8652,4.96453,5.0148,1.31968,11.94,3.14211
Danny Green,4400,SAS,SG,ATL,25.56,5.80909,8.52,1.93636,17.04,3.87273
Manu Ginobili,3700,SAS,SG,ATL,28.0644,7.58497,7.9156,2.13935,17.99,4.86216
Malcolm Delaney,4000,ATL,PG,SAS,24.0405,6.01012,6.9795,1.74488,15.51,3.8775
Tyler Dorsey,3500,ATL,PG,SAS,10.998,3.14229,1.222,0.349143,6.11,1.74571
Justise Winslow,3800,MIA,SF,CHI,16.7367,4.40439,7.0033,1.84297,11.87,3.12368
James Johnson,5400,MIA,PF,CHI,38.222,7.07815,14.498,2.68481,26.36,4.88148
Tyler Johnson,5800,MIA,PG,CHI,37.254,6.42310,15.966,2.75276,26.61,4.58793
Kelly Olynyk,4700,MIA,PF,CHI,27.8255,5.92032,10.5545,2.24564,19.19,4.08298
Wayne Ellington,5100,MIA,SG,CHI,32.9256,6.456,10.1144,1.98322,21.52,4.21961
Goran Dragic,7400,MIA,PG,CHI,43.8729,5.92877,24.1471,3.26312,34.01,4.59595
Josh Richardson,5700,MIA,SF,CHI,36.1075,6.33465,14.3925,2.525,25.25,4.42982
Miles Plumlee,3500,ATL,C,SAS,18.3,5.22857,6.1,1.74286,12.2,3.48571
Ersan Ilyasova,5200,ATL,PF,SAS,34.435,6.62212,14.065,2.70481,24.25,4.66346
Mike Muscala,3500,ATL,C,SAS,16.5396,4.7256,4.9404,1.41154,10.74,3.06857
Brandon Paul,3500,SAS,SG,ATL,8.208,2.34514,0.912,0.260571,4.56,1.30286
Hassan Whiteside,7700,MIA,C,CHI,46.2792,6.01029,23.8408,3.09621,35.06,4.55325
Pau Gasol,5900,SAS,C,ATL,38.388,6.50644,16.452,2.78847,27.42,4.64746
Dejounte Murray,4500,SAS,PG,ATL,15.7147,3.49216,3.1053,0.690067,9.41,2.09111
Lance Thomas,3500,NYK,SF,BKN,18.6808,5.33737,5.8992,1.68549,12.29,3.51143
Doug McDermott,3500,NYK,SF,BKN,18.6402,5.32577,7.7998,2.22851,13.22,3.77714
Kyle O'Quinn,4400,NYK,C,BKN,29.0978,6.61314,10.7622,2.44595,19.93,4.52955
Jarrett Jack,5600,NYK,PG,BKN,36.639,6.54268,16.461,2.93946,26.55,4.74107
Michael Beasley,5900,NYK,SF,BKN,48.5803,8.23395,9.5997,1.62707,29.09,4.93051
Enes Kanter,6500,NYK,C,BKN,41.1536,6.33132,19.3664,2.97945,30.26,4.65538
Frank Ntilikina,3600,NYK,PG,BKN,21.1896,5.886,4.9704,1.38067,13.08,3.63333
Ian Mahinmi,3500,WAS,C,MIL,19.6225,5.60643,3.8775,1.10786,11.75,3.35714
Jodie Meeks,3500,WAS,SG,MIL,8.7864,2.5104,1.6736,0.478171,5.23,1.49429
Tomas Satoransky ,3500,WAS,PG,MIL,15.856,4.53029,3.964,1.13257,9.91,2.83143
Kristaps Porzingis,8900,NYK,PF,BKN,57.9904,6.51578,27.2896,3.06625,42.64,4.79101
Courtney Lee,5400,NYK,SG,BKN,30.284,5.60815,14.916,2.76222,22.6,4.18519
Caris LeVert,5500,BKN,SG,NYK,39.042,7.09855,18.798,3.41782,28.92,5.25818
DeMarre Carroll,5200,BKN,SF,NYK,32.294,6.21038,15.906,3.05885,24.1,4.63462
Nik Stauskas,3500,BKN,SG,NYK,10.242,2.92629,1.138,0.325143,5.69,1.62571
Jahlil Okafor,3500,BKN,C,NYK,15.39,4.39714,1.71,0.488571,8.55,2.44286
Trey Burke,3500,NYK,PG,BKN,10.638,3.03943,1.182,0.337714,5.91,1.68857
