name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,,
Pat Connaughton,3500,POR,SG,PHO,18.4506,5.2716,4.4694,1.27697,11.46,3.27429,,,
Dante Cunningham,3500,NOP,SF,BOS,11.9016,3.40046,3.7584,1.07383,7.83,2.23714,,,
Mario Hezonja,4300,ORL,SF,MIN,32.418,7.53907,3.602,0.837674,18.01,4.18837,,,
Maurice Harkless,3500,POR,SF,PHO,13.031,3.72314,3.569,1.01971,8.3,2.37143,,,
Nemanja Bjelica,3500,MIN,SF,ORL,15.4687,4.41963,3.5113,1.00323,9.49,2.71143,,,
Ian Clark,3600,NOP,PG,BOS,20.4003,5.66675,3.4597,0.961028,11.93,3.31389,,,
Tyus Jones,3800,MIN,PG,ORL,19.9176,5.24147,3.2424,0.853263,11.58,3.04737,,,
Troy Daniels,3500,PHO,SG,POR,18.5629,5.30369,2.8971,0.827743,10.73,3.06571,,,
Zach Collins,3500,POR,C,PHO,19.4128,5.54651,2.6472,0.756343,11.03,3.15143,,,
Wesley Iwundu,3500,ORL,SF,MIN,14.9296,4.2656,2.4304,0.6944,8.68,2.48,,,
Jameer Nelson,3500,NOP,PG,BOS,7.2072,2.0592,2.0328,0.5808,4.62,1.32,,,
Maxi Kleber,3500,DAL,PF,DEN,16.9871,4.85346,1.9929,0.5694,9.49,2.71143,,,
Davon Reed,3500,PHO,SG,POR,9.265,2.64714,1.635,0.467143,5.45,1.55714,,,
Shelvin Mack,3500,ORL,PG,MIN,5.5735,1.59243,1.5265,0.436143,3.55,1.01429,,,
Jared Dudley,3500,PHO,PF,POR,9.432,2.69486,1.048,0.299429,5.24,1.49714,,,
Kenneth Faried,3500,DEN,PF,DAL,6.8464,1.95611,0.9336,0.266743,3.89,1.11143,,,
Richard Jefferson,3500,DEN,SF,DAL,8.316,2.376,0.924,0.264,4.62,1.32,,,
Mike James,3500,NOP,PG,BOS,2.4215,0.691857,0.9185,0.262429,1.67,0.477143,,,
Arron Afflalo,3500,ORL,SG,MIN,6.588,1.88229,0.732,0.209143,3.66,1.04571,,,
Malik Beasley,3500,DEN,SG,DAL,4.2898,1.22566,0.5302,0.151486,2.41,0.688571,,,
Semi Ojeleye,3500,BOS,SF,NOP,2.907,0.830571,0.493,0.140857,1.7,0.485714,,,
Torrey Craig,3500,DEN,SF,DAL,3.816,1.09029,0.424,0.121143,2.12,0.605714,,,
Marcus Georges-Hunt,3500,MIN,SG,ORL,1.656,0.473143,0.184,0.0525714,0.92,0.262857,,,
