name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Delon Wright,4400,TOR,PG,NYK,294984,67041,90616,20594,192800,43818,0
Greg Monroe,5000,BOS,C,WAS,226944,45388,88256,17651,157600,31520,0
Pascal Siakam,4000,TOR,PF,NYK,229970,57492,87230,21807,158600,39650,0
Bismack Biyombo,5600,ORL,C,ATL,348243,62186,84357,15063,216300,38625,0
Frank Kaminsky,4400,CHA,PF,POR,220898,50204,81702,18568,151300,34386,0
Zaza Pachulia,3900,GSW,C,DAL,227772,58403,80028,20520,153900,39461,0
Aron Baynes,3900,BOS,C,WAS,222904,57154,76296,19563,149600,38359,0
Tomas Satoransky ,4700,WAS,PG,BOS,296160,63012,74040,15753,185100,39383,0
Raymond Felton,3500,OKC,PG,LAL,181896,51970,72504,20715,127200,36342,0
Mike Scott,3600,WAS,PF,BOS,258962,71933,68838,19121,163900,45527,0
OG Anunoby,3500,TOR,SF,NYK,167986,47996,68614,19604,118300,33800,0
Salah Mejri,3600,DAL,C,GSW,280462,77906,67938,18871,174200,48388,0
Trey Burke,3600,NYK,PG,TOR,320712,89086,65688,18246,193200,53666,0
Michael Carter-Williams,3500,CHA,PG,POR,190869,54534,65331,18666,128100,36600,0
C.J. Miles,3700,TOR,SF,NYK,179487,48510,64713,17490,122100,33000,0
Josh Hart,6300,LAL,SG,OKC,470623,74702,64176,10186,267400,42444,0
Tim Frazier,3700,WAS,PG,BOS,268110,72462,62890,16997,165500,44729,0
Malcolm Delaney,3500,ATL,PG,ORL,208516,59576,62284,17795,135400,38685,0
Shabazz Napier,3600,POR,PG,CHA,265364,73712,60236,16732,162800,45222,0
Mario Hezonja,5400,ORL,SF,ATL,431376,79884,58823,10893,245100,45388,0
Miles Plumlee,3500,ATL,C,ORL,176217,50347,57183,16338,116700,33342,0
Ian Mahinmi,3700,WAS,C,BOS,250042,67578,56758,15340,153400,41459,0
Shaun Livingston,3500,GSW,PG,DAL,161024,46006,56576,16164,108800,31085,0
Luke Kornet,3500,NYK,PF,TOR,141552,40443,55048,15728,98300,28085,0
Lance Thomas,3500,NYK,SF,TOR,182798,52228,54602,15600,118699,33914,0
Mike Muscala,3500,ATL,C,ORL,170848,48813,53952,15414,112400,32114,0
Josh Huestis,3500,OKC,SF,LAL,240735,68781,51064,14590,145900,41685,0
Marreese Speights,3700,ORL,C,ATL,227468,61477,49932,13495,138700,37486,0
Treveon Graham,3600,CHA,SG,POR,154836,43010,47564,13212,101199,28111,0
Pat Connaughton,3500,POR,SG,CHA,165426,47264,43974,12564,104700,29914,0
Isaiah Hicks,3500,NYK,PF,TOR,107568,30733,41832,11952,74700,21342,0
Frank Ntilikina,3500,NYK,PG,TOR,232220,66348,40980,11708,136600,39028,0
Patrick Patterson,4100,OKC,PF,LAL,145044,35376,38556,9403,91800,22390,0
Kevon Looney,3500,GSW,PF,DAL,235453,67272,36747,10499,136100,38885,0
Maurice Harkless,3700,POR,SF,CHA,165148,44634,36252,9797,100700,27216,0
Alex Abrines,4000,OKC,SG,LAL,239945,59986,35854,8963,137900,34475,0
Kyle Collinsworth,3500,DAL,SG,GSW,165825,47378,35175,10049,100500,28714,0
Maxi Kleber,3500,DAL,PF,GSW,244475,69850,34925,9978,139700,39914,0
Isaiah Taylor,3500,ATL,PG,ORL,135520,38720,33880,9680,84700,24200,0
Tyler Dorsey,3900,ATL,PG,ORL,303300,77769,33700,8641,168500,43205,0
Zach Collins,3500,POR,C,CHA,169838,48525,33561,9588,101700,29057,0
Wesley Iwundu,3500,ORL,SF,ATL,213136,60896,33264,9504,123200,35200,0
Alex Caruso,3500,LAL,SG,OKC,299340,85525,33260,9502,166300,47514,0
Khem Birch,4100,ORL,PF,ATL,273960,66819,30440,7424,152200,37122,0
Nick Young,3500,GSW,SG,DAL,166426,47550,25974,7421,96199,27485,0
Daniel Theis,4200,BOS,PF,WAS,92897,22118,22503,5357,57699,13738,0
Tyler Ennis,3500,LAL,PG,OKC,157320,44948,17480,4994,87400,24971,0
Jodie Meeks,3500,WAS,SG,BOS,76752,21929,16848,4813,46800,13371,0
Corey Brewer,3500,LAL,SF,OKC,148140,42325,16460,4702,82300,23514,0
Semi Ojeleye,3500,BOS,SF,WAS,113920,32548,14080,4022,64000,18285,0
Arron Afflalo,3500,ORL,SG,ATL,118980,33994,13220,3777,66100,18885,0
Patrick McCaw,3500,GSW,SG,DAL,75472,21563,9328,2665,42400,12114,0
Abdel Nader,3500,BOS,SG,WAS,70020,20005,7780,2222,38900,11114,0
Jalen Jones,3500,DAL,SF,GSW,58320,16662,6480,1851,32400,9257,0
Terrance Ferguson,3500,OKC,SG,LAL,41760,11931,4640,1325,23200,6628,0
