Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS
P,Milos Raonic (13650270),Milos Raonic,13650270,P,9400,Raonic@Norrie 10/28/2019 08:40AM ET,Raonic,61.92,-195,0,-200,-190,
P,Bianca Vanessa Andreescu (13650269),Bianca Vanessa Andreescu,13650269,P,9200,Halep@Andreescu 10/28/2019 08:00AM ET,Andreescu,62.96,-185,0,-200,-184,-170
P,Benoit Paire (13650268),Benoit Paire,13650268,P,9000,Dzumhur@Paire 10/28/2019 10:00AM ET,Paire,46.38,-147,0,-148,-146,
P,Cristian Garin (13650267),Cristian Garin,13650267,P,8800,Garin@Cuevas 10/28/2019 10:00AM ET,Garin,47.68,-190,0,-200,-180,
P,Jan-Lennard Struff (13650266),Jan-Lennard Struff,13650266,P,8600,Nishioka@Struff 10/28/2019 07:20AM ET,Struff,52.18,-134,0,-137,-130,
P,Sam Querrey (13650265),Sam Querrey,13650265,P,8400,Querrey@Chardy 10/28/2019 08:40AM ET,Querrey,54.24,-128,0,-132,-124,
P,Adrian Mannarino (13650264),Adrian Mannarino,13650264,P,8200,Mannarino@Ruud 10/28/2019 03:50PM ET,Mannarino,47.52,-170,0,-165,-174,
P,Andrey Rublev (13650263),Andrey Rublev,13650263,P,8000,Tsonga@Rublev 10/28/2019 02:30PM ET,Rublev,52.78,-114,0,-112,-114,-115
P,Jo-Wilfried Tsonga (13650262),Jo-Wilfried Tsonga,13650262,P,7800,Tsonga@Rublev 10/28/2019 02:30PM ET,Tsonga,55.89,-106,0,-112,-102,-105
P,Casper Ruud (13650261),Casper Ruud,13650261,P,7600,Mannarino@Ruud 10/28/2019 03:50PM ET,Ruud,47.28,140,0,132,148,
P,Jeremy Chardy (13650260),Jeremy Chardy,13650260,P,7400,Querrey@Chardy 10/28/2019 08:40AM ET,Chardy,46.49,106,0,106,106,
P,Yoshihito Nishioka (13650259),Yoshihito Nishioka,13650259,P,7200,Nishioka@Struff 10/28/2019 07:20AM ET,Nishioka,46.17,111,0,110,112,
P,Pablo Cuevas (13650258),Pablo Cuevas,13650258,P,7000,Garin@Cuevas 10/28/2019 10:00AM ET,Cuevas,47.52,156,0,160,152,
P,Damir Dzumhur (13650257),Damir Dzumhur,13650257,P,6900,Dzumhur@Paire 10/28/2019 10:00AM ET,Dzumhur,35.49,121,0,118,124,
P,Simona Halep (13650256),Simona Halep,13650256,P,6800,Halep@Andreescu 10/28/2019 08:00AM ET,Halep,59.65,155,0,160,156,150
P,Cameron Norrie (13650255),Cameron Norrie,13650255,P,6700,Raonic@Norrie 10/28/2019 08:40AM ET,Norrie,42.66,160,0,160,160,
