Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Devan Dubnyk (13640955),Devan Dubnyk,13640955,G,8000,LA@MIN 10/26/2019 08:00PM ET,MIN,7.11
G,Alex Stalock (13640991),Alex Stalock,13640991,G,8000,LA@MIN 10/26/2019 08:00PM ET,MIN,9.42
G,Ben Bishop (13640984),Ben Bishop,13640984,G,7900,PIT@DAL 10/26/2019 08:00PM ET,DAL,13.64
G,Kaapo Kahkonen (13641120),Kaapo Kahkonen,13641120,G,7800,LA@MIN 10/26/2019 08:00PM ET,MIN,0
G,Anton Khudobin (13640983),Anton Khudobin,13640983,G,7700,PIT@DAL 10/26/2019 08:00PM ET,DAL,10.28
G,Matt Murray (13641071),Matt Murray,13641071,G,7400,PIT@DAL 10/26/2019 08:00PM ET,PIT,13.94
G,Tristan Jarry (13641090),Tristan Jarry,13641090,G,7200,PIT@DAL 10/26/2019 08:00PM ET,PIT,17.7
G,Jonathan Quick (13640980),Jonathan Quick,13640980,G,7200,LA@MIN 10/26/2019 08:00PM ET,LA,5.4
G,Jack Campbell (13641012),Jack Campbell,13641012,G,7200,LA@MIN 10/26/2019 08:00PM ET,LA,10.55
G,Landon Bow (13641143),Landon Bow,13641143,G,6500,PIT@DAL 10/26/2019 08:00PM ET,DAL,0
G,Casey DeSmith (13641146),Casey DeSmith,13641146,G,6500,PIT@DAL 10/26/2019 08:00PM ET,PIT,0
G,Calvin Petersen (13641097),Calvin Petersen,13641097,G,6500,LA@MIN 10/26/2019 08:00PM ET,LA,0
C,Sidney Crosby (13640958),Sidney Crosby,13640958,C/UTIL,7500,PIT@DAL 10/26/2019 08:00PM ET,PIT,12.34
C,Evgeni Malkin (13640953),Evgeni Malkin,13640953,C/UTIL,6900,PIT@DAL 10/26/2019 08:00PM ET,PIT,7.25
C,Tyler Seguin (13641008),Tyler Seguin,13641008,C/UTIL,6700,PIT@DAL 10/26/2019 08:00PM ET,DAL,8.8
D,Drew Doughty (13640987),Drew Doughty,13640987,D/UTIL,6000,LA@MIN 10/26/2019 08:00PM ET,LA,13.95
