Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
C,Ryan Kesler (13627904),Ryan Kesler,13627904,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
RW,Patrick Eaves (13627922),Patrick Eaves,13627922,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Martin Hanzal (13627931),Martin Hanzal,13627931,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
LW,Andrew Cogliano (13627933),Andrew Cogliano,13627933,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,1.88,0
RW,Blake Comeau (13627937),Blake Comeau,13627937,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,1.5,0
D,Roman Polak (13627939),Roman Polak,13627939,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,2.6,0
D,Stephen Johns (13628056),Stephen Johns,13628056,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
D,Jani Hakanpaa (13628058),Jani Hakanpaa,13628058,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Sam Carrick (13628062),Sam Carrick,13628062,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Justin Dowling (13628074),Justin Dowling,13628074,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,2.1,0
LW,Nicolas Deslauriers (13628080),Nicolas Deslauriers,13628080,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,1.08,0
D,Jamie Oleksiak (13628086),Jamie Oleksiak,13628086,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,2.94,0
LW,Michael Mersch (13628110),Michael Mersch,13628110,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
D,Chris Wideman (13628122),Chris Wideman,13628122,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
RW,Carter Rowney (13628177),Carter Rowney,13628177,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,3.27,0
RW,Nick Sorensen (13628195),Nick Sorensen,13628195,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
D,Dillon Heatherington (13628197),Dillon Heatherington,13628197,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
D,Joel Hanley (13628213),Joel Hanley,13628213,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,3.15,0
D,Julius Honka (13628223),Julius Honka,13628223,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
C,Chase De Leo (13628246),Chase De Leo,13628246,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Tanner Kero (13628261),Tanner Kero,13628261,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
RW,Denis Gurianov (13628269),Denis Gurianov,13628269,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,3.5,0
D,Jacob Larsson (13628275),Jacob Larsson,13628275,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,3.36,0
RW,Daniel Sprong (13628277),Daniel Sprong,13628277,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
RW,Deven Sideroff (13628287),Deven Sideroff,13628287,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Andrew Poturalski (13628310),Andrew Poturalski,13628310,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
LW,Max Jones (13628326),Max Jones,13628326,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,3.47,0
D,Josh Mahura (13628343),Josh Mahura,13628343,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Rhett Gardner (13628347),Rhett Gardner,13628347,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,1.9,0
