Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
LW,Alex Iafallo (13628369),Alex Iafallo,13628369,W/UTIL,3400,LA@STL 10/24/2019 08:00PM ET,LA,6.82,0
C,Luke Kunin (13628320),Luke Kunin,13628320,C/UTIL,3400,MIN@NSH 10/24/2019 08:00PM ET,MIN,8.93,0
RW,Joel Farabee (13628417),Joel Farabee,13628417,W/UTIL,3400,PHI@CHI 10/24/2019 08:30PM ET,PHI,4.5,0
LW,Kirby Dach (13628431),Kirby Dach,13628431,W/UTIL,3400,PHI@CHI 10/24/2019 08:30PM ET,CHI,5.65,0
LW,Alexander Steen (13627895),Alexander Steen,13627895,W/UTIL,3300,LA@STL 10/24/2019 08:00PM ET,STL,5.92,0
D,Calvin de Haan (13627995),Calvin de Haan,13627995,D/UTIL,3300,PHI@CHI 10/24/2019 08:30PM ET,CHI,6.56,0
D,Dante Fabbro (13628322),Dante Fabbro,13628322,D/UTIL,3200,MIN@NSH 10/24/2019 08:00PM ET,NSH,6.39,0
LW,Michael Raffl (13628179),Michael Raffl,13628179,W/UTIL,3200,PHI@CHI 10/24/2019 08:30PM ET,PHI,7.41,0
C,David Kampf (13628373),David Kampf,13628373,C/UTIL,3200,PHI@CHI 10/24/2019 08:30PM ET,CHI,6.4,0
C,Adrian Kempe (13628229),Adrian Kempe,13628229,C/UTIL,3100,LA@STL 10/24/2019 08:00PM ET,LA,5.59,0
D,Travis Sanheim (13628225),Travis Sanheim,13628225,D/UTIL,3100,PHI@CHI 10/24/2019 08:30PM ET,PHI,5.36,0
C,Michael Amadio (13628243),Michael Amadio,13628243,C/UTIL,3000,LA@STL 10/24/2019 08:00PM ET,LA,7.91,0
D,Connor Murphy (13628088),Connor Murphy,13628088,D/UTIL,3000,PHI@CHI 10/24/2019 08:30PM ET,CHI,4.27,0
D,Andrej Sekera (13627945),Andrej Sekera,13627945,D/UTIL,3000,ANH@DAL 10/24/2019 08:30PM ET,DAL,5.7,0
D,Josh Manson (13628116),Josh Manson,13628116,D/UTIL,3000,ANH@DAL 10/24/2019 08:30PM ET,ANH,5.74,0
C,Radek Faksa (13628138),Radek Faksa,13628138,C/UTIL,3000,ANH@DAL 10/24/2019 08:30PM ET,DAL,5.67,0
LW,Nick Ritchie (13628217),Nick Ritchie,13628217,W/UTIL,3000,ANH@DAL 10/24/2019 08:30PM ET,ANH,5.82,0
C,Colton Sissons (13628146),Colton Sissons,13628146,C/UTIL,2900,MIN@NSH 10/24/2019 08:00PM ET,NSH,5.98,0
LW,Ryan Donato (13628237),Ryan Donato,13628237,W/UTIL,2900,MIN@NSH 10/24/2019 08:00PM ET,MIN,3.6,0
LW,Scott Laughton (13628140),Scott Laughton,13628140,W/UTIL,2900,PHI@CHI 10/24/2019 08:30PM ET,PHI,5.3,0
RW,Alexander Nylander (13628318),Alexander Nylander,13628318,W/UTIL,2900,PHI@CHI 10/24/2019 08:30PM ET,CHI,6.68,0
