Bayern Munich,https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats
Dortmund,https://fbref.com/en/squads/add600ae/Borussia-Dortmund-Stats
RB Leipzig,https://fbref.com/en/squads/acbb6a5b/RB-Leipzig-Stats
M'gladbach,https://fbref.com/en/squads/32f3ee20/Borussia-Monchengladbach-Stats
Leverkusen,https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats
Hoffenheim,https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats
Wolfsburg,https://fbref.com/en/squads/4eaa11d7/Wolfsburg-Stats
Freiburg,https://fbref.com/en/squads/a486e511/Freiburg-Stats
Eint Frankfurt,https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
Hertha BSC,https://fbref.com/en/squads/2818f8bc/Hertha-BSC-Stats
Union Berlin,https://fbref.com/en/squads/7a41008f/Union-Berlin-Stats
Schalke 04,https://fbref.com/en/squads/c539e393/Schalke-04-Stats
Mainz 05,https://fbref.com/en/squads/a224b06a/Mainz-05-Stats
Köln,https://fbref.com/en/squads/bc357bf7/Koln-Stats
Augsburg,https://fbref.com/en/squads/0cdc4311/Augsburg-Stats
Werder Bremen,https://fbref.com/en/squads/62add3bf/Werder-Bremen-Stats
Düsseldorf,https://fbref.com/en/squads/b1278397/Fortuna-Dusseldorf-Stats
Paderborn 07,https://fbref.com/en/squads/d9f93f02/Paderborn-07-Stats
