Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
582,1586041356,santorum (5/13),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586052296,mikecitera (4/13),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586068079,christieuli,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586070639,Sparer55,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586072315,rpstennis21,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586073535,Skipbidder (10/94),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586075057,SILVAJ (10/14),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586076566,maherkhadra,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586078105,BackToLabels (2/2),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586080016,TheSheeks (3/3),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586080148,pianoclub (64/94),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586084326,Ramboh (68/94),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586085188,NPitz14 (4/4),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586093089,SnakeyPete (2/4),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586104305,dylanstrick22,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586115683,Grizz113 (3/9),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586115892,BT1987,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586117258,switchhittur (4/14),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586125563,msg365 (53/94),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586132110,sheldonmoyer88,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586140317,texasreddboi96 (3/3),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586142334,KorruptcM,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586148924,scott0707,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586149146,jdmc88,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586153426,tjd30 (2/15),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586154656,jlew5084 (2/4),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586156900,ZombieAut0pilot,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586158952,TrojanMan69,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586159552,zubica19,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586160864,pdonadio (2/2),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586161903,x-parrot (3/5),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586165506,tmamikonyan (3/3),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586177306,brettdogs (3/4),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586178324,brettdogs (4/4),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586180417,Papaboom,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586183731,Yankees4567 (2/2),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586184999,djunjfk,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586185027,skim1211 (2/2),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586186115,TheNutleyFox,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586186275,Bandicoots,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586187423,CarrieSoFly03 (1/2),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586188558,RobKaufman (1/2),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586192152,bric75 (2/94),0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586193557,JShySmooth,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586195039,Craneuf,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586195203,criscu1,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586200805,beanster23,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586201090,zdruke7,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586203741,flair91,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
582,1586204443,marty777,0,357.5,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
647,1586167592,dcole2533 (1/3),0,357.25,P Rafael Nadal P Gael Monfils P Alexander Zverev P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
648,1586096229,yetisalmon (2/3),0,355.75,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Matteo Berrettini P Belinda Bencic,,,,,
649,1586073583,Skipbidder (58/94),0,353.9,P Rafael Nadal P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
649,1586077744,Ramboh (43/94),0,353.9,P Rafael Nadal P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
649,1586082199,gwoodpatrick (9/9),0,353.9,P Rafael Nadal P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
649,1586145597,mikelop,0,353.9,P Rafael Nadal P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
649,1586156955,aklop10343,0,353.9,P Rafael Nadal P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
649,1586192200,bric75 (50/94),0,353.9,P Rafael Nadal P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
655,1586052930,ctipton19,0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586073562,Skipbidder (37/94),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586080130,pianoclub (46/94),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586101025,LeVicomte (19/27),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586110068,dictator_teddy (76/94),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586125547,msg365 (37/94),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586156106,belloso09 (2/2),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
655,1586188364,Ijusthadasiezure (2/3),0,353.5,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
663,1585868810,l.shawn_044,0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586003762,LoganLammerant (2/2),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586059996,willllsy (3/4),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586080090,pianoclub (6/94),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586096775,LeVicomte (12/27),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586096789,LeVicomte (13/27),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586110005,dictator_teddy (13/94),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586124829,msg365 (2/94),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586134478,mikecitera (11/13),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586174748,Ptskills,0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
663,1586192242,bric75 (92/94),0,353.3,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Matteo Berrettini P Belinda Bencic,,,,,
674,1585943393,tombom75 (1/2),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586011765,Bhav1k (2/2),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586030975,frig_10 (2/2),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586059924,santorum (6/13),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586071686,Paydirt_Piranhas (2/2),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586073565,Skipbidder (40/94),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586080142,pianoclub (58/94),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586107072,Wrightd905,0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586110026,dictator_teddy (34/94),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586121131,katty.kang (13/15),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586146672,boufen,0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586166660,finalfantasy24 (1/3),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586170229,letteri797,0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586170790,bjollyag123 (4/6),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586174935,Tydollazz,0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586179828,casinolane (1/2),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586188634,lbressan (5/9),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586192210,bric75 (60/94),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586198922,puffwun (3/5),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586204040,snowknows,0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
674,1586210019,PoppaDiddyPop (2/2),0,352.95,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini,,,,,
695,1586059777,Chad1510 (1/4),0,351.95,P Gael Monfils P Elise Mertens P Naomi Osaka P Donna Vekic P Diego Sebastian Schwartzman P Taylor Townsend,,,,,
695,1586073613,Skipbidder (88/94),0,351.95,P Gael Monfils P Elise Mertens P Naomi Osaka P Donna Vekic P Diego Sebastian Schwartzman P Taylor Townsend,,,,,
695,1586077469,Ramboh (6/94),0,351.95,P Gael Monfils P Elise Mertens P Naomi Osaka P Donna Vekic P Diego Sebastian Schwartzman P Taylor Townsend,,,,,
695,1586192230,bric75 (80/94),0,351.95,P Gael Monfils P Elise Mertens P Naomi Osaka P Donna Vekic P Diego Sebastian Schwartzman P Taylor Townsend,,,,,
699,1585974149,ruaekdb (1/7),0,350.95,P Rafael Nadal P Bianca Vanessa Andreescu P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic P Kristie Haerim Ahn,,,,,
699,1586125540,msg365 (30/94),0,350.95,P Rafael Nadal P Bianca Vanessa Andreescu P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic P Kristie Haerim Ahn,,,,,
701,1586034919,treshakenbre4,0,350.85,P Rafael Nadal P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Taylor Townsend P Marin Cilic,,,,,
702,1586191875,egriffith80 (5/17),0,350.55,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
703,1586086930,Cannn (33/47),0,349.95,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Kristie Haerim Ahn,,,,,
704,1586125574,msg365 (64/94),0,349.1,P Rafael Nadal P Gael Monfils P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
705,1586165446,bettissimo (11/16),0,349,P Gael Monfils P Bianca Vanessa Andreescu P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
705,1586210975,lbressan (8/9),0,349,P Gael Monfils P Bianca Vanessa Andreescu P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
707,1586080126,pianoclub (42/94),0,348.95,P Gael Monfils P Bianca Vanessa Andreescu P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
707,1586094466,LeVicomte (7/27),0,348.95,P Gael Monfils P Bianca Vanessa Andreescu P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
707,1586110067,dictator_teddy (75/94),0,348.95,P Gael Monfils P Bianca Vanessa Andreescu P Alexander Zverev P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
710,1585998108,kwast1337 (5/7),0,348.9,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Kristie Haerim Ahn,,,,,
710,1586125524,msg365 (14/94),0,348.9,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Kristie Haerim Ahn,,,,,
712,1586038960,Jtpnow,0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586053127,twr5e5,0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586060971,different5 (1/3),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586069754,dtslice (2/8),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586070826,Wagboys (4/7),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586073534,Skipbidder (9/94),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586074558,wyntinghams (2/3),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586077718,Ramboh (40/94),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586079789,sgibson619,0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586080008,TheSheeks (2/3),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586084164,NPitz14 (3/4),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586084856,dshocker42 (14/21),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586118266,dkw793 (18/30),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586118666,thebestplayer92 (5/10),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586137294,Clangers (1/10),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586137468,JNP17 (1/4),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586143855,JNP17 (3/4),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586157838,trihard8 (10/30),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586164303,jimmyscat (1/4),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586166709,nraether,0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586188408,ThaDongslayer,0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
712,1586192177,bric75 (27/94),0,348.8,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Marin Cilic,,,,,
734,1586080102,pianoclub (18/94),0,348.75,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Alexander Zverev P Matteo Berrettini P Marin Cilic,,,,,
735,1586125570,msg365 (60/94),0,348.15,P Rafael Nadal P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic P Kristie Haerim Ahn,,,,,
736,1585881660,niraj123 (2/2),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1585974411,dnell1 (1/3),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586011704,havocano,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586038218,Balibagoboy45,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586071478,saljohnson,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586076244,lamp3122,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586090482,dshocker42 (18/21),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586107809,tomka1923 (1/3),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586120055,BRB_3,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586131353,broadbeachguy21,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586182757,tpig12 (2/3),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586193382,bigsnooke,0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586204049,aznkillerz (6/12),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
736,1586205601,GiddyCzar (1/2),0,348.1,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Matteo Berrettini P Taylor Townsend,,,,,
750,1586080121,pianoclub (37/94),0,347.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Donna Vekic P Belinda Bencic P Pablo Andujar,,,,,
750,1586084264,Ramboh (54/94),0,347.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Donna Vekic P Belinda Bencic P Pablo Andujar,,,,,
752,1585915700,Fantasy.Soto (11/22),0,346.75,P Gael Monfils P Elise Mertens P Andrey Rublev P Diego Sebastian Schwartzman P Belinda Bencic P Taylor Townsend,,,,,
753,1585893207,THE-HOFF112 (2/11),0,346.3,P Rafael Nadal P Gael Monfils P Andrey Rublev P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
