Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Byron Pringle (14095736),Byron Pringle,14095736,WR/FLEX,3000,HOU@KC 01/12/2020 03:05PM ET,KC,2.38
RB,Nick Bellore (14095638),Nick Bellore,14095638,RB/FLEX,3000,SEA@GB 01/12/2020 06:40PM ET,SEA,0.69
WR,Jaron Brown (14095651),Jaron Brown,14095651,WR/FLEX,3000,SEA@GB 01/12/2020 06:40PM ET,SEA,3.5
WR,Ryan Grant (14095657),Ryan Grant,14095657,WR/FLEX,3000,SEA@GB 01/12/2020 06:40PM ET,GB,2.7
RB,Danny Vitale (14095689),Danny Vitale,14095689,RB/FLEX,3000,SEA@GB 01/12/2020 06:40PM ET,GB,1.13
WR,Marquez Valdes-Scantling (14095704),Marquez Valdes-Scantling,14095704,WR/FLEX,3000,SEA@GB 01/12/2020 06:40PM ET,GB,5.44
WR,John Ursua (14095734),John Ursua,14095734,WR/FLEX,3000,SEA@GB 01/12/2020 06:40PM ET,SEA,0.52
DST,Packers  (14095624),Packers ,14095624,DST,2800,SEA@GB 01/12/2020 06:40PM ET,GB,7
DST,Seahawks  (14095626),Seahawks ,14095626,DST,2600,SEA@GB 01/12/2020 06:40PM ET,SEA,7.94
TE,James Winchester (14095655),James Winchester,14095655,TE/FLEX,2500,HOU@KC 01/12/2020 03:05PM ET,KC,0
TE,Blake Bell (14095661),Blake Bell,14095661,TE/FLEX,2500,HOU@KC 01/12/2020 03:05PM ET,KC,0.98
TE,Deon Yelder (14095708),Deon Yelder,14095708,TE/FLEX,2500,HOU@KC 01/12/2020 03:05PM ET,KC,0.89
TE,Jordan Thomas (14095740),Jordan Thomas,14095740,TE/FLEX,2500,HOU@KC 01/12/2020 03:05PM ET,HOU,0.3
TE,Marcedes Lewis (14095628),Marcedes Lewis,14095628,TE/FLEX,2500,SEA@GB 01/12/2020 06:40PM ET,GB,2.29
TE,Luke Willson (14095653),Luke Willson,14095653,TE/FLEX,2500,SEA@GB 01/12/2020 06:40PM ET,SEA,1.77
TE,Tyler Ott (14095667),Tyler Ott,14095667,TE/FLEX,2500,SEA@GB 01/12/2020 06:40PM ET,SEA,0
TE,Robert Tonyan (14095683),Robert Tonyan,14095683,TE/FLEX,2500,SEA@GB 01/12/2020 06:40PM ET,GB,2.36
TE,Tyrone Swoopes (14095697),Tyrone Swoopes,14095697,TE/FLEX,2500,SEA@GB 01/12/2020 06:40PM ET,SEA,0.3
TE,Jace Sternberger (14095728),Jace Sternberger,14095728,TE/FLEX,2500,SEA@GB 01/12/2020 06:40PM ET,GB,0
DST,Texans  (14095623),Texans ,14095623,DST,2000,HOU@KC 01/12/2020 03:05PM ET,HOU,5.88
