Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,
P,Diego Schwartzman (14248610),Diego Schwartzman,14248610,P,10300,Munar@Schwartzman 02/06/2020 06:20PM ET,Schwartzman,62.4,0.811504227859368,0,-435,-460,-400,0.813084112149533,0.821428571428571,0.8,1
P,Juan Ignacio Londero (14248611),Juan Ignacio Londero,14248611,P,10100,Londero@Cachin 02/06/2020 05:00PM ET,Londero,33.37,0.808624708624709,0,-420,-450,-400,0.807692307692308,0.818181818181818,0.8,1
P,David Goffin (14248612),David Goffin,14248612,P,9800,Goffin@Bublik 02/06/2020 08:00AM ET,Goffin,58,0.774018289144956,0,-335,-370,-325,0.770114942528736,0.787234042553192,0.764705882352941,1
P,Benoit Paire (14248613),Benoit Paire,14248613,P,9300,Marcora@Paire 02/06/2020 07:40AM ET,Paire,56.21,0.711328976034858,0,-240,-260,-240,0.705882352941176,0.722222222222222,0.705882352941176,0
P,Gael Monfils (14248614),Gael Monfils,14248614,P,9100,Mannarino@Monfils 02/06/2020 02:20PM ET,Monfils,57.21,0.660551652354931,0,-200,-205,-180,0.666666666666667,0.672131147540984,0.642857142857143,1
P,Emil Ruusuvuori (14248615),Emil Ruusuvuori,14248615,P,8900,Gombos@Ruusuvuori 02/06/2020 11:00AM ET,Ruusuvuori,69.3,0.644899415674205,0,-200,-182,-165,0.666666666666667,0.645390070921986,0.622641509433962,0
P,Egor Gerasimov (14248616),Egor Gerasimov,14248616,P,8700,Gerasimov@Milojevic 02/06/2020 06:20AM ET,Gerasimov,51.38,0.64038855992879,0,-175,-190,-170,0.636363636363636,0.655172413793103,0.62962962962963,1
P,Laslo Djere (14248617),Laslo Djere,14248617,P,8600,Martinez@Djere 02/06/2020 01:30PM ET,Djere,36.49,0.63965614988479,0,-177,-186,-170,0.63898916967509,0.65034965034965,0.62962962962963,1
P,Filip Krajinovic (14248618),Filip Krajinovic,14248618,P,8500,Krajinovic@Ymer 02/06/2020 06:00AM ET,Krajinovic,44.54,0.585858815161215,0,-148,-132,-145,0.596774193548387,0.568965517241379,0.591836734693878,1
P,Felix Auger-Aliassime (14248619),Felix Auger-Aliassime,14248619,P,8400,Herbert@Auger-Aliassime 02/06/2020 01:00PM ET,Auger-Aliassime,61.51,0.610015944739615,0,-152,-174,-145,0.603174603174603,0.635036496350365,0.591836734693878,0
P,James Duckworth (14248620),James Duckworth,14248620,P,8300,Duckworth@Daniel 02/06/2020 05:00AM ET,Duckworth,46.6,0.63265164576026,0,-167,-180,-170,0.625468164794007,0.642857142857143,0.62962962962963,1
P,Albert Ramos-Vinolas (14248621),Albert Ramos-Vinolas,14248621,P,8200,Ramos-Vinolas@Andujar 02/06/2020 02:50PM ET,Ramos-Vinolas,51.29,0.568901989683125,0,-130,-136,-130,0.565217391304348,0.576271186440678,0.565217391304348,1
