DateOfLastGame,PlayerName,PlayerTeam,PtsPerMinute,LastMinutes,Salary,PtsPerMinuteSalary,Pts,PtsCaptain,PtsPerSalary
20200811, Luka Don?i?            ,DAL,1.64838856073159,34.67,11600,1.42102462132034,57.1496314005642,85.7244471008464,4.92669236211761
20200811, Devin Booker           ,PHO,1.18253489111925,32,10400,1.13705277992236,37.841116515816,56.761674773724,3.63856889575154
20200811, Deandre Ayton          ,PHO,1.16953737244575,32.2,8800,1.32901974141563,37.659103392753,56.4886550891295,4.2794435673583
20200811, Boban Marjanovi?       ,DAL,1.25468941046908,28,3000,4.18229803489693,35.1313034931342,52.6969552397014,11.7104344977114
20200811, Tim Hardaway           ,DAL,0.839908220050358,36.9,6800,1.23515914713288,30.9926133198582,46.4889199797873,4.55773725292032
20200811, Ricky Rubio            ,PHO,1.0904058718704,28.3,8000,1.363007339838,30.8584861739322,46.2877292608983,3.85731077174152
20200811, Trey Burke             ,DAL,0.942050381127421,31.45,4600,2.04793561114657,29.6274844864574,44.4412267296861,6.44075749705596
20200810, J.J. Barea             ,DAL,1.02808092311299,26.22,1800,5.71156068396105,26.9562818040226,40.4344227060339,14.9757121133459
20200811, Mikal Bridges          ,PHO,0.725018218770012,33.45,6000,1.20836369795002,24.2518594178569,36.3777891267853,4.04197656964282
20200810, Seth Curry             ,DAL,0.789289582109988,29.05,4200,1.87926090978569,22.9288623602952,34.3932935404427,5.45925294292742
20200811, Cameron Johnson        ,PHO,0.744503825748583,30.55,5400,1.3787107884233,22.7445918766192,34.1168878149288,4.21196145863319
20200811, Maxi Kleber            ,DAL,0.810975297234362,26.68,4400,1.84312567553264,21.6368209302128,32.4552313953192,4.91745930232109
20200811, Dorian Finney-Smith    ,DAL,0.710969199757273,29.73,5600,1.26958785670942,21.1371143087837,31.7056714631756,3.77448469799709
20200811, Dario ?ari?            ,PHO,0.866310124618234,24.12,5800,1.49363814589351,20.8954002057918,31.3431003086877,3.60265520789514
20200811, Delon Wright           ,DAL,0.874142594083578,23.28,3200,2.73169560651118,20.3500395902657,30.5250593853985,6.35938737195803
20200811, Cameron Payne          ,PHO,1.01564599340142,19.42,4000,2.53911498350355,19.7238451918555,29.5857677877832,4.93096129796388
20200811, Jevon Carter           ,PHO,0.716421384073636,18.78,2200,3.25646083669835,13.4543935929029,20.1815903893543,6.1156334513195
20200811, Frank Kaminsky         ,PHO,0.921278482997407,12.32,1600,5.75799051873379,11.3501509105281,17.0252263657922,7.09384431908006
20200811, Justin Jackson         ,DAL,0.685953972727874,7.65,2000,3.42976986363937,5.24754789136824,7.87132183705236,2.62377394568412
20200810, Ty Jerome              ,PHO,0.730989238277977,5.27,1000,7.30989238277977,3.85231328572494,5.77846992858741,3.85231328572494
20200810, Cheick Diallo          ,PHO,0.834611416605992,4.53,1000,8.34611416605992,3.78078971722514,5.67118457583772,3.78078971722514
20200811, Michael Kidd-Gilchrist ,DAL,0.474116702348725,7.02,1000,4.74116702348725,3.32829925048805,4.99244887573208,3.32829925048805
20200810, Josh Reaves            ,DAL,0.237221814624603,13.63,1000,2.37221814624603,3.23333333333334,4.85000000000001,3.23333333333334
20200810, Jalen Lecque           ,PHO,0.401568303215279,5.27,1000,4.01568303215279,2.11626495794452,3.17439743691678,2.11626495794452
20200810, Antonius Cleveland     ,DAL,0.448958513099176,3.37,1000,4.48958513099176,1.51299018914422,2.26948528371634,1.51299018914422
