Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Alex Ovechkin (13632582),Alex Ovechkin,13632582,W/UTIL,8200,WAS@VAN 10/25/2019 10:00PM ET,WAS,18.52
G,Thomas Greiss (13633104),Thomas Greiss,13633104,G,8100,NYI@OTT 10/25/2019 07:30PM ET,NYI,16.28
G,Linus Ullmark (13633107),Linus Ullmark,13633107,G,7800,BUF@DET 10/25/2019 07:30PM ET,BUF,17.42
G,Jacob Markstrom (13633098),Jacob Markstrom,13633098,G,7700,WAS@VAN 10/25/2019 10:00PM ET,VAN,18.65
G,Jimmy Howard (13633101),Jimmy Howard,13633101,G,7400,BUF@DET 10/25/2019 07:30PM ET,DET,13.22
G,Ilya Samsonov (13633110),Ilya Samsonov,13633110,G,7400,WAS@VAN 10/25/2019 10:00PM ET,WAS,15.35
G,Anders Nilsson (13633112),Anders Nilsson,13633112,G,7000,NYI@OTT 10/25/2019 07:30PM ET,OTT,21.52
LW,Victor Olofsson (13632608),Victor Olofsson,13632608,W/UTIL,5600,BUF@DET 10/25/2019 07:30PM ET,BUF,9.63
LW,Anders Lee (13632612),Anders Lee,13632612,W/UTIL,5400,NYI@OTT 10/25/2019 07:30PM ET,NYI,6.63
C,Elias Pettersson (13632452),Elias Pettersson,13632452,C/UTIL,5400,WAS@VAN 10/25/2019 10:00PM ET,VAN,10.24
C,Evgeny Kuznetsov (13632454),Evgeny Kuznetsov,13632454,C/UTIL,5200,WAS@VAN 10/25/2019 10:00PM ET,WAS,8.66
RW,Josh Bailey (13632618),Josh Bailey,13632618,W/UTIL,5100,NYI@OTT 10/25/2019 07:30PM ET,NYI,8.41
RW,Anthony Beauvillier (13632620),Anthony Beauvillier,13632620,W/UTIL,5000,NYI@OTT 10/25/2019 07:30PM ET,NYI,8.22
D,Devon Toews (13632898),Devon Toews,13632898,D/UTIL,4600,NYI@OTT 10/25/2019 07:30PM ET,NYI,8.34
LW,Vladislav Namestnikov (13632634),Vladislav Namestnikov,13632634,W/UTIL,4500,NYI@OTT 10/25/2019 07:30PM ET,OTT,10.34
D,Nikita Zaitsev (13632900),Nikita Zaitsev,13632900,D/UTIL,4500,NYI@OTT 10/25/2019 07:30PM ET,OTT,9.78
C,Lars Eller (13632466),Lars Eller,13632466,C/UTIL,4500,WAS@VAN 10/25/2019 10:00PM ET,WAS,8.08
C,Jean-Gabriel Pageau (13632468),Jean-Gabriel Pageau,13632468,C/UTIL,4400,NYI@OTT 10/25/2019 07:30PM ET,OTT,9.28
D,Danny DeKeyser (13632904),Danny DeKeyser,13632904,D/UTIL,4300,BUF@DET 10/25/2019 07:30PM ET,DET,9.18
LW,Tanner Pearson (13632640),Tanner Pearson,13632640,W/UTIL,4300,WAS@VAN 10/25/2019 10:00PM ET,VAN,9.01
