Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1700091960,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Mike Hoffman (13687324),Jake DeBrusk (13687386),David Pastrnak (13687260),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Carey Price (13688479),Brandon Pirri (13687508),,RW,David Pastrnak (13687260),David Pastrnak,13687260,W/UTIL,8200,OTT@BOS 11/02/2019 07:00PM ET,BOS,21.18
1700091961,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Mike Hoffman (13687324),Jake DeBrusk (13687386),David Pastrnak (13687260),Aaron Ekblad (13687956),Dougie Hamilton (13687930),David Rittich (13688474),Brandon Pirri (13687508),,G,Petr Mrazek (13688470),Petr Mrazek,13688470,G,8200,NJ@CAR 11/02/2019 07:00PM ET,CAR,14.8
1700091962,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Brandon Pirri (13687508),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Martin Jones (13688481),Jordan Staal (13687004),,G,Carter Hutton (13688472),Carter Hutton,13688472,G,8100,NYI@BUF 11/02/2019 07:00PM ET,BUF,18.4
1700091963,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Brandon Pirri (13687508),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Jacob Markstrom (13688480),Jordan Staal (13687004),,G,Linus Ullmark (13688494),Linus Ullmark,13688494,G,8100,NYI@BUF 11/02/2019 07:00PM ET,BUF,18.33
1700091964,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Jonathan Bernier (13688510),Brandon Pirri (13687508),,G,Sergei Bobrovsky (13688471),Sergei Bobrovsky,13688471,G,8100,DET@FLA 11/02/2019 07:00PM ET,FLA,7.81
1700091965,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Devan Dubnyk (13688486),Brandon Pirri (13687508),,C,Nathan MacKinnon (13686894),Nathan MacKinnon,13686894,C/UTIL,8100,COL@ARI 11/02/2019 09:00PM ET,COL,17.45
1700091966,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Carter Hart (13688483),Brandon Pirri (13687508),,G,Malcolm Subban (13688493),Malcolm Subban,13688493,G,8100,WPG@VGK 11/02/2019 10:00PM ET,VGK,1.4
1700091967,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Robin Lehner (13688482),Brandon Pirri (13687508),,G,James Reimer (13688495),James Reimer,13688495,G,8000,NJ@CAR 11/02/2019 07:00PM ET,CAR,13.5
1700091968,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Jonathan Quick (13688484),Brandon Pirri (13687508),,G,Jordan Binnington (13688473),Jordan Binnington,13688473,G,8000,STL@MIN 11/02/2019 08:00PM ET,STL,15.58
1700091969,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Cory Schneider (13688513),Brandon Pirri (13687508),,C,Patrice Bergeron (13686896),Patrice Bergeron,13686896,C/UTIL,7900,OTT@BOS 11/02/2019 07:00PM ET,BOS,13.86
1700091970,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Semyon Varlamov (13688487),Brandon Pirri (13687508),,G,Sam Montembeault (13688496),Sam Montembeault,13688496,G,7900,DET@FLA 11/02/2019 07:00PM ET,FLA,9.88
1700091971,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Aleksander Barkov (13686928),Jordan Staal (13687004),Mike Hoffman (13687324),Jake DeBrusk (13687386),David Pastrnak (13687260),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Joonas Korpisalo (13688489),Brandon Pirri (13687508),,G,David Rittich (13688474),David Rittich,13688474,G,7900,CGY@CLS 11/02/2019 07:00PM ET,CGY,13.79
1700091972,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Brandon Pirri (13687508),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Craig Anderson (13688491),Charlie Coyle (13686972),,LW,Brad Marchand (13687262),Brad Marchand,13687262,W/UTIL,7800,OTT@BOS 11/02/2019 07:00PM ET,BOS,16.99
1700111461,NHL $80K Saturday Shootout [$20K to 1st],79800118,$40,Auston Matthews (13686898),Aleksander Barkov (13686928),Jake DeBrusk (13687386),Brandon Pirri (13687508),Mike Hoffman (13687324),Aaron Ekblad (13687956),Dougie Hamilton (13687930),Laurent Brossoit (13688515),Charlie Coyle (13686972),,G,Frederik Andersen (13688475),Frederik Andersen,13688475,G,7800,TOR@PHI 11/02/2019 07:00PM ET,TOR,12.91
,,,,,,,,,,,,,,G,Ben Bishop (13688476),Ben Bishop,13688476,G,7800,MON@DAL 11/02/2019 07:00PM ET,DAL,11.75
,,,,,,,,,,,,,,G,Jake Allen (13688497),Jake Allen,13688497,G,7800,STL@MIN 11/02/2019 08:00PM ET,STL,4.75
,,,,,,,,,,,,,,C,Auston Matthews (13686898),Auston Matthews,13686898,C/UTIL,7700,TOR@PHI 11/02/2019 07:00PM ET,TOR,17.03
,,,,,,,,,,,,,,G,Cam Talbot (13688499),Cam Talbot,13688499,G,7700,CGY@CLS 11/02/2019 07:00PM ET,CGY,8.32
,,,,,,,,,,,,,,G,Darcy Kuemper (13688477),Darcy Kuemper,13688477,G,7700,COL@ARI 11/02/2019 09:00PM ET,ARI,16.22
,,,,,,,,,,,,,,G,Antti Raanta (13688498),Antti Raanta,13688498,G,7700,COL@ARI 11/02/2019 09:00PM ET,ARI,15.22
,,,,,,,,,,,,,,G,Michael Hutchinson (13688500),Michael Hutchinson,13688500,G,7600,TOR@PHI 11/02/2019 07:00PM ET,TOR,8.32
,,,,,,,,,,,,,,G,Carey Price (13688479),Carey Price,13688479,G,7600,MON@DAL 11/02/2019 07:00PM ET,MON,14.72
,,,,,,,,,,,,,,G,Anton Khudobin (13688501),Anton Khudobin,13688501,G,7600,MON@DAL 11/02/2019 07:00PM ET,DAL,13.9
,,,,,,,,,,,,,,G,Philipp Grubauer (13688478),Philipp Grubauer,13688478,G,7600,COL@ARI 11/02/2019 09:00PM ET,COL,16.22
,,,,,,,,,,,,,,C,Jack Eichel (13686900),Jack Eichel,13686900,C/UTIL,7500,NYI@BUF 11/02/2019 07:00PM ET,BUF,15.49
,,,,,,,,,,,,,,RW,Brock Boeser (13687264),Brock Boeser,13687264,W/UTIL,7500,VAN@SJ 11/02/2019 10:00PM ET,VAN,13.58
,,,,,,,,,,,,,,G,Jacob Markstrom (13688480),Jacob Markstrom,13688480,G,7500,VAN@SJ 11/02/2019 10:00PM ET,VAN,15.26
,,,,,,,,,,,,,,G,Martin Jones (13688481),Martin Jones,13688481,G,7500,VAN@SJ 11/02/2019 10:00PM ET,SJ,8.24
,,,,,,,,,,,,,,G,Carter Hart (13688483),Carter Hart,13688483,G,7400,TOR@PHI 11/02/2019 07:00PM ET,PHI,5.8
,,,,,,,,,,,,,,G,Brian Elliott (13688505),Brian Elliott,13688505,G,7400,TOR@PHI 11/02/2019 07:00PM ET,PHI,10.5
,,,,,,,,,,,,,,G,Keith Kinkaid (13688504),Keith Kinkaid,13688504,G,7400,MON@DAL 11/02/2019 07:00PM ET,MON,9.43
,,,,,,,,,,,,,,G,Pavel Francouz (13688502),Pavel Francouz,13688502,G,7400,COL@ARI 11/02/2019 09:00PM ET,COL,19
,,,,,,,,,,,,,,RW,Patrick Kane (13687266),Patrick Kane,13687266,W/UTIL,7400,CHI@LA 11/02/2019 10:30PM ET,CHI,10.76
,,,,,,,,,,,,,,G,Robin Lehner (13688482),Robin Lehner,13688482,G,7400,CHI@LA 11/02/2019 10:30PM ET,CHI,19.92
,,,,,,,,,,,,,,G,Jonathan Quick (13688484),Jonathan Quick,13688484,G,7400,CHI@LA 11/02/2019 10:30PM ET,LA,5.82
,,,,,,,,,,,,,,G,Corey Crawford (13688503),Corey Crawford,13688503,G,7400,CHI@LA 11/02/2019 10:30PM ET,CHI,8.48
,,,,,,,,,,,,,,G,Jack Campbell (13688506),Jack Campbell,13688506,G,7400,CHI@LA 11/02/2019 10:30PM ET,LA,7.88
,,,,,,,,,,,,,,G,Jimmy Howard (13688485),Jimmy Howard,13688485,G,7300,DET@FLA 11/02/2019 07:00PM ET,DET,11.64
,,,,,,,,,,,,,,G,Devan Dubnyk (13688486),Devan Dubnyk,13688486,G,7300,STL@MIN 11/02/2019 08:00PM ET,MIN,7.45
,,,,,,,,,,,,,,RW,Mark Stone (13687268),Mark Stone,13687268,W/UTIL,7300,WPG@VGK 11/02/2019 10:00PM ET,VGK,13.89
,,,,,,,,,,,,,,C,Elias Pettersson (13686902),Elias Pettersson,13686902,C/UTIL,7300,VAN@SJ 11/02/2019 10:00PM ET,VAN,12.77
,,,,,,,,,,,,,,G,Thatcher Demko (13688507),Thatcher Demko,13688507,G,7300,VAN@SJ 11/02/2019 10:00PM ET,VAN,17.98
,,,,,,,,,,,,,,G,Aaron Dell (13688508),Aaron Dell,13688508,G,7300,VAN@SJ 11/02/2019 10:00PM ET,SJ,9.16
,,,,,,,,,,,,,,G,Semyon Varlamov (13688487),Semyon Varlamov,13688487,G,7200,NYI@BUF 11/02/2019 07:00PM ET,NYI,14.65
,,,,,,,,,,,,,,G,Thomas Greiss (13688509),Thomas Greiss,13688509,G,7200,NYI@BUF 11/02/2019 07:00PM ET,NYI,17.64
,,,,,,,,,,,,,,RW,Brendan Gallagher (13687270),Brendan Gallagher,13687270,W/UTIL,7200,MON@DAL 11/02/2019 07:00PM ET,MON,14.58
,,,,,,,,,,,,,,G,Jonathan Bernier (13688510),Jonathan Bernier,13688510,G,7100,DET@FLA 11/02/2019 07:00PM ET,DET,8.73
,,,,,,,,,,,,,,C,John Tavares (13686904),John Tavares,13686904,C/UTIL,7100,TOR@PHI 11/02/2019 07:00PM ET,TOR,8.31
,,,,,,,,,,,,,,G,MacKenzie Blackwood (13688488),MacKenzie Blackwood,13688488,G,7100,NJ@CAR 11/02/2019 07:00PM ET,NJ,7.54
,,,,,,,,,,,,,,G,Cory Schneider (13688513),Cory Schneider,13688513,G,7100,NJ@CAR 11/02/2019 07:00PM ET,NJ,2.08
,,,,,,,,,,,,,,G,Alex Stalock (13688511),Alex Stalock,13688511,G,7100,STL@MIN 11/02/2019 08:00PM ET,MIN,10.69
,,,,,,,,,,,,,,RW,Mikko Rantanen (13687272),Mikko Rantanen,13687272,W/UTIL,7100,COL@ARI 11/02/2019 09:00PM ET,COL,14
,,,,,,,,,,,,,,G,Calvin Pickard (13688512),Calvin Pickard,13688512,G,7000,DET@FLA 11/02/2019 07:00PM ET,DET,0
,,,,,,,,,,,,,,G,Joonas Korpisalo (13688489),Joonas Korpisalo,13688489,G,7000,CGY@CLS 11/02/2019 07:00PM ET,CLS,9.66
,,,,,,,,,,,,,,LW,Gabriel Landeskog (13687274),Gabriel Landeskog,13687274,W/UTIL,7000,COL@ARI 11/02/2019 09:00PM ET,COL,8.94
,,,,,,,,,,,,,,C,Bo Horvat (13686906),Bo Horvat,13686906,C/UTIL,7000,VAN@SJ 11/02/2019 10:00PM ET,VAN,12.63
,,,,,,,,,,,,,,LW,J.T. Miller (13687276),J.T. Miller,13687276,W/UTIL,7000,VAN@SJ 11/02/2019 10:00PM ET,VAN,12.33
,,,,,,,,,,,,,,C,Vincent Trocheck (13686908),Vincent Trocheck,13686908,C/UTIL,6900,DET@FLA 11/02/2019 07:00PM ET,FLA,11.52
,,,,,,,,,,,,,,RW,Mitchell Marner (13687280),Mitchell Marner,13687280,W/UTIL,6900,TOR@PHI 11/02/2019 07:00PM ET,TOR,12.71
,,,,,,,,,,,,,,LW,Taylor Hall (13687278),Taylor Hall,13687278,W/UTIL,6900,NJ@CAR 11/02/2019 07:00PM ET,NJ,12.13
,,,,,,,,,,,,,,G,Connor Hellebuyck (13688490),Connor Hellebuyck,13688490,G,6900,WPG@VGK 11/02/2019 10:00PM ET,WPG,17.9
,,,,,,,,,,,,,,D,Alexander Edler (13687926),Alexander Edler,13687926,D/UTIL,6900,VAN@SJ 11/02/2019 10:00PM ET,VAN,14.2
,,,,,,,,,,,,,,G,Craig Anderson (13688491),Craig Anderson,13688491,G,6800,OTT@BOS 11/02/2019 07:00PM ET,OTT,11.76
,,,,,,,,,,,,,,LW,Jonathan Huberdeau (13687282),Jonathan Huberdeau,13687282,W/UTIL,6800,DET@FLA 11/02/2019 07:00PM ET,FLA,11.63
,,,,,,,,,,,,,,G,Elvis Merzlikins (13688514),Elvis Merzlikins,13688514,G,6800,CGY@CLS 11/02/2019 07:00PM ET,CLS,7.12
,,,,,,,,,,,,,,C,Tyler Seguin (13686910),Tyler Seguin,13686910,C/UTIL,6800,MON@DAL 11/02/2019 07:00PM ET,DAL,9.55
