Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1728914630,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Mark Stone (13774497),James Neal (13774529),Alex Killorn (13774543),Victor Hedman (13774719),Mikhail Sergachev (13774749),Connor Hellebuyck (13774918),Pat Maroon (13774583),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1728914631,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),David Rittich (13774915),Pat Maroon (13774583),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1728914632,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Ben Bishop (13774916),Pat Maroon (13774583),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1728914633,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Mikko Koskinen (13774922),Pat Maroon (13774583),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1728914634,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Jonathan Quick (13774917),Pat Maroon (13774583),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1728914635,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Killorn (13774543),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Darcy Kuemper (13774914),Pat Maroon (13774583),,,,,,,,,,
1728914636,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Ryan McDonagh (13774757),Marc-Andre Fleury (13774912),Pat Maroon (13774583),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1728929948,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),Alex Tuch (13774539),Alex Killorn (13774543),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Andrei Vasilevskiy (13774911),Pat Maroon (13774583),,G,Andrei Vasilevskiy (13774911),Andrei Vasilevskiy,13774911,G,8400,WPG@TB 11/16/2019 04:00PM ET,TB,13.54
,,,,,,,,,,,,,,G,Curtis McElhinney (13774919),Curtis McElhinney,13774919,G,8300,WPG@TB 11/16/2019 04:00PM ET,TB,17.92
,,,,,,,,,,,,,,LW,Leon Draisaitl (13774491),Leon Draisaitl,13774491,W/UTIL,8300,DAL@EDM 11/16/2019 04:00PM ET,EDM,18.87
