Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1728930272,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Justin Schultz (13775872),Vince Dunn (13775988),Sergei Bobrovsky (13776273),Brayden Schenn (13774990),,G,Jake Allen (13776289),Jake Allen,13776289,G,8100,ANH@STL 11/16/2019 08:00PM ET,STL,12.02
1728930273,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Justin Schultz (13775872),Vince Dunn (13775988),Martin Jones (13776272),Brayden Schenn (13774990),,G,Martin Jones (13776272),Martin Jones,13776272,G,8100,DET@SJ 11/16/2019 10:30PM ET,SJ,9.47
1728930274,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Shea Weber (13775826),Justin Schultz (13775872),Keith Kinkaid (13776288),Kyle Okposo (13775528),,G,Linus Ullmark (13776292),Linus Ullmark,13776292,G,8000,OTT@BUF 11/16/2019 07:00PM ET,BUF,17.31
1728930275,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Shea Weber (13775826),Justin Schultz (13775872),Jordan Binnington (13776269),Kyle Okposo (13775528),,G,Sergei Bobrovsky (13776273),Sergei Bobrovsky,13776273,G,8000,NYR@FLA 11/16/2019 07:00PM ET,FLA,8.39
1728930276,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Shea Weber (13775826),Justin Schultz (13775872),Pekka Rinne (13776270),Kyle Okposo (13775528),,G,Sam Montembeault (13776290),Sam Montembeault,13776290,G,8000,NYR@FLA 11/16/2019 07:00PM ET,FLA,10.8
,,,,,,,,,,,,,,C,Auston Matthews (13774940),Auston Matthews,13774940,C/UTIL,8000,TOR@PIT 11/16/2019 07:00PM ET,TOR,17.14
,,,,,,,,,,,,,,G,Juuse Saros (13776291),Juuse Saros,13776291,G,8000,CHI@NSH 11/16/2019 08:00PM ET,NSH,8.34
,,,,,,,,,,,,,,G,Carter Hart (13776274),Carter Hart,13776274,G,7900,NYI@PHI 11/16/2019 07:00PM ET,PHI,10.35
,,,,,,,,,,,,,,G,Brian Elliott (13776293),Brian Elliott,13776293,G,7900,NYI@PHI 11/16/2019 07:00PM ET,PHI,12.19
,,,,,,,,,,,,,,G,Aaron Dell (13776294),Aaron Dell,13776294,G,7900,DET@SJ 11/16/2019 10:30PM ET,SJ,7.4
