Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40590-8640,W,David,David Perron,Perron,13.530000305175781,20,6300,ANH@STL,STL,ANH,,,,,
40590-66508,W,Travis,Travis Konecny,Konecny,14.415789152446546,19,6300,NYI@PHI,PHI,NYI,,,,,
40590-9266,C,Brayden,Brayden Schenn,Schenn,13.280000305175781,20,6200,ANH@STL,STL,ANH,,,,,
40590-8875,W,Evgenii,Evgenii Dadonov,Dadonov,12.931578786749588,19,6200,NYR@FLA,FLA,NYR,,,,,
40590-15283,C,Vincent,Vincent Trocheck,Trocheck,12.941666920979818,12,6100,NYR@FLA,FLA,NYR,,,,,
40590-8467,D,Shea,Shea Weber,Weber,15.347368742290296,19,6000,NJ@MON,MON,NJ,,,,,
40590-8134,C,Ryan,Ryan Getzlaf,Getzlaf,12.330000305175782,20,6000,ANH@STL,ANH,STL,,,,,
40590-83057,W,Victor,Victor Olofsson,Olofsson,11.733333163791233,18,5900,OTT@BUF,BUF,OTT,,,,,
40590-12644,W,Kyle,Kyle Palmieri,Palmieri,10.805555555555555,18,5900,NJ@MON,NJ,MON,,,,,
40590-41592,C,Max,Max Domi,Domi,10.236842105263158,19,5900,NJ@MON,MON,NJ,,,,,
40590-59276,W,William,William Nylander,Nylander,12.185713995070685,21,5900,TOR@PIT,TOR,PIT,,,,,
40590-9259,W,Mike,Mike Hoffman,Hoffman,12.605263157894736,19,5800,NYR@FLA,FLA,NYR,,,,,
40590-66690,W,Timo,Timo Meier,Meier,11.905000305175781,20,5800,DET@SJ,SJ,DET,,,,,
40590-21648,D,Torey,Torey Krug,Krug,11.900000179515166,17,5800,WSH@BOS,BOS,WSH,IR,Upper body,,,
40590-8714,C,Nicklas,Nicklas Backstrom,Backstrom,11.771428426106771,21,5800,WSH@BOS,WSH,BOS,,,,,
40590-15269,W,Rickard,Rickard Rakell,Rakell,12.08499984741211,20,5800,ANH@STL,ANH,STL,,,,,
40590-42478,C,Bo,Bo Horvat,Horvat,13.4,20,5700,COL@VAN,VAN,COL,,,,,
40590-12843,C,Adam,Adam Henrique,Henrique,11.705000305175782,20,5700,ANH@STL,ANH,STL,,,,,
40590-9079,D,Keith,Keith Yandle,Yandle,11.94210494192023,19,5700,NYR@FLA,FLA,NYR,,,,,
40590-15360,W,J.T.,J.T. Miller,Miller,13.935000610351562,20,5600,COL@VAN,VAN,COL,,,,,
40590-55375,W,Sam,Sam Reinhart,Reinhart,12.850000169542101,18,5600,OTT@BUF,BUF,OTT,,,,,
40590-66759,D,Thomas,Thomas Chabot,Chabot,11.294737163342928,19,5600,OTT@BUF,OTT,BUF,,,,,
40590-58985,W,Jakub,Jakub Vrana,Vrana,12.985714867001487,21,5600,WSH@BOS,WSH,BOS,,,,,
40590-21122,W,Jaden,Jaden Schwartz,Schwartz,11.509999847412109,20,5600,ANH@STL,STL,ANH,,,,,
40590-8176,C,David,David Krejci,Krejci,10.576923076923077,13,5600,WSH@BOS,BOS,WSH,,,,,
40590-85132,D,Rasmus,Rasmus Dahlin,Dahlin,9.127777947319878,18,5500,OTT@BUF,BUF,OTT,,,,,
40590-12592,C,Ryan,Ryan Johansen,Johansen,9.883332994249132,18,5500,CHI@NSH,NSH,CHI,,,,,
40590-21927,W,Chris,Chris Kreider,Kreider,10.58235258214614,17,5500,NYR@FLA,NYR,FLA,,,,,
40590-8765,W,Patric,Patric Hornqvist,Hornqvist,13.157142639160156,14,5500,TOR@PIT,PIT,TOR,IR,Lower body,,,
40590-9025,W,Jordan,Jordan Eberle,Eberle,9.514285496303014,7,5500,NYI@PHI,NYI,PHI,,,,,
40590-70513,W,Pavel,Pavel Buchnevich,Buchnevich,10.658823349896599,17,5500,NYR@FLA,NYR,FLA,,,,,
40590-15386,C,Ryan,Ryan Strome,Strome,11.676470588235293,17,5400,NYR@FLA,NYR,FLA,,,,,
40590-43135,W,Tyler,Tyler Bertuzzi,Bertuzzi,13.147619338262649,21,5400,DET@SJ,DET,SJ,,,,,
40590-8495,W,Josh,Josh Bailey,Bailey,10.72352959127987,17,5400,NYI@PHI,NYI,PHI,,,,,
40590-62869,W,Andreas,Andreas Johnsson,Johnsson,10.114285423642112,21,5400,TOR@PIT,TOR,PIT,,,,,
40590-97147,W,Brady,Brady Tkachuk,Tkachuk,12.294737163342928,19,5400,OTT@BUF,OTT,BUF,,,,,
40590-15287,C,Jean-Gabriel,Jean-Gabriel Pageau,Pageau,14.231578626130757,19,5400,OTT@BUF,OTT,BUF,,,,,
40590-21897,C,Brock,Brock Nelson,Nelson,12.294117647058824,17,5300,NYI@PHI,NYI,PHI,,,,,
40590-8709,D,Alexander,Alexander Edler,Edler,13.9,20,5300,COL@VAN,VAN,COL,,,,,
40590-8741,C,Nazem,Nazem Kadri,Kadri,11.415789152446546,19,5300,COL@VAN,COL,VAN,,,,,
40590-111471,W,Kaapo,Kaapo Kakko,Kakko,8.625,16,5300,NYR@FLA,NYR,FLA,DTD,Illness,,,
40590-15277,C,Phillip,Phillip Danault,Danault,10.357894897460938,19,5300,NJ@MON,MON,NJ,,,,,
40590-8797,W,James,James van Riemsdyk,van Riemsdyk,10.131578947368421,19,5200,NYI@PHI,PHI,NYI,,,,,
40590-58990,C,Kevin,Kevin Hayes,Hayes,8.721052470960116,19,5200,NYI@PHI,PHI,NYI,,,,,
40590-65969,C,Dylan,Dylan Strome,Strome,10.722222222222221,18,5100,CHI@NSH,CHI,NSH,,,,,
