Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40490-43093,D,Shea,Shea Theodore,Theodore,8.568421213250412,19,4700,CHI@VGK,VGK,CHI,,,,,
40490-80475,W,Oskar,Oskar Lindblom,Lindblom,12.447059182559743,17,4700,WSH@PHI,PHI,WSH,,,,,
40490-15280,W,Brandon,Brandon Saad,Saad,10.376470229204964,17,4700,CHI@VGK,CHI,VGK,,,,,
40490-65969,C,Dylan,Dylan Strome,Strome,9.42352923224954,17,4700,CHI@VGK,CHI,VGK,,,,,
40490-15287,C,Jean-Gabriel,Jean-Gabriel Pageau,Pageau,13.411764705882353,17,4700,OTT@NJ,OTT,NJ,,,,,
40490-11204,D,Jake,Jake Muzzin,Muzzin,11.177777608235678,18,4700,TOR@NYI,TOR,NYI,,,,,
40490-9189,C,Mikael,Mikael Backlund,Backlund,7.69000015258789,20,4700,DAL@CGY,CGY,DAL,,,,,
40490-8266,D,Duncan,Duncan Keith,Keith,8.858823888442096,17,4600,CHI@VGK,CHI,VGK,,,,,
40490-80991,C,Nico,Nico Hischier,Hischier,8.264285496303014,14,4600,OTT@NJ,NJ,OTT,,,,,
40490-23226,W,Tom,Tom Wilson,Wilson,13.489473041735197,19,4600,WSH@PHI,WSH,PHI,,,,,
40490-9990,C,Lars,Lars Eller,Eller,9.463158055355674,19,4600,WSH@PHI,WSH,PHI,,,,,
40490-79898,C,Colin,Colin White,White,6.880000305175781,10,4500,OTT@NJ,OTT,NJ,,,,,
40490-70199,D,Devon,Devon Toews,Toews,10.362500190734863,16,4500,TOR@NYI,NYI,TOR,,,,,
40490-66686,W,Anthony,Anthony Beauvillier,Beauvillier,8.15625,16,4500,TOR@NYI,NYI,TOR,,,,,
40490-15313,W,Vladislav,Vladislav Namestnikov,Namestnikov,11.588235294117647,17,4500,OTT@NJ,OTT,NJ,,,,,
40490-70168,W,Alex,Alex Tuch,Tuch,8.399999618530273,2,4400,CHI@VGK,VGK,CHI,,,,,
40490-13981,D,Tyson,Tyson Barrie,Barrie,7.8578948974609375,19,4400,TOR@NYI,TOR,NYI,,,,,
40490-58686,W,Kasperi,Kasperi Kapanen,Kapanen,7.900000321237664,19,4400,TOR@NYI,TOR,NYI,,,,,
40490-12609,W,Zach,Zach Hyman,Hyman,9.954929405534772,71,4400,TOR@NYI,TOR,NYI,,,,,
40490-39243,D,Nate,Nate Schmidt,Schmidt,9.02857153756278,7,4400,CHI@VGK,VGK,CHI,,,,,
40490-43022,W,Connor,Connor Brown,Brown,10.288234935087317,17,4300,OTT@NJ,OTT,NJ,,,,,
40490-82004,W,Cody,Cody Glass,Glass,6.184210526315789,19,4300,CHI@VGK,VGK,CHI,,,,,
40490-43120,W,Anthony,Anthony Duclair,Duclair,11.22941140567555,17,4300,OTT@NJ,OTT,NJ,,,,,
40490-14474,D,Sami,Sami Vatanen,Vatanen,10.446666463216145,15,4300,OTT@NJ,NJ,OTT,O,Upper body,,,
40490-43200,D,Ryan,Ryan Pulock,Pulock,9.5,16,4300,TOR@NYI,NYI,TOR,,,,,
40490-70511,W,Denis,Denis Gurianov,Gurianov,9.442856924874443,14,4300,DAL@CGY,DAL,CGY,,,,,
40490-11170,D,Nick,Nick Leddy,Leddy,8.841666539510092,12,4300,TOR@NYI,NYI,TOR,,,,,
40490-104140,W,Ilya,Ilya Mikheyev,Mikheyev,9.68421052631579,19,4200,TOR@NYI,TOR,NYI,,,,,
40490-8404,W,Wayne,Wayne Simmonds,Simmonds,9.493749618530273,16,4200,OTT@NJ,NJ,OTT,,,,,
40490-82179,C,Alexander,Alexander Kerfoot,Kerfoot,8.263157894736842,19,4200,TOR@NYI,TOR,NYI,,,,,
40490-8516,C,Artem,Artem Anisimov,Anisimov,8,7,4200,OTT@NJ,OTT,NJ,IR,Groin,,,
40490-9036,D,Travis,Travis Hamonic,Hamonic,7.080000305175782,20,4200,DAL@CGY,CGY,DAL,,,,,
40490-59271,D,Travis,Travis Sanheim,Sanheim,6.729411854463465,17,4200,WSH@PHI,PHI,WSH,,,,,
40490-37880,C,Scott,Scott Laughton,Laughton,6.222222222222222,9,4200,WSH@PHI,PHI,WSH,IR,Finger,,,
40490-54575,D,Esa,Esa Lindell,Lindell,7.655555725097656,18,4100,DAL@CGY,DAL,CGY,,,,,
40490-15281,W,Andrew,Andrew Shaw,Shaw,7.04117629107307,17,4100,CHI@VGK,CHI,VGK,,,,,
40490-70579,D,Michal,Michal Kempny,Kempny,13.454545454545455,11,4100,WSH@PHI,WSH,PHI,,,,,
