Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Alex Ovechkin (13754861),Alex Ovechkin,13754861,W/UTIL,8300,WAS@PHI 11/13/2019 07:30PM ET,WAS,18.95
C,Auston Matthews (13754711),Auston Matthews,13754711,C/UTIL,7900,TOR@NYI 11/13/2019 07:00PM ET,TOR,17.68
D,John Carlson (13755137),John Carlson,13755137,D/UTIL,7700,WAS@PHI 11/13/2019 07:30PM ET,WAS,17.88
RW,Patrick Kane (13754863),Patrick Kane,13754863,W/UTIL,7200,CHI@VGK 11/13/2019 10:00PM ET,CHI,13.59
LW,Taylor Hall (13754865),Taylor Hall,13754865,W/UTIL,7100,OTT@NJ 11/13/2019 07:00PM ET,NJ,12
LW,Max Pacioretty (13754867),Max Pacioretty,13754867,W/UTIL,7000,CHI@VGK 11/13/2019 10:00PM ET,VGK,13.32
C,Evgeny Kuznetsov (13754713),Evgeny Kuznetsov,13754713,C/UTIL,6900,WAS@PHI 11/13/2019 07:30PM ET,WAS,12.67
RW,Matthew Tkachuk (13754869),Matthew Tkachuk,13754869,W/UTIL,6900,DAL@CGY 11/13/2019 09:30PM ET,CGY,12.38
RW,Mark Stone (13754871),Mark Stone,13754871,W/UTIL,6800,CHI@VGK 11/13/2019 10:00PM ET,VGK,11.35
LW,Johnny Gaudreau (13754873),Johnny Gaudreau,13754873,W/UTIL,6700,DAL@CGY 11/13/2019 09:30PM ET,CGY,10.22
C,Mathew Barzal (13754715),Mathew Barzal,13754715,C/UTIL,6700,TOR@NYI 11/13/2019 07:00PM ET,NYI,11.64
LW,Brady Tkachuk (13754875),Brady Tkachuk,13754875,W/UTIL,6600,OTT@NJ 11/13/2019 07:00PM ET,OTT,11.96
C,John Tavares (13754719),John Tavares,13754719,C/UTIL,6600,TOR@NYI 11/13/2019 07:00PM ET,TOR,9.62
C,Sean Monahan (13754717),Sean Monahan,13754717,C/UTIL,6500,DAL@CGY 11/13/2019 09:30PM ET,CGY,9.43
RW,Alexander Radulov (13754877),Alexander Radulov,13754877,W/UTIL,6500,DAL@CGY 11/13/2019 09:30PM ET,DAL,9.7
RW,Elias Lindholm (13754879),Elias Lindholm,13754879,W/UTIL,6400,DAL@CGY 11/13/2019 09:30PM ET,CGY,11.09
LW,Jakub Vrana (13754881),Jakub Vrana,13754881,W/UTIL,6300,WAS@PHI 11/13/2019 07:30PM ET,WAS,11.62
C,William Karlsson (13754721),William Karlsson,13754721,C/UTIL,6300,CHI@VGK 11/13/2019 10:00PM ET,VGK,9.64
C,Tyler Seguin (13754723),Tyler Seguin,13754723,C/UTIL,6200,DAL@CGY 11/13/2019 09:30PM ET,DAL,9.74
RW,Mitchell Marner (13754883),Mitchell Marner,13754883,W/UTIL,6200,TOR@NYI 11/13/2019 07:00PM ET,TOR,11.43
D,Morgan Rielly (13755139),Morgan Rielly,13755139,D/UTIL,6200,TOR@NYI 11/13/2019 07:00PM ET,TOR,12.22
D,Thomas Chabot (13755141),Thomas Chabot,13755141,D/UTIL,6100,OTT@NJ 11/13/2019 07:00PM ET,OTT,10.58
C,Nicklas Backstrom (13754725),Nicklas Backstrom,13754725,C/UTIL,6000,WAS@PHI 11/13/2019 07:30PM ET,WAS,9.86
RW,T.J. Oshie (13754885),T.J. Oshie,13754885,W/UTIL,6000,WAS@PHI 11/13/2019 07:30PM ET,WAS,9.72
D,Mark Giordano (13755143),Mark Giordano,13755143,D/UTIL,6000,DAL@CGY 11/13/2019 09:30PM ET,CGY,12.00
C,Jean-Gabriel Pageau (13754727),Jean-Gabriel Pageau,13754727,C/UTIL,5900,OTT@NJ 11/13/2019 07:00PM ET,OTT,11.02
LW,Alex DeBrincat (13754887),Alex DeBrincat,13754887,W/UTIL,5900,CHI@VGK 11/13/2019 10:00PM ET,CHI,10.92
RW,Reilly Smith (13754889),Reilly Smith,13754889,W/UTIL,5800,CHI@VGK 11/13/2019 10:00PM ET,VGK,10.82
C,Claude Giroux (13754729),Claude Giroux,13754729,C/UTIL,5700,WAS@PHI 11/13/2019 07:30PM ET,PHI,10.96
LW,Jonathan Marchessault (13754891),Jonathan Marchessault,13754891,W/UTIL,5700,CHI@VGK 11/13/2019 10:00PM ET,VGK,9.70
RW,Kyle Palmieri (13754893),Kyle Palmieri,13754893,W/UTIL,5600,OTT@NJ 11/13/2019 07:00PM ET,NJ,10.09
D,Miro Heiskanen (13755145),Miro Heiskanen,13755145,D/UTIL,5500,DAL@CGY 11/13/2019 09:30PM ET,DAL,9.72
LW,Anders Lee (13754895),Anders Lee,13754895,W/UTIL,5500,TOR@NYI 11/13/2019 07:00PM ET,NYI,8.62
RW,Travis Konecny (13754899),Travis Konecny,13754899,W/UTIL,5400,WAS@PHI 11/13/2019 07:30PM ET,PHI,11.74
C,Sean Couturier (13754731),Sean Couturier,13754731,C/UTIL,5300,WAS@PHI 11/13/2019 07:30PM ET,PHI,9.72
RW,Tom Wilson (13754897),Tom Wilson,13754897,W/UTIL,5300,WAS@PHI 11/13/2019 07:30PM ET,WAS,10.65
RW,Anthony Duclair (13754901),Anthony Duclair,13754901,W/UTIL,5200,OTT@NJ 11/13/2019 07:00PM ET,OTT,9.69
D,Michal Kempny (13755147),Michal Kempny,13755147,D/UTIL,5200,WAS@PHI 11/13/2019 07:30PM ET,WAS,10.54
D,P.K. Subban (13755149),P.K. Subban,13755149,D/UTIL,5100,OTT@NJ 11/13/2019 07:00PM ET,NJ,8.08
LW,James van Riemsdyk (13754903),James van Riemsdyk,13754903,W/UTIL,5100,WAS@PHI 11/13/2019 07:30PM ET,PHI,9.42
C,Brock Nelson (13754733),Brock Nelson,13754733,C/UTIL,5000,TOR@NYI 11/13/2019 07:00PM ET,NYI,9.78
RW,William Nylander (13754905),William Nylander,13754905,W/UTIL,5000,TOR@NYI 11/13/2019 07:00PM ET,TOR,9.48
D,Ryan Pulock (13755151),Ryan Pulock,13755151,D/UTIL,5000,TOR@NYI 11/13/2019 07:00PM ET,NYI,8.98
C,Roope Hintz (13754735),Roope Hintz,13754735,C/UTIL,4900,DAL@CGY 11/13/2019 09:30PM ET,DAL,9.22
