entry_id,contest_id,contest_name,C,C,W,W,W,W,D,D,G,,Instructions,,,,,,,,,,,,,,
1870435232,40360-231218419,$1500 NHL Breakaway,40360-41393:ALEKSANDER BARKOV,40360-15321:MARK SCHEIFELE,40360-62493:ARTEMI PANARIN,40360-9259:MIKE HOFFMAN,40360-21927:CHRIS KREIDER,40360-61549:FRANK VATRANO,40360-39245:JACOB TROUBA,40360-58928:TONY DEANGELO,40360-66693:SAM MONTEMBEAULT,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1870438326,40360-231218419,$1500 NHL Breakaway,40360-41393:ALEKSANDER BARKOV,40360-15321:MARK SCHEIFELE,40360-62493:ARTEMI PANARIN,40360-9259:MIKE HOFFMAN,40360-21927:CHRIS KREIDER,40360-61549:FRANK VATRANO,40360-55607:AARON EKBLAD,40360-58928:TONY DEANGELO,40360-8893:ANTON KHUDOBIN,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1870438340,40360-231218419,$1500 NHL Breakaway,40360-41393:ALEKSANDER BARKOV,40360-15321:MARK SCHEIFELE,40360-15217:JONATHAN HUBERDEAU,40360-9259:MIKE HOFFMAN,40360-21927:CHRIS KREIDER,40360-61549:FRANK VATRANO,40360-39245:JACOB TROUBA,40360-58928:TONY DEANGELO,40360-58909:CONNOR HELLEBUYCK,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1870438353,40360-231218419,$1500 NHL Breakaway,40360-41393:ALEKSANDER BARKOV,40360-15321:MARK SCHEIFELE,40360-15217:JONATHAN HUBERDEAU,40360-9259:MIKE HOFFMAN,40360-21927:CHRIS KREIDER,40360-61549:FRANK VATRANO,40360-39245:JACOB TROUBA,40360-58928:TONY DEANGELO,40360-8532:HENRIK LUNDQVIST,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,,,,,,,,,,,,,40360-8883:Ben Bishop,40360-8883,G,Ben,Ben Bishop,Bishop,18.0666669209798,12,8500,DAL@WPG,DAL,WPG,,,
,,,,,,,,,,,,,40360-62493:Artemi Panarin,40360-62493,W,Artemi,Artemi Panarin,Panarin,16.1785714285714,14,8100,FLA@NYR,NYR,FLA,,,
,,,,,,,,,,,,,40360-12163:Sergei Bobrovsky,40360-12163,G,Sergei,Sergei Bobrovsky,Bobrovsky,12.2285712105887,14,8100,FLA@NYR,FLA,NYR,,,
,,,,,,,,,,,,,40360-41393:Aleksander Barkov,40360-41393,C,Aleksander,Aleksander Barkov,Barkov,15.6187496185303,16,8100,FLA@NYR,FLA,NYR,,,
,,,,,,,,,,,,,40360-58909:Connor Hellebuyck,40360-58909,G,Connor,Connor Hellebuyck,Hellebuyck,23.0769230769231,13,7800,DAL@WPG,WPG,DAL,,,
,,,,,,,,,,,,,40360-8532:Henrik Lundqvist,40360-8532,G,Henrik,Henrik Lundqvist,Lundqvist,21.7999992370605,8,7800,FLA@NYR,NYR,FLA,,,
,,,,,,,,,,,,,40360-12417:Tyler Seguin,40360-12417,C,Tyler,Tyler Seguin,Seguin,11.2117650649127,17,7700,DAL@WPG,DAL,WPG,,,
,,,,,,,,,,,,,40360-82094:Alexandar Georgiev,40360-82094,G,Alexandar,Alexandar Georgiev,Georgiev,16.5714285714286,7,7700,FLA@NYR,NYR,FLA,,,
,,,,,,,,,,,,,40360-70900:Patrik Laine,40360-70900,W,Patrik,Patrik Laine,Laine,14.8,15,7700,DAL@WPG,WPG,DAL,,,
