Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Elina Svitolina (14277415),Elina Svitolina,14277415,P,10600,Schoofs@Svitolina 02/12/2020 05:00AM ET,Svitolina,39.65,0.924172278338945,0,-1250,-1500,-1000,0.925925925925926,0.9375,0.909090909090909,1
P,Nao Hibino (14277416),Nao Hibino,14277416,P,10300,Hibino@Plipuech 02/12/2020 04:15AM ET,Hibino,49.87,0.889561067419507,0,-770,-850,-800,0.885057471264368,0.894736842105263,0.888888888888889,1
P,Lin Zhu (14277417),Lin Zhu,14277417,P,10000,Zhu@Kung 02/12/2020 05:30AM ET,Zhu,42.85,0.859627329192547,0,-590,-650,-600,0.855072463768116,0.866666666666667,0.857142857142857,0
P,Saisai Zheng (14277418),Saisai Zheng,14277418,P,9900,Zheng@Liang 02/12/2020 03:00AM ET,Zheng,51.85,0.842657342657343,0,-560,-550,-500,0.848484848484848,0.846153846153846,0.833333333333333,1
P,Jannik Sinner (14277419),Jannik Sinner,14277419,P,9100,Albot@Sinner 02/12/2020 05:00AM ET,Sinner,36.01,0.730961531479666,0,-286,-270,-260,0.740932642487047,0.72972972972973,0.722222222222222,-1
P,Magda Linette (14277420),Magda Linette,14277420,P,8900,Bondarenko@Linette 02/12/2020 04:15AM ET,Linette,32.74,0.807904919845218,0,,-235,-260,1,0.701492537313433,0.722222222222222,1
P,Jelena Ostapenko (14277421),Jelena Ostapenko,14277421,P,8100,Ostapenko@Cornet 02/12/2020 05:00AM ET,Ostapenko,48.5,0.610740074862212,0,-159,-162,-150,0.613899613899614,0.618320610687023,0.6,0
P,Mikhail Kukushkin (14277422),Mikhail Kukushkin,14277422,P,7400,Kukushkin@Simon 02/12/2020 05:00AM ET,Kukushkin,48.72,0.554858823581291,0,-127,-122,-125,0.559471365638767,0.54954954954955,0.555555555555556,0
P,Gilles Simon (14277423),Gilles Simon,14277423,P,7300,Kukushkin@Simon 02/12/2020 05:00AM ET,Simon,35.86,0.489399011637175,0,104,104,105,0.490196078431373,0.490196078431373,0.487804878048781,1
P,Alize Cornet (14277424),Alize Cornet,14277424,P,6600,Ostapenko@Cornet 02/12/2020 05:00AM ET,Cornet,40.69,0.431182389050204,0,128,138,130,0.43859649122807,0.420168067226891,0.434782608695652,1
P,Kateryna Bondarenko (14277425),Kateryna Bondarenko,14277425,P,5700,Bondarenko@Linette 02/12/2020 04:15AM ET,Bondarenko,46.52,0.550878684807256,0,,194,220,1,0.340136054421769,0.3125,0
P,Radu Albot (14277426),Radu Albot,14277426,P,5600,Albot@Sinner 02/12/2020 05:00AM ET,Albot,0,0.314153439153439,0,220,215,220,0.3125,0.317460317460317,0.3125,-1
P,En Shuo Liang (14277427),En Shuo Liang,14277427,P,4800,Zheng@Liang 02/12/2020 03:00AM ET,Liang,83.15,0.196128707893414,0,410,420,400,0.196078431372549,0.192307692307692,0.2,0
P,Leonie Kung (14277428),Leonie Kung,14277428,P,4600,Zhu@Kung 02/12/2020 05:30AM ET,Kung,85.65,0.184232434232434,0,420,460,450,0.192307692307692,0.178571428571429,0.181818181818182,1
P,Peangtarn Plipuech (14277429),Peangtarn Plipuech,14277429,P,4500,Hibino@Plipuech 02/12/2020 04:15AM ET,Plipuech,57.25,0.148721988795518,0,540,580,600,0.15625,0.147058823529412,0.142857142857143,0
P,Bibiane Schoofs (14277430),Bibiane Schoofs,14277430,P,4100,Schoofs@Svitolina 02/12/2020 05:00AM ET,Schoofs,0,0.110754985754986,0,800,940,700,0.111111111111111,0.096153846153846,0.125,0
