Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,
P,Rafael Nadal (14174694),Rafael Nadal,14174694,P,11300,Carreno-Busta@Nadal 01/24/2020 09:45PM ET,Nadal,82.62,0.971555070354197,0,-3335,-3500,,0.970887918486172,0.972222222222222,,1
P,Daniil Medvedev (14174695),Daniil Medvedev,14174695,P,10600,Popyrin@Medvedev 01/25/2020 04:15AM ET,Medvedev,74.8,0.890045970541327,0,-835,-850,-750,0.893048128342246,0.894736842105263,0.882352941176471,1
P,Dominic Thiem (14174696),Dominic Thiem,14174696,P,9500,Thiem@Fritz 01/24/2020 10:00PM ET,Thiem,76.68,0.723347613758573,0,-265,-270,-250,0.726027397260274,0.72972972972973,0.714285714285714,1
P,Simona Halep (14174697),Simona Halep,14174697,P,9300,Halep@Putintseva 01/24/2020 08:30PM ET,Halep,61.19,0.714130096483038,0,-240,-260,-250,0.705882352941176,0.722222222222222,0.714285714285714,1
P,Karolina Pliskova (14174698),Karolina Pliskova,14174698,P,9200,Pliskova@Pavlyuchenkova 01/24/2020 07:00PM ET,Pliskova,70.67,0.752913401647579,0,-295,-320,-300,0.746835443037975,0.761904761904762,0.75,0
P,Nick Kyrgios (14174699),Nick Kyrgios,14174699,P,9100,Khachanov@Kyrgios 01/25/2020 02:50AM ET,Kyrgios,74.95,0.695415695415695,0,-230,-225,-230,0.696969696969697,0.692307692307692,0.696969696969697,1
P,Alexander Zverev (14174700),Alexander Zverev,14174700,P,9000,Zverev@Verdasco 01/25/2020 03:00AM ET,Zverev,76.22,0.689102564102564,0,-225,-220,-220,0.692307692307692,0.6875,0.6875,1
P,Kiki Bertens (14174701),Kiki Bertens,14174701,P,8900,Bertens@Diyas 01/25/2020 05:00AM ET,Bertens,58.78,0.685642911449363,0,-215,-230,-210,0.682539682539683,0.696969696969697,0.67741935483871,1
P,Elise Mertens (14174702),Elise Mertens,14174702,P,8800,Bellis@Mertens 01/24/2020 11:00PM ET,Mertens,68.86,0.693813131313131,0,-220,-230,-230,0.6875,0.696969696969697,0.696969696969697,1
P,Andrey Rublev (14174703),Andrey Rublev,14174703,P,8600,Rublev@Goffin 01/24/2020 09:45PM ET,Rublev,73.1,0.649459735666632,0,-190,-186,-180,0.655172413793103,0.65034965034965,0.642857142857143,1
P,Elina Svitolina (14174704),Elina Svitolina,14174704,P,8500,Muguruza@Svitolina 01/25/2020 03:00AM ET,Svitolina,49.27,0.643941273313637,0,-190,-178,-175,0.655172413793103,0.640287769784173,0.636363636363636,0
P,Angelique Kerber (14174705),Angelique Kerber,14174705,P,8400,Kerber@Giorgi 01/24/2020 07:00PM ET,Kerber,55.37,0.61384945444218,0,-155,-162,-160,0.607843137254902,0.618320610687023,0.615384615384615,1
P,Gael Monfils (14174706),Gael Monfils,14174706,P,8300,Gulbis@Monfils 01/24/2020 09:00PM ET,Monfils,68.48,0.642857142857143,0,-180,-180,-180,0.642857142857143,0.642857142857143,0.642857142857143,1
P,Belinda Bencic (14174707),Belinda Bencic,14174707,P,8200,Kontaveit@Bencic 01/24/2020 08:15PM ET,Bencic,52.37,0.598818021832389,0,-155,-148,-145,0.607843137254902,0.596774193548387,0.591836734693878,0
P,Stan Wawrinka (14174708),Stan Wawrinka,14174708,P,8100,Wawrinka@Isner 01/25/2020 01:30AM ET,Wawrinka,65.56,0.557481920473187,0,-129,-124,-125,0.563318777292576,0.553571428571429,0.555555555555556,1
P,Donna Vekic (14174709),Donna Vekic,14174709,P,8000,Swiatek@Vekic 01/24/2020 08:30PM ET,Vekic,53.06,0.57567015266258,0,-136,-136,-135,0.576271186440678,0.576271186440678,0.574468085106383,0
P,Iga Swiatek (14174710),Iga Swiatek,14174710,P,7600,Swiatek@Vekic 01/24/2020 08:30PM ET,Swiatek,74.58,0.468089906074402,0,110,116,115,0.476190476190476,0.462962962962963,0.465116279069767,1
P,John Isner (14174711),John Isner,14174711,P,7500,Wawrinka@Isner 01/25/2020 01:30AM ET,Isner,64.94,0.487812616561345,0,104,106,105,0.490196078431373,0.485436893203883,0.487804878048781,0
P,Anett Kontaveit (14174712),Anett Kontaveit,14174712,P,7100,Kontaveit@Bencic 01/24/2020 08:15PM ET,Kontaveit,56.97,0.445117604608061,0,123,126,125,0.448430493273543,0.442477876106195,0.444444444444444,1
P,Ernests Gulbis (14174713),Ernests Gulbis,14174713,P,7000,Gulbis@Monfils 01/24/2020 09:00PM ET,Gulbis,72.08,0.396534682248968,0,145,152,160,0.408163265306122,0.396825396825397,0.384615384615385,0
P,Camila Giorgi (14174714),Camila Giorgi,14174714,P,6900,Kerber@Giorgi 01/24/2020 07:00PM ET,Giorgi,52.82,0.428421742389033,0,123,138,140,0.448430493273543,0.420168067226891,0.416666666666667,0
P,Garbine Muguruza (14174715),Garbine Muguruza,14174715,P,6800,Muguruza@Svitolina 01/25/2020 03:00AM ET,Muguruza,62.28,0.397385620915033,0,150,150,155,0.4,0.4,0.392156862745098,1
P,David Goffin (14174716),David Goffin,14174716,P,6700,Rublev@Goffin 01/24/2020 09:45PM ET,Goffin,66.72,0.39073742794673,0,150,158,160,0.4,0.387596899224806,0.384615384615385,0
P,Catherine Bellis (14174717),Catherine Bellis,14174717,P,6600,Bellis@Mertens 01/24/2020 11:00PM ET,Bellis,47.06,0.354949435409206,0,170,186,190,0.37037037037037,0.34965034965035,0.344827586206897,0
P,Fernando Verdasco (14174718),Fernando Verdasco,14174718,P,6500,Zverev@Verdasco 01/25/2020 03:00AM ET,Verdasco,67.02,0.358463049952412,0,175,182,180,0.363636363636364,0.354609929078014,0.357142857142857,0
P,Zarina Diyas (14174719),Zarina Diyas,14174719,P,6400,Bertens@Diyas 01/25/2020 05:00AM ET,Diyas,62.41,0.360409652076319,0,170,188,175,0.37037037037037,0.347222222222222,0.363636363636364,0
P,Karen Khachanov (14174720),Karen Khachanov,14174720,P,6300,Khachanov@Kyrgios 01/25/2020 02:50AM ET,Khachanov,50.28,0.350540264333368,0,180,186,190,0.357142857142857,0.34965034965035,0.344827586206897,0
P,Anastasia Pavlyuchenkova (14174721),Anastasia Pavlyuchenkova,14174721,P,6200,Pliskova@Pavlyuchenkova 01/24/2020 07:00PM ET,Pavlyuchenkova,53.28,0.291486291486291,0,230,250,250,0.303030303030303,0.285714285714286,0.285714285714286,1
P,Yulia Putintseva (14174722),Yulia Putintseva,14174722,P,6100,Halep@Putintseva 01/24/2020 08:30PM ET,Putintseva,43.09,0.330794504181601,0,188,210,210,0.347222222222222,0.32258064516129,0.32258064516129,0
P,Taylor Fritz (14174723),Taylor Fritz,14174723,P,6000,Thiem@Fritz 01/24/2020 10:00PM ET,Fritz,62.85,0.322636605026875,0,205,215,210,0.327868852459016,0.317460317460317,0.32258064516129,0
P,Alexei Popyrin (14174724),Alexei Popyrin,14174724,P,5000,Popyrin@Medvedev 01/25/2020 04:15AM ET,Popyrin,61.47,0.150416011112529,0,575,570,550,0.148148148148148,0.149253731343284,0.153846153846154,0
P,Pablo Carreno-Busta (14174725),Pablo Carreno-Busta,14174725,P,4000,Carreno-Busta@Nadal 01/24/2020 09:45PM ET,Carreno-Busta,55.22,0.060104529616725,0,1300,1950,,0.071428571428572,0.048780487804878,,0
