CSV was read! There are 17 players.
Michael McDowell (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),48700,18400,22600
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Chase Elliott (D),45700,47600,59000
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Chase Elliott (D),46200,45100,49000
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Chase Elliott (D),45200,28600,33000
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46700,45100,57000
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),47200,42600,47000
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46200,26100,31000
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46200,41100,52000
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46700,38600,42000
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),45700,22100,26000
Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),49700,20100,22000
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Chase Elliott (D),46000,46150,57600
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Chase Elliott (D),46500,43650,47600
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Chase Elliott (D),45500,27150,31600
Ty Dillon (D),Austin Dillon (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46200,62400,75600
Ty Dillon (D),Michael McDowell (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),45200,45900,59600
Austin Dillon (D),Michael McDowell (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),45700,43400,49600
Joe Nemechek (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46200,151400,90600
Parker Kligerman (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46700,151400,90600
Ross Chastain (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),47200,118900,75600
Matt Tifft (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),47200,83900,55600
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),49200,43900,55600
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),49700,41400,45600
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),48700,24900,29600
Joe Nemechek (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),45700,147400,85600
Parker Kligerman (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46200,147400,85600
Ross Chastain (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46700,114900,70600
Matt Tifft (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46700,79900,50600
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),48700,39900,50600
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),49200,37400,40600
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),48200,20900,24600
Ross Chastain (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),45000,118650,75600
Matt Tifft (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),45000,83650,55600
Ty Dillon (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),47000,43650,55600
Austin Dillon (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),47500,41150,45600
Michael McDowell (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),46500,24650,29600
Ty Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),46500,39650,50600
Austin Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),47000,37150,40600
Michael McDowell (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),46000,20650,24600
Ryan Newman (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),50000,18650,20600
Joe Nemechek (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),46700,144900,83600
Parker Kligerman (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),47200,144900,83600
Ross Chastain (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),47700,112400,68600
Matt Tifft (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),47700,77400,48600
Ty Dillon (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),49700,37400,48600
Michael McDowell (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Chase Elliott (D),49200,18400,22600
Ross Chastain (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Chase Elliott (D),45000,120700,77000
Matt Tifft (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Chase Elliott (D),45000,85700,57000
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Chase Elliott (D),47000,45700,57000
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Chase Elliott (D),47500,43200,47000
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Chase Elliott (D),46500,26700,31000
Ross Chastain (D),Austin Dillon (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),45200,136950,95000
Matt Tifft (D),Austin Dillon (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),45200,101950,75000
Ty Dillon (D),Austin Dillon (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),47200,61950,75000
Ty Dillon (D),Michael McDowell (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),46200,45450,59000
Austin Dillon (D),Michael McDowell (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),46700,42950,49000
Joe Nemechek (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),47200,150950,90000
Parker Kligerman (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),47700,150950,90000
Ross Chastain (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),48200,118450,75000
Matt Tifft (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),48200,83450,55000
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),49700,24450,29000
Joe Nemechek (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),46700,146950,85000
Parker Kligerman (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),47200,146950,85000
Ross Chastain (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),47700,114450,70000
Matt Tifft (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),47700,79450,50000
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),49700,39450,50000
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Chase Elliott (D),49200,20450,24000
Ty Dillon (D),Austin Dillon (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),45000,61700,75000
Joe Nemechek (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),45000,150700,90000
Parker Kligerman (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),45500,150700,90000
Ross Chastain (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),46000,118200,75000
Matt Tifft (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),46000,83200,55000
Ty Dillon (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),48000,43200,55000
Austin Dillon (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),48500,40700,45000
Michael McDowell (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),47500,24200,29000
Parker Kligerman (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),45000,146700,85000
Ross Chastain (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),45500,114200,70000
Matt Tifft (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),45500,79200,50000
Ty Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),47500,39200,50000
Austin Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),48000,36700,40000
Michael McDowell (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),47000,20200,24000
Joe Nemechek (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),47700,144450,83000
Parker Kligerman (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),48200,144450,83000
Ross Chastain (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),48700,111950,68000
Matt Tifft (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Chase Elliott (D),48700,76950,48000
Ross Chastain (D),Ty Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),45000,138000,103600
Matt Tifft (D),Ty Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),45000,103000,83600
Parker Kligerman (D),Austin Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),45000,168000,108600
Ross Chastain (D),Austin Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),45500,135500,93600
Matt Tifft (D),Austin Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),45500,100500,73600
Ty Dillon (D),Austin Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),47500,60500,73600
Ty Dillon (D),Michael McDowell (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),46500,44000,57600
Austin Dillon (D),Michael McDowell (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),47000,41500,47600
Joe Nemechek (D),Ryan Newman (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),47500,149500,88600
Parker Kligerman (D),Ryan Newman (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48000,149500,88600
Ross Chastain (D),Ryan Newman (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48500,117000,73600
Matt Tifft (D),Ryan Newman (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48500,82000,53600
Michael McDowell (D),Ryan Newman (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),50000,23000,27600
