Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Jakub Zboril (13688326),Jakub Zboril,13688326,D/UTIL,2500,OTT@BOS 11/02/2019 07:00PM ET,BOS,0
D,Andreas Englund (13688354),Andreas Englund,13688354,D/UTIL,2500,OTT@BOS 11/02/2019 07:00PM ET,OTT,0
D,Lassi Thomson (13688374),Lassi Thomson,13688374,D/UTIL,2500,OTT@BOS 11/02/2019 07:00PM ET,OTT,0
D,Christian Jaros (13688380),Christian Jaros,13688380,D/UTIL,2500,OTT@BOS 11/02/2019 07:00PM ET,OTT,0
D,Urho Vaakanainen (13688448),Urho Vaakanainen,13688448,D/UTIL,2500,OTT@BOS 11/02/2019 07:00PM ET,BOS,0
D,Maxime Lajoie (13688458),Maxime Lajoie,13688458,D/UTIL,2500,OTT@BOS 11/02/2019 07:00PM ET,OTT,0
C,Cole Bardreau (13687104),Cole Bardreau,13687104,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,2.5
C,Otto Koivula (13687112),Otto Koivula,13687112,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
C,Leo Komarov (13687120),Leo Komarov,13687120,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,3.87
C,Curtis Lazar (13687128),Curtis Lazar,13687128,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
C,Mason Jobst (13687150),Mason Jobst,13687150,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
C,Rasmus Asplund (13687180),Rasmus Asplund,13687180,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
C,Dylan Cozens (13687182),Dylan Cozens,13687182,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
C,Arttu Ruotsalainen (13687184),Arttu Ruotsalainen,13687184,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
C,Jean-Sebastien Dea (13687196),Jean-Sebastien Dea,13687196,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
C,Tanner Fritz (13687230),Tanner Fritz,13687230,C/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
RW,Cal Clutterbuck (13687590),Cal Clutterbuck,13687590,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,4.08
RW,Evan Rodrigues (13687596),Evan Rodrigues,13687596,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,3.47
LW,Michael Dal Colle (13687606),Michael Dal Colle,13687606,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,2.77
RW,Oliver Wahlstrom (13687648),Oliver Wahlstrom,13687648,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,2.62
LW,Ross Johnston (13687654),Ross Johnston,13687654,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,3.16
LW,Matt Martin (13687700),Matt Martin,13687700,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,4.64
