Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Diego Schwartzman (14286566),Diego Schwartzman,14286566,P,10200,Delbonis@Schwartzman 02/13/2020 07:00PM ET,Schwartzman,61.63,0.810502591841334,0,-480,-410,-400,0.827586206896552,0.803921568627451,0.8,1
P,Gael Monfils (14286567),Gael Monfils,14286567,P,9500,Simon@Monfils 02/13/2020 01:30PM ET,Monfils,65.56,0.787757539100968,0,-345,-320,-475,0.775280898876405,0.761904761904762,0.826086956521739,1
P,Guido Pella (14286568),Guido Pella,14286568,P,9400,Pella@Bagnis 02/13/2020 05:00PM ET,Pella,46.78,0.730799220272904,0,-275,-280,-260,0.733333333333333,0.736842105263158,0.722222222222222,1
P,Kyle Edmund (14286569),Kyle Edmund,14286569,P,9100,Koepfer@Edmund 02/13/2020 12:00PM ET,Edmund,49.25,0.685742349048801,0,-220,-225,-210,0.6875,0.692307692307692,0.67741935483871,1
P,John Isner (14286570),John Isner,14286570,P,8700,Thompson@Isner 02/13/2020 07:30PM ET,Isner,57.82,0.64696223316913,0,-180,-190,-180,0.642857142857143,0.655172413793103,0.642857142857143,0
P,Pablo Cuevas (14286571),Pablo Cuevas,14286571,P,8600,Ramos-Vinolas@Cuevas 02/13/2020 01:50PM ET,Cuevas,45.79,0.62526946737473,0,-175,-166,-160,0.636363636363636,0.62406015037594,0.615384615384615,1
P,Reilly Opelka (14286572),Reilly Opelka,14286572,P,8400,Nishioka@Opelka 02/13/2020 02:40PM ET,Opelka,49.3,0.619421416329961,0,-155,-174,-160,0.607843137254902,0.635036496350365,0.615384615384615,1
P,Vasek Pospisil (14286573),Vasek Pospisil,14286573,P,8100,Krajinovic@Pospisil 02/13/2020 02:50PM ET,Pospisil,53.62,0.546819546819547,0,-122,-120,-120,0.54954954954955,0.545454545454545,0.545454545454545,0
P,Juan Ignacio Londero (14286574),Juan Ignacio Londero,14286574,P,8000,Londero@Djere 02/13/2020 12:30PM ET,Londero,44.47,0.525974671323509,0,-115,-108,-110,0.534883720930232,0.519230769230769,0.523809523809524,1
P,Cameron Norrie (14286575),Cameron Norrie,14286575,P,7900,Norrie@Jung 02/13/2020 01:20PM ET,Norrie,44.53,0.518867924528302,0,-112,-112,100,0.528301886792453,0.528301886792453,0.5,0
P,Laslo Djere (14286576),Laslo Djere,14286576,P,7800,Londero@Djere 02/13/2020 12:30PM ET,Djere,44.17,0.520757020757021,0,-108,-108,-110,0.519230769230769,0.519230769230769,0.523809523809524,0
P,Jason Jung (14286577),Jason Jung,14286577,P,7700,Norrie@Jung 02/13/2020 01:20PM ET,Jung,69.4,0.538346945305574,0,-112,-118,-120,0.528301886792453,0.541284403669725,0.545454545454545,1
P,Filip Krajinovic (14286578),Filip Krajinovic,14286578,P,7600,Krajinovic@Pospisil 02/13/2020 02:50PM ET,Krajinovic,54.43,0.496732026143791,0,100,104,100,0.5,0.490196078431373,0.5,1
P,Yoshihito Nishioka (14286579),Yoshihito Nishioka,14286579,P,7100,Nishioka@Opelka 02/13/2020 02:40PM ET,Nishioka,49.52,0.433235867446394,0,125,128,140,0.444444444444444,0.43859649122807,0.416666666666667,0
P,Albert Ramos-Vinolas (14286580),Albert Ramos-Vinolas,14286580,P,6900,Ramos-Vinolas@Cuevas 02/13/2020 01:50PM ET,Ramos-Vinolas,49.36,0.417833800186741,0,138,140,140,0.420168067226891,0.416666666666667,0.416666666666667,0
P,Jordan Thompson (14286581),Jordan Thompson,14286581,P,6700,Thompson@Isner 02/13/2020 07:30PM ET,Thompson,47.65,0.404268228342303,0,143,140,160,0.411522633744856,0.416666666666667,0.384615384615385,1
P,Dominik Koepfer (14286582),Dominik Koepfer,14286582,P,6400,Koepfer@Edmund 02/13/2020 12:00PM ET,Koepfer,46.02,0.368686868686869,0,175,164,175,0.363636363636364,0.378787878787879,0.363636363636364,0
P,Facundo Bagnis (14286583),Facundo Bagnis,14286583,P,6100,Pella@Bagnis 02/13/2020 05:00PM ET,Bagnis,49.45,0.314257650951199,0,210,225,220,0.32258064516129,0.307692307692308,0.3125,0
P,Gilles Simon (14286584),Gilles Simon,14286584,P,6000,Simon@Monfils 02/13/2020 01:30PM ET,Simon,40.66,0.254092232102326,0,265,260,375,0.273972602739726,0.277777777777778,0.210526315789474,0
P,Federico Delbonis (14286585),Federico Delbonis,14286585,P,5400,Delbonis@Schwartzman 02/13/2020 07:00PM ET,Delbonis,32.55,0.232804232804233,0,350,320,320,0.222222222222222,0.238095238095238,0.238095238095238,0
