Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Oliver Bjorkstrand (13604728),Oliver Bjorkstrand,13604728,W/UTIL,4000,CLS@TOR 10/21/2019 07:00PM ET,CLS,6.9
D,Nate Schmidt (13604920),Nate Schmidt,13604920,D/UTIL,4000,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
C,Colin White (13604580),Colin White,13604580,C/UTIL,4000,OTT@DAL 10/21/2019 08:30PM ET,OTT,4.63
LW,Tyler Ennis (13604730),Tyler Ennis,13604730,W/UTIL,4000,OTT@DAL 10/21/2019 08:30PM ET,OTT,5.44
C,Alexander Kerfoot (13604582),Alexander Kerfoot,13604582,C/UTIL,3900,CLS@TOR 10/21/2019 07:00PM ET,TOR,6.73
LW,Nick Foligno (13604732),Nick Foligno,13604732,W/UTIL,3900,CLS@TOR 10/21/2019 07:00PM ET,CLS,7.28
D,Jake Muzzin (13604922),Jake Muzzin,13604922,D/UTIL,3900,CLS@TOR 10/21/2019 07:00PM ET,TOR,8.07
RW,Andre Burakovsky (13604736),Andre Burakovsky,13604736,W/UTIL,3900,COL@STL 10/21/2019 08:00PM ET,COL,11.34
D,Vince Dunn (13604928),Vince Dunn,13604928,D/UTIL,3900,COL@STL 10/21/2019 08:00PM ET,STL,6.81
RW,Corey Perry (13604734),Corey Perry,13604734,W/UTIL,3900,OTT@DAL 10/21/2019 08:30PM ET,DAL,8.17
C,Brandon Dubinsky (13604584),Brandon Dubinsky,13604584,C/UTIL,3800,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
D,Cody Ceci (13604926),Cody Ceci,13604926,D/UTIL,3800,CLS@TOR 10/21/2019 07:00PM ET,TOR,7.79
RW,Cody Glass (13604740),Cody Glass,13604740,W/UTIL,3800,VGK@PHI 10/21/2019 07:00PM ET,VGK,7.57
RW,Connor Brown (13604738),Connor Brown,13604738,W/UTIL,3800,OTT@DAL 10/21/2019 08:30PM ET,OTT,8.7
D,Esa Lindell (13604924),Esa Lindell,13604924,D/UTIL,3800,OTT@DAL 10/21/2019 08:30PM ET,DAL,6.54
D,Deryk Engelland (13604930),Deryk Engelland,13604930,D/UTIL,3700,VGK@PHI 10/21/2019 07:00PM ET,VGK,7.91
C,Tyson Jost (13604586),Tyson Jost,13604586,C/UTIL,3700,COL@STL 10/21/2019 08:00PM ET,COL,8.44
LW,Joonas Donskoi (13604744),Joonas Donskoi,13604744,W/UTIL,3700,COL@STL 10/21/2019 08:00PM ET,COL,9.25
LW,Sammy Blais (13604746),Sammy Blais,13604746,W/UTIL,3700,COL@STL 10/21/2019 08:00PM ET,STL,7.52
LW,Jason Dickinson (13604742),Jason Dickinson,13604742,W/UTIL,3700,OTT@DAL 10/21/2019 08:30PM ET,DAL,1.87
D,Ryan Murray (13604934),Ryan Murray,13604934,D/UTIL,3600,CLS@TOR 10/21/2019 07:00PM ET,CLS,7.64
C,Nolan Patrick (13604588),Nolan Patrick,13604588,C/UTIL,3600,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
LW,Brandon Pirri (13604748),Brandon Pirri,13604748,W/UTIL,3600,VGK@PHI 10/21/2019 07:00PM ET,VGK,4.52
D,Samuel Girard (13604932),Samuel Girard,13604932,D/UTIL,3600,COL@STL 10/21/2019 08:00PM ET,COL,7.1
C,Boone Jenner (13604590),Boone Jenner,13604590,C/UTIL,3500,CLS@TOR 10/21/2019 07:00PM ET,CLS,5.62
