Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40874-64102,C,Connor,Connor McDavid,McDavid,23.8625005086263,24,9300,EDM@VGK,EDM,VGK,,,,,
40874-59218,W,David,David Pastrnak,Pastrnak,24.19545399058949,22,9200,MIN@BOS,BOS,MIN,,,,,
40874-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.490908536044035,22,8800,TOR@COL,COL,TOR,,,,,
40874-58331,W,Leon,Leon Draisaitl,Draisaitl,23.291666666666668,24,8800,EDM@VGK,EDM,VGK,,,,,
40874-8262,W,Patrick,Patrick Kane,Kane,18.37727217240767,22,8600,CHI@DAL,CHI,DAL,,,,,
40874-8763,W,Brad,Brad Marchand,Marchand,20.818181818181817,22,8500,MIN@BOS,BOS,MIN,,,,,
40874-41393,C,Aleksander,Aleksander Barkov,Barkov,17.186363913796164,22,8400,FLA@CAR,FLA,CAR,,,,,
40874-62493,W,Artemi,Artemi Panarin,Panarin,17.6,20,8400,NYR@MON,NYR,MON,,,,,
40874-70899,C,Auston,Auston Matthews,Matthews,18.84583282470703,24,8400,TOR@COL,TOR,COL,,,,,
40874-43214,W,Nikita,Nikita Kucherov,Kucherov,13.616667005750868,18,8200,ANH@TB,TB,ANH,,,,,
40874-70900,W,Patrik,Patrik Laine,Laine,15.052381243024554,21,7800,CBJ@WPG,WPG,CBJ,,,,,
40874-8175,C,Patrice,Patrice Bergeron,Bergeron,16.064999389648438,20,7800,MIN@BOS,BOS,MIN,,,,,
40874-66683,W,Mitchell,Mitchell Marner,Marner,14.527777777777779,18,7700,TOR@COL,TOR,COL,IR,Ankle,,,
40874-15217,W,Jonathan,Jonathan Huberdeau,Huberdeau,16.904545177112926,22,7600,FLA@CAR,FLA,CAR,,,,,
40874-15321,C,Mark,Mark Scheifele,Scheifele,13.095652704653533,23,7600,CBJ@WPG,WPG,CBJ,,,,,
40874-9092,W,Evander,Evander Kane,Kane,16.985000610351562,20,7500,NYI@SJ,SJ,NYI,,,,,
40874-66737,W,Mikko,Mikko Rantanen,Rantanen,18.266665988498264,9,7500,TOR@COL,COL,TOR,IR,Lower body,,,
40874-39253,W,Filip,Filip Forsberg,Forsberg,16.933333333333334,15,7400,NSH@STL,NSH,STL,,,,,
40874-12410,W,Taylor,Taylor Hall,Hall,13.738095238095237,21,7300,DET@NJ,NJ,DET,,,,,
