Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,David Pastrnak (13820917),David Pastrnak,13820917,W/UTIL,8700,MIN@BOS 11/23/2019 07:00PM ET,BOS,20.16
LW,Leon Draisaitl (13820919),Leon Draisaitl,13820919,W/UTIL,8500,EDM@VGK 11/23/2019 10:00PM ET,EDM,18.2
C,Nathan MacKinnon (13820571),Nathan MacKinnon,13820571,C/UTIL,8400,TOR@COL 11/23/2019 07:00PM ET,COL,18.62
C,Connor McDavid (13820573),Connor McDavid,13820573,C/UTIL,8300,EDM@VGK 11/23/2019 10:00PM ET,EDM,18.92
LW,Brad Marchand (13820921),Brad Marchand,13820921,W/UTIL,8200,MIN@BOS 11/23/2019 07:00PM ET,BOS,15.95
C,Auston Matthews (13820575),Auston Matthews,13820575,C/UTIL,8100,TOR@COL 11/23/2019 07:00PM ET,TOR,15.84
RW,Patrick Kane (13820923),Patrick Kane,13820923,W/UTIL,8000,CHI@DAL 11/23/2019 08:00PM ET,CHI,14.79
C,Aleksander Barkov (13820577),Aleksander Barkov,13820577,C/UTIL,7900,FLA@CAR 11/23/2019 07:00PM ET,FLA,13.14
C,Patrice Bergeron (13820579),Patrice Bergeron,13820579,C/UTIL,7700,MIN@BOS 11/23/2019 07:00PM ET,BOS,13.36
LW,Max Pacioretty (13820925),Max Pacioretty,13820925,W/UTIL,7700,EDM@VGK 11/23/2019 10:00PM ET,VGK,13.69
RW,Nikita Kucherov (13820927),Nikita Kucherov,13820927,W/UTIL,7600,ANH@TB 11/23/2019 07:00PM ET,TB,10.78
LW,Artemi Panarin (13820929),Artemi Panarin,13820929,W/UTIL,7500,NYR@MON 11/23/2019 07:00PM ET,NYR,13.78
LW,Jonathan Huberdeau (13820931),Jonathan Huberdeau,13820931,W/UTIL,7400,FLA@CAR 11/23/2019 07:00PM ET,FLA,12.74
LW,Evander Kane (13820933),Evander Kane,13820933,W/UTIL,7300,NYI@SJ 11/23/2019 10:30PM ET,SJ,14.77
C,Dylan Larkin (13820581),Dylan Larkin,13820581,C/UTIL,7200,DET@NJ 11/23/2019 07:00PM ET,DET,10.33
RW,Tyler Seguin (13820935),Tyler Seguin,13820935,W/UTIL,7200,CHI@DAL 11/23/2019 08:00PM ET,DAL,11.96
LW,Filip Forsberg (13820937),Filip Forsberg,13820937,W/UTIL,7100,NSH@STL 11/23/2019 08:00PM ET,NSH,13.89
RW,Anthony Mantha (13820939),Anthony Mantha,13820939,W/UTIL,7000,DET@NJ 11/23/2019 07:00PM ET,DET,14.47
