Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (13875953),Connor McDavid,13875953,C/UTIL,8700,VAN@EDM 11/30/2019 10:00PM ET,EDM,18.34
C,Nathan MacKinnon (13875955),Nathan MacKinnon,13875955,C/UTIL,8500,CHI@COL 11/30/2019 09:00PM ET,COL,19.46
LW,Alex Ovechkin (13876279),Alex Ovechkin,13876279,W/UTIL,8400,WAS@DET 11/30/2019 07:00PM ET,WAS,17.07
C,Jack Eichel (13875957),Jack Eichel,13875957,C/UTIL,8200,BUF@TOR 11/30/2019 07:00PM ET,BUF,17.21
C,Auston Matthews (13875959),Auston Matthews,13875959,C/UTIL,8000,BUF@TOR 11/30/2019 07:00PM ET,TOR,15.4
D,John Carlson (13876929),John Carlson,13876929,D/UTIL,7800,WAS@DET 11/30/2019 07:00PM ET,WAS,16.33
RW,Patrick Kane (13876283),Patrick Kane,13876283,W/UTIL,7700,CHI@COL 11/30/2019 09:00PM ET,CHI,14.91
C,Evgeni Malkin (13875961),Evgeni Malkin,13875961,C/UTIL,7500,PIT@STL 11/30/2019 08:00PM ET,PIT,15.72
RW,Nikita Kucherov (13876285),Nikita Kucherov,13876285,W/UTIL,7300,CAR@TB 11/30/2019 07:00PM ET,TB,13.43
C,Sidney Crosby (13875963),Sidney Crosby,13875963,C/UTIL,7200,PIT@STL 11/30/2019 08:00PM ET,PIT,11.33
RW,Mikko Rantanen (13876287),Mikko Rantanen,13876287,W/UTIL,7100,CHI@COL 11/30/2019 09:00PM ET,COL,14
C,Evgeny Kuznetsov (13875965),Evgeny Kuznetsov,13875965,C/UTIL,7000,WAS@DET 11/30/2019 07:00PM ET,WAS,11.8
D,Roman Josi (13876931),Roman Josi,13876931,D/UTIL,7000,NSH@FLA 11/30/2019 07:00PM ET,NSH,14.4
LW,Jake Guentzel (13876289),Jake Guentzel,13876289,W/UTIL,7000,PIT@STL 11/30/2019 08:00PM ET,PIT,14.1
C,John Tavares (13875967),John Tavares,13875967,C/UTIL,6900,BUF@TOR 11/30/2019 07:00PM ET,TOR,10.48
RW,Bryan Rust (13876291),Bryan Rust,13876291,W/UTIL,6900,PIT@STL 11/30/2019 08:00PM ET,PIT,16.01
D,Dougie Hamilton (13876933),Dougie Hamilton,13876933,D/UTIL,6800,CAR@TB 11/30/2019 07:00PM ET,CAR,15.09
C,Aleksander Barkov (13875969),Aleksander Barkov,13875969,C/UTIL,6800,NSH@FLA 11/30/2019 07:00PM ET,FLA,12.53
RW,Andre Burakovsky (13876293),Andre Burakovsky,13876293,W/UTIL,6800,CHI@COL 11/30/2019 09:00PM ET,COL,10.60
LW,Filip Forsberg (13876295),Filip Forsberg,13876295,W/UTIL,6700,NSH@FLA 11/30/2019 07:00PM ET,NSH,13.42
D,Cale Makar (13876935),Cale Makar,13876935,D/UTIL,6700,CHI@COL 11/30/2019 09:00PM ET,COL,11.97
C,Sebastian Aho (13875971),Sebastian Aho,13875971,C/UTIL,6600,CAR@TB 11/30/2019 07:00PM ET,CAR,11.23
LW,Evander Kane (13876297),Evander Kane,13876297,W/UTIL,6600,SJ@ARI 11/30/2019 08:00PM ET,SJ,13.66
D,Brent Burns (13876937),Brent Burns,13876937,D/UTIL,6600,SJ@ARI 11/30/2019 08:00PM ET,SJ,10.78
LW,Gabriel Landeskog (13876299),Gabriel Landeskog,13876299,W/UTIL,6600,CHI@COL 11/30/2019 09:00PM ET,COL,8.94
D,Victor Hedman (13876939),Victor Hedman,13876939,D/UTIL,6500,CAR@TB 11/30/2019 07:00PM ET,TB,11.78
LW,Jonathan Huberdeau (13876301),Jonathan Huberdeau,13876301,W/UTIL,6500,NSH@FLA 11/30/2019 07:00PM ET,FLA,12.05
RW,Viktor Arvidsson (13876303),Viktor Arvidsson,13876303,W/UTIL,6500,NSH@FLA 11/30/2019 07:00PM ET,NSH,8.38
RW,Mitchell Marner (13876309),Mitchell Marner,13876309,W/UTIL,6400,BUF@TOR 11/30/2019 07:00PM ET,TOR,11.43
C,Brayden Point (13875973),Brayden Point,13875973,C/UTIL,6400,CAR@TB 11/30/2019 07:00PM ET,TB,10.8
LW,Andrei Svechnikov (13876307),Andrei Svechnikov,13876307,W/UTIL,6400,CAR@TB 11/30/2019 07:00PM ET,CAR,11.88
D,Kris Letang (13876941),Kris Letang,13876941,D/UTIL,6400,PIT@STL 11/30/2019 08:00PM ET,PIT,14.34
RW,Patrik Laine (13876305),Patrik Laine,13876305,W/UTIL,6400,WPG@LA 11/30/2019 10:00PM ET,WPG,12.82
RW,Anthony Mantha (13876313),Anthony Mantha,13876313,W/UTIL,6300,WAS@DET 11/30/2019 07:00PM ET,DET,13.95
LW,Matthew Tkachuk (13876311),Matthew Tkachuk,13876311,W/UTIL,6300,OTT@CGY 11/30/2019 07:00PM ET,CGY,10.94
D,Mark Giordano (13876943),Mark Giordano,13876943,D/UTIL,6300,OTT@CGY 11/30/2019 07:00PM ET,CGY,11.15
C,Elias Pettersson (13875975),Elias Pettersson,13875975,C/UTIL,6300,VAN@EDM 11/30/2019 10:00PM ET,VAN,12.94
RW,William Nylander (13876315),William Nylander,13876315,W/UTIL,6200,BUF@TOR 11/30/2019 07:00PM ET,TOR,9.7
LW,Jeff Skinner (13876319),Jeff Skinner,13876319,W/UTIL,6200,BUF@TOR 11/30/2019 07:00PM ET,BUF,10.66
C,Steven Stamkos (13875977),Steven Stamkos,13875977,C/UTIL,6200,CAR@TB 11/30/2019 07:00PM ET,TB,11.59
LW,Johnny Gaudreau (13876317),Johnny Gaudreau,13876317,W/UTIL,6200,OTT@CGY 11/30/2019 07:00PM ET,CGY,9.06
D,Oscar Klefbom (13876945),Oscar Klefbom,13876945,D/UTIL,6200,VAN@EDM 11/30/2019 10:00PM ET,EDM,13.07
LW,Brady Tkachuk (13876321),Brady Tkachuk,13876321,W/UTIL,6100,OTT@CGY 11/30/2019 07:00PM ET,OTT,11.23
C,Anze Kopitar (13875979),Anze Kopitar,13875979,C/UTIL,6100,WPG@LA 11/30/2019 10:00PM ET,LA,11.42
D,Morgan Rielly (13876947),Morgan Rielly,13876947,D/UTIL,6000,BUF@TOR 11/30/2019 07:00PM ET,TOR,10.67
RW,Teuvo Teravainen (13876323),Teuvo Teravainen,13876323,W/UTIL,6000,CAR@TB 11/30/2019 07:00PM ET,CAR,11.56
C,Logan Couture (13875981),Logan Couture,13875981,C/UTIL,6000,SJ@ARI 11/30/2019 08:00PM ET,SJ,11.04
C,Brock Nelson (13875983),Brock Nelson,13875983,C/UTIL,6000,CLS@NYI 11/30/2019 07:00PM ET,NYI,11.95
RW,T.J. Oshie (13876327),T.J. Oshie,13876327,W/UTIL,5900,WAS@DET 11/30/2019 07:00PM ET,WAS,9.28
RW,Brock Boeser (13876325),Brock Boeser,13876325,W/UTIL,5900,VAN@EDM 11/30/2019 10:00PM ET,VAN,11.57
C,Mathew Barzal (13875985),Mathew Barzal,13875985,C/UTIL,5900,CLS@NYI 11/30/2019 07:00PM ET,NYI,10.72
C,Nicklas Backstrom (13875989),Nicklas Backstrom,13875989,C/UTIL,5800,WAS@DET 11/30/2019 07:00PM ET,WAS,9.6
D,Ryan Ellis (13876951),Ryan Ellis,13876951,D/UTIL,5800,NSH@FLA 11/30/2019 07:00PM ET,NSH,11.31
LW,Joonas Donskoi (13876331),Joonas Donskoi,13876331,W/UTIL,5800,CHI@COL 11/30/2019 09:00PM ET,COL,9.08
LW,Alex DeBrincat (13876333),Alex DeBrincat,13876333,W/UTIL,5800,CHI@COL 11/30/2019 09:00PM ET,CHI,10.22
