Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,
P,Rafael Nadal (14170949),Rafael Nadal,14170949,P,11200,Delbonis@Nadal 01/23/2020 04:15AM ET,Nadal,85.75,0.988876665444322,79.5,-10000,-8000,,0.99009900990099,0.987654320987654,
P,Daniil Medvedev (14170950),Daniil Medvedev,14170950,P,11000,Martinez@Medvedev 01/22/2020 08:15PM ET,Medvedev,63.25,0.988876665444322,86.35,-10000,-8000,,0.99009900990099,0.987654320987654,
P,Dominic Thiem (14170951),Dominic Thiem,14170951,P,10700,Thiem@Bolt 01/22/2020 09:30PM ET,Thiem,77.25,0.940087145969499,76.1,-1430,-1700,-1600,0.934640522875817,0.944444444444444,0.941176470588235
P,Kiki Bertens (14170952),Kiki Bertens,14170952,P,10500,Bertens@Rodionova 01/22/2020 08:20PM ET,Bertens,55.52,0.926931456343221,71.8,-1430,-1200,-1200,0.934640522875817,0.923076923076923,0.923076923076923
P,Simona Halep (14170953),Simona Halep,14170953,P,10400,Halep@Dart 01/23/2020 03:00AM ET,Halep,55.37,0.915714648387916,78.65,-910,-1200,-1200,0.900990099009901,0.923076923076923,0.923076923076923
P,Andrey Rublev (14170954),Andrey Rublev,14170954,P,10300,Rublev@Sugita 01/22/2020 09:00PM ET,Rublev,72.06,0.890724105734248,82.4,-770,-950,-750,0.885057471264368,0.904761904761905,0.882352941176471
P,David Goffin (14170955),David Goffin,14170955,P,10200,Herbert@Goffin 01/22/2020 09:35PM ET,Goffin,81.2,0.892693294097212,52.25,-910,-750,-850,0.900990099009901,0.882352941176471,0.894736842105263
P,John Isner (14170956),John Isner,14170956,P,10100,Tabilo@Isner 01/22/2020 10:45PM ET,Isner,59.92,0.888273125342091,85,-770,-950,-700,0.885057471264368,0.904761904761905,0.875
P,Karolina Pliskova (14170957),Karolina Pliskova,14170957,P,10000,Pliskova@Siegemund 01/22/2020 08:15PM ET,Pliskova,69.56,0.886975448163695,76.2,-715,-850,-800,0.877300613496933,0.894736842105263,0.888888888888889
P,Alexander Zverev (14170958),Alexander Zverev,14170958,P,9900,Zverev@Gerasimov 01/22/2020 10:00PM ET,Zverev,72.7,0.849126718691936,79.75,-590,-550,-550,0.855072463768116,0.846153846153846,0.846153846153846
P,Anett Kontaveit (14170959),Anett Kontaveit,14170959,P,9800,Kontaveit@Sorribes Tormo 01/22/2020 08:20PM ET,Kontaveit,53.8,0.859627329192547,69.65,-590,-650,-600,0.855072463768116,0.866666666666667,0.857142857142857
P,Elina Svitolina (14170960),Elina Svitolina,14170960,P,9700,Davis@Svitolina 01/23/2020 05:00AM ET,Svitolina,35.85,0.844525844525844,76.1,-530,-550,-550,0.841269841269841,0.846153846153846,0.846153846153846
P,Angelique Kerber (14170961),Angelique Kerber,14170961,P,9600,Kerber@Hon 01/22/2020 10:15PM ET,Kerber,49.6,0.833333333333333,78.45,-500,-500,-500,0.833333333333333,0.833333333333333,0.833333333333333
P,Nick Kyrgios (14170962),Nick Kyrgios,14170962,P,9500,Simon@Kyrgios 01/23/2020 02:45AM ET,Kyrgios,76.1,0.810279245112646,73.8,-435,-380,-475,0.813084112149533,0.791666666666667,0.826086956521739
P,Stan Wawrinka (14170963),Stan Wawrinka,14170963,P,9400,Wawrinka@Seppi 01/23/2020 03:00AM ET,Wawrinka,65.86,0.820194279964395,64.35,-480,-440,-450,0.827586206896552,0.814814814814815,0.818181818181818
P,Pablo Carreno-Busta (14170964),Pablo Carreno-Busta,14170964,P,9300,Carreno-Busta@Gojowczyk 01/22/2020 10:50PM ET,Carreno-Busta,52.05,0.807502374169041,64.75,-420,-440,-400,0.807692307692308,0.814814814814815,0.8
P,Elise Mertens (14170965),Elise Mertens,14170965,P,9200,Watson@Mertens 01/22/2020 08:15PM ET,Mertens,66.25,0.791232048374905,87.1,-400,-390,-350,0.8,0.795918367346939,0.777777777777778
P,Gael Monfils (14170966),Gael Monfils,14170966,P,9100,Karlovic@Monfils 01/22/2020 08:15PM ET,Monfils,79.8,0.776641091219096,57.15,-360,-360,-325,0.782608695652174,0.782608695652174,0.764705882352941
P,Karen Khachanov (14170967),Karen Khachanov,14170967,P,9000,Khachanov@Ymer 01/23/2020 02:00AM ET,Khachanov,47.75,0.735550935550936,55.35,-275,-290,-270,0.733333333333333,0.743589743589744,0.72972972972973
P,Alexei Popyrin (14170968),Alexei Popyrin,14170968,P,8900,Popyrin@Munar 01/22/2020 10:20PM ET,Popyrin,54.7,0.693394870025305,75,-245,-215,-220,0.710144927536232,0.682539682539683,0.6875
P,Danielle Collins (14170969),Danielle Collins,14170969,P,8700,Putintseva@Collins 01/22/2020 10:50PM ET,Collins,64.09,0.693766743207042,37.3,-235,-225,-220,0.701492537313433,0.692307692307692,0.6875
P,Anastasia Pavlyuchenkova (14170970),Anastasia Pavlyuchenkova,14170970,P,8400,Townsend@Pavlyuchenkova 01/22/2020 08:20PM ET,Pavlyuchenkova,49.59,0.67207238968212,68.05,-200,-205,-210,0.666666666666667,0.672131147540984,0.67741935483871
P,Iga Swiatek (14170971),Iga Swiatek,14170971,P,8200,Suarez Navarro@Swiatek 01/22/2020 08:15PM ET,Swiatek,76.45,0.626767727164374,72.7,-162,-172,-170,0.618320610687023,0.632352941176471,0.62962962962963
P,Fernando Verdasco (14170972),Fernando Verdasco,14170972,P,8000,Verdasco@Basilashvili 01/22/2020 08:15PM ET,Verdasco,67.84,0.605691405691406,63.75,-159,-152,-150,0.613899613899614,0.603174603174603,0.6
P,Svetlana Kuznetsova (14170973),Svetlana Kuznetsova,14170973,P,7800,Giorgi@Kuznetsova 01/22/2020 11:00PM ET,Kuznetsova,47,0.590131636772376,10.55,-141,-146,-145,0.5850622406639,0.59349593495935,0.591836734693878
P,Kevin Anderson (14170974),Kevin Anderson,14170974,P,7500,Anderson@Fritz 01/22/2020 10:30PM ET,Anderson,58.4,0.560081437499557,34.35,-127,-130,-125,0.559471365638767,0.565217391304348,0.555555555555556
P,Taylor Fritz (14170975),Taylor Fritz,14170975,P,7200,Anderson@Fritz 01/22/2020 10:30PM ET,Fritz,58.92,0.484850832068941,70.7,102,112,105,0.495049504950495,0.471698113207547,0.487804878048781
P,Camila Giorgi (14170976),Camila Giorgi,14170976,P,7000,Giorgi@Kuznetsova 01/22/2020 11:00PM ET,Giorgi,40.65,0.452720911833061,77.15,114,124,125,0.467289719626168,0.446428571428571,0.444444444444444
P,Nikoloz Basilashvili (14170977),Nikoloz Basilashvili,14170977,P,6800,Verdasco@Basilashvili 01/22/2020 08:15PM ET,Basilashvili,68,0.436053902873125,25.2,128,130,130,0.43859649122807,0.434782608695652,0.434782608695652
P,Carla Suarez Navarro (14170978),Carla Suarez Navarro,14170978,P,6600,Suarez Navarro@Swiatek 01/22/2020 08:15PM ET,Suarez Navarro,49,0.414872891423141,22,130,144,150,0.434782608695652,0.40983606557377,0.4
P,Taylor Townsend (14170979),Taylor Townsend,14170979,P,6400,Townsend@Pavlyuchenkova 01/22/2020 08:20PM ET,Townsend,49.85,0.371966269025093,22,160,172,175,0.384615384615385,0.367647058823529,0.363636363636364
P,Yulia Putintseva (14170980),Yulia Putintseva,14170980,P,6200,Putintseva@Collins 01/22/2020 10:50PM ET,Putintseva,40.14,0.351747424115845,54.9,185,188,180,0.350877192982456,0.347222222222222,0.357142857142857
P,Jaume Munar (14170981),Jaume Munar,14170981,P,6000,Popyrin@Munar 01/22/2020 10:20PM ET,Munar,47.98,0.351089588377724,10.35,195,180,180,0.338983050847458,0.357142857142857,0.357142857142857
P,Mikael Ymer (14170982),Mikael Ymer,14170982,P,5700,Khachanov@Ymer 01/23/2020 02:00AM ET,Ymer,50.2,0.306576198416806,47.1,210,240,230,0.32258064516129,0.294117647058823,0.303030303030303
