Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40637-8718,W,Alex,Alex Ovechkin,Ovechkin,19.96363691850142,22,8800,ANH@WSH,WSH,ANH,,,,,
40637-52475,C,Evgeny,Evgeny Kuznetsov,Kuznetsov,15.163158215974507,19,7900,ANH@WSH,WSH,ANH,,,,,
40637-8394,C,Anze,Anze Kopitar,Kopitar,14.955000305175782,20,7600,LA@ARI,LA,ARI,,,,,
40637-9015,D,John,John Carlson,Carlson,21.027273004705254,22,7400,ANH@WSH,WSH,ANH,,,,,
40637-8635,W,T.J.,T.J. Oshie,Oshie,12.090909090909092,22,6900,ANH@WSH,WSH,ANH,,,,,
40637-8682,W,Phil,Phil Kessel,Kessel,9.657143002464657,21,6600,LA@ARI,ARI,LA,,,,,
40637-14473,W,Jakob,Jakob Silfverberg,Silfverberg,12.366667247953869,21,6500,ANH@WSH,ANH,WSH,,,,,
40637-8714,C,Nicklas,Nicklas Backstrom,Backstrom,11.96363691850142,22,6400,ANH@WSH,WSH,ANH,,,,,
40637-8406,D,Drew,Drew Doughty,Doughty,13.544999694824218,20,6300,LA@ARI,LA,ARI,,,,,
40637-8134,C,Ryan,Ryan Getzlaf,Getzlaf,13.152381533668155,21,6200,ANH@WSH,ANH,WSH,,,,,
40637-15269,W,Rickard,Rickard Rakell,Rakell,11.966666811988468,21,5900,ANH@WSH,ANH,WSH,,,,,
40637-70905,W,Clayton,Clayton Keller,Keller,10.380952380952381,21,5800,LA@ARI,ARI,LA,,,,,
40637-12843,C,Adam,Adam Henrique,Henrique,11.376190185546875,21,5600,ANH@WSH,ANH,WSH,,,,,
40637-58985,W,Jakub,Jakub Vrana,Vrana,12.759091463955967,22,5600,ANH@WSH,WSH,ANH,,,,,
40637-8402,W,Dustin,Dustin Brown,Brown,9.305000305175781,20,5600,LA@ARI,LA,ARI,,,,,
40637-12244,D,Oliver,Oliver Ekman-Larsson,Ekman-Larsson,9.166666666666666,21,5500,LA@ARI,ARI,LA,,,,,
40637-73889,W,Nick,Nick Schmaltz,Schmaltz,9.747618902297248,21,5400,LA@ARI,ARI,LA,,,,,
40637-8555,W,Jeff,Jeff Carter,Carter,10.55999984741211,20,5300,LA@ARI,LA,ARI,,,,,
40637-12448,C,Derek,Derek Stepan,Stepan,7.476190476190476,21,5000,LA@ARI,ARI,LA,,,,,
40637-12460,D,Cam,Cam Fowler,Fowler,8.80952380952381,21,5000,ANH@WSH,ANH,WSH,,,,,
40637-23226,W,Tom,Tom Wilson,Wilson,13.104544899680398,22,4800,ANH@WSH,WSH,ANH,,,,,
40637-12624,W,Tyler,Tyler Toffoli,Toffoli,8.75789441560444,19,4600,LA@ARI,LA,ARI,,,,,
40637-8611,D,Alex,Alex Goligoski,Goligoski,10.342856997535343,21,4600,LA@ARI,ARI,LA,,,,,
40637-70928,C,Sam,Sam Steel,Steel,6.205882352941177,17,4400,ANH@WSH,ANH,WSH,,,,,
40637-79935,W,Alex,Alex Iafallo,Iafallo,8.875,20,4400,LA@ARI,LA,ARI,,,,,
40637-66622,W,Conor,Conor Garland,Garland,11.004762195405506,21,4400,LA@ARI,ARI,LA,,,,,
40637-9990,C,Lars,Lars Eller,Eller,9.336363358931107,22,4300,ANH@WSH,WSH,ANH,,,,,
40637-39464,D,Hampus,Hampus Lindholm,Lindholm,9.473333740234375,15,4300,ANH@WSH,ANH,WSH,IR,Undisclosed,,,
40637-82029,D,Sean,Sean Walker,Walker,9.359999847412109,20,4300,LA@ARI,LA,ARI,,,,,
40637-13472,D,Dmitry,Dmitry Orlov,Orlov,7.2090911865234375,22,4200,ANH@WSH,WSH,ANH,,,,,
40637-62429,C,Adrian,Adrian Kempe,Kempe,6.363157975046258,19,4200,LA@ARI,LA,ARI,,,,,
40637-59120,C,Christian,Christian Dvorak,Dvorak,8.452380952380953,21,4200,LA@ARI,ARI,LA,,,,,
40637-70914,D,Jakob,Jakob Chychrun,Chychrun,9.342856997535343,21,4000,LA@ARI,ARI,LA,,,,,
40637-62032,W,Vinnie,Vinnie Hinostroza,Hinostroza,5.714285714285714,21,4000,LA@ARI,ARI,LA,,,,,
40637-39295,C,Carl,Carl Soderberg,Soderberg,8.376190185546875,21,4000,LA@ARI,ARI,LA,,,,,
40637-8967,D,Alec,Alec Martinez,Martinez,8.265000152587891,20,3900,LA@ARI,LA,ARI,,,,,
40637-70579,D,Michal,Michal Kempny,Kempny,11.485714503696986,14,3900,ANH@WSH,WSH,ANH,,,,,
40637-62723,W,Ondrej,Ondrej Kase,Kase,7.83999989827474,15,3800,ANH@WSH,ANH,WSH,,,,,
40637-59142,C,Michael,Michael Amadio,Amadio,6.738889058430989,18,3800,LA@ARI,LA,ARI,,,,,
40637-13657,C,Derek,Derek Grant,Grant,7.447618756975446,21,3800,ANH@WSH,ANH,WSH,,,,,
40637-8810,W,Michael,Michael Grabner,Grabner,6.9523809523809526,21,3800,LA@ARI,ARI,LA,,,,,
40637-66611,W,Lawson,Lawson Crouse,Crouse,6.240000152587891,20,3700,LA@ARI,ARI,LA,,,,,
40637-103276,C,Blake,Blake Lizotte,Lizotte,5.725,20,3700,LA@ARI,LA,ARI,,,,,
40637-79865,D,Matt,Matt Roy,Roy,7.480000305175781,20,3700,LA@ARI,LA,ARI,,,,,
40637-9270,D,Jason,Jason Demers,Demers,5.073684290835732,19,3600,LA@ARI,ARI,LA,,,,,
