Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Odds,,,,,,
RB,Marlon Mack (13564958),Marlon Mack,13564958,RB/FLEX,6000,HOU@IND 10/20/2019 01:00PM ET,IND,15.64,120,,,Robert Woods,1200,1200,150
WR,DJ Chark Jr. (13565164),DJ Chark Jr.,13565164,WR/FLEX,6000,JAX@CIN 10/20/2019 01:00PM ET,JAX,19.8,110,,,Brandin Cooks,1200,1200,165
RB,Melvin Gordon III (13564960),Melvin Gordon III,13564960,RB/FLEX,5900,LAC@TEN 10/20/2019 04:05PM ET,LAC,7.8,165,,,Darrell Henderson Jr.,1300,1300,180
WR,T.Y. Hilton (13565168),T.Y. Hilton,13565168,WR/FLEX,5900,HOU@IND 10/20/2019 01:00PM ET,IND,17.8,125,,,Gerald Everett,1800,1800,225
WR,Robert Woods (13565166),Robert Woods,13565166,WR/FLEX,5900,LAR@ATL 10/20/2019 01:00PM ET,LAR,13.57,150,,,Mohamed Sanu,2000,2000,275
RB,Derrick Henry (13564962),Derrick Henry,13564962,RB/FLEX,5800,LAC@TEN 10/20/2019 04:05PM ET,TEN,15.13,-106,,,Tyler Higbee,2200,2200,325
WR,Golden Tate (13565170),Golden Tate,13565170,WR/FLEX,5800,ARI@NYG 10/20/2019 01:00PM ET,NYG,14.75,165,,,Any Other Los Angeles Rams Player,2200,2200,325
QB,Kirk Cousins (13564891),Kirk Cousins,13564891,QB,5800,MIN@DET 10/20/2019 01:00PM ET,MIN,16.99,750,,,Ito Smith,2500,2500,350
WR,Kenny Golladay (13565172),Kenny Golladay,13565172,WR/FLEX,5800,MIN@DET 10/20/2019 01:00PM ET,DET,18.08,145,,,Any Other ATL Falcons Player,2500,2500,375
QB,Drew Brees (13564892),Drew Brees,13564892,QB,5700,NO@CHI 10/20/2019 04:25PM ET,NO,12.66,#N/A,,,Jared Goff,3500,3500,600
WR,Sterling Shepard (13565174),Sterling Shepard,13565174,WR/FLEX,5700,ARI@NYG 10/20/2019 01:00PM ET,NYG,16.72,130,,,Matt Ryan,5000,5000,850
RB,Malcolm Brown (13564964),Malcolm Brown,13564964,RB/FLEX,5700,LAR@ATL 10/20/2019 01:00PM ET,LAR,4.9,150,,,Justin Hardy,6000,6000,1000
WR,Marquise Brown (13565178),Marquise Brown,13565178,WR/FLEX,5600,BAL@SEA 10/20/2019 04:25PM ET,BAL,14.92,250,,,Josh Reynolds,7000,7000,1000
RB,Tevin Coleman (13564966),Tevin Coleman,13564966,RB/FLEX,5600,SF@WAS 10/20/2019 01:00PM ET,SF,12.47,108,,,Keith Smith,10000,10000,2200
QB,Jacoby Brissett (13564893),Jacoby Brissett,13564893,QB,5600,HOU@IND 10/20/2019 01:00PM ET,IND,18.82,650,,,Jaeden Graham,10000,10000,2200
WR,Tyler Boyd (13565176),Tyler Boyd,13565176,WR/FLEX,5600,JAX@CIN 10/20/2019 01:00PM ET,CIN,15.65,200,,,Russell Gage,10000,10000,2200
WR,Allen Robinson II (13565184),Allen Robinson II,13565184,WR/FLEX,5500,NO@CHI 10/20/2019 04:25PM ET,CHI,16.74,130,,,Luke Stocker,10000,10000,2200
QB,Philip Rivers (13564894),Philip Rivers,13564894,QB,5500,LAC@TEN 10/20/2019 04:05PM ET,LAC,18.97,2200,,,Olamide Zaccheaus,10000,10000,2200
RB,Wayne Gallman Jr. (13564968),Wayne Gallman Jr.,13564968,RB/FLEX,5500,ARI@NYG 10/20/2019 01:00PM ET,NYG,8.92,600,,,Kenjon Barner,10000,10000,2200
WR,John Brown (13565182),John Brown,13565182,WR/FLEX,5500,MIA@BUF 10/20/2019 01:00PM ET,BUF,15.28,200,,,JoJo Natson,10000,10000,2200
QB,Andy Dalton (13564895),Andy Dalton,13564895,QB,5400,JAX@CIN 10/20/2019 01:00PM ET,CIN,17.61,750,,,Johnny Mundt,10000,10000,2200
QB,Gardner Minshew II (13564896),Gardner Minshew II,13564896,QB,5400,JAX@CIN 10/20/2019 01:00PM ET,JAX,17.2,900,,,Mike Thomas,10000,10000,2200
RB,Devin Singletary (13564972),Devin Singletary,13564972,RB/FLEX,5400,MIA@BUF 10/20/2019 01:00PM ET,BUF,13.25,165,,,George Kittle,550,550,-112
RB,Devonta Freeman (13564970),Devonta Freeman,13564970,RB/FLEX,5400,LAR@ATL 10/20/2019 01:00PM ET,ATL,14.97,-106,,,Tevin Coleman,650,650,108
WR,Brandin Cooks (13565180),Brandin Cooks,13565180,WR/FLEX,5400,LAR@ATL 10/20/2019 01:00PM ET,LAR,11.9,165,,,Matt Breida,750,750,125
QB,Teddy Bridgewater (13564897),Teddy Bridgewater,13564897,QB,5300,NO@CHI 10/20/2019 04:25PM ET,NO,15.15,1000,,,Marquise Goodwin,1000,1000,180
RB,Matt Breida (13564974),Matt Breida,13564974,RB/FLEX,5300,SF@WAS 10/20/2019 01:00PM ET,SF,14.58,125,,,Adrian Peterson,1050,1050,190
WR,Calvin Ridley (13565186),Calvin Ridley,13565186,WR/FLEX,5300,LAR@ATL 10/20/2019 01:00PM ET,ATL,14.38,120,,,Terry McLaurin,1100,1100,210
TE,Austin Hooper (13565408),Austin Hooper,13565408,TE/FLEX,5300,LAR@ATL 10/20/2019 01:00PM ET,ATL,19.33,130,,,Dante Pettis,1300,1300,250
WR,Marquez Valdes-Scantling (13565188),Marquez Valdes-Scantling,13565188,WR/FLEX,5200,OAK@GB 10/20/2019 01:00PM ET,GB,9.03,190,,,Deebo Samuel,1400,1400,260
QB,Matthew Stafford (13564898),Matthew Stafford,13564898,QB,5200,MIN@DET 10/20/2019 01:00PM ET,DET,19.36,1600,,,Paul Richardson Jr.,1800,1800,375
RB,Frank Gore (13564978),Frank Gore,13564978,RB/FLEX,5200,MIA@BUF 10/20/2019 01:00PM ET,BUF,11.6,-121,,,Jeremy Sprinkle,2000,2000,400
QB,Mitchell Trubisky (13564899),Mitchell Trubisky,13564899,QB,5100,NO@CHI 10/20/2019 04:25PM ET,CHI,8.9,700,,,Any Other San Francisco 49ers Player,2000,2000,400
RB,Latavius Murray (13564976),Latavius Murray,13564976,RB/FLEX,5100,NO@CHI 10/20/2019 04:25PM ET,NO,5.92,140,,,Trey Quinn,2200,2200,475
WR,Tyrell Williams (13565190),Tyrell Williams,13565190,WR/FLEX,5100,OAK@GB 10/20/2019 01:00PM ET,OAK,16.4,#N/A,,,Wendell Smallwood,2800,2800,550
RB,Kerryon Johnson (13564980),Kerryon Johnson,13564980,RB/FLEX,5100,MIN@DET 10/20/2019 01:00PM ET,DET,14.02,115,,,Raheem Mostert,2800,2800,550
WR,Christian Kirk (13565194),Christian Kirk,13565194,WR/FLEX,5000,ARI@NYG 10/20/2019 01:00PM ET,ARI,13.75,260,,,Jeff Wilson Jr.,3500,3500,750
QB,Derek Carr (13564900),Derek Carr,13564900,QB,5000,OAK@GB 10/20/2019 01:00PM ET,OAK,13.28,1000,,,Richie James,3500,3500,750
RB,Josh Jacobs (13564984),Josh Jacobs,13564984,RB/FLEX,5000,OAK@GB 10/20/2019 01:00PM ET,OAK,16.74,-139,,,Jimmy Garoppolo,3500,3500,750
WR,Marvin Jones Jr. (13565192),Marvin Jones Jr.,13565192,WR/FLEX,5000,MIN@DET 10/20/2019 01:00PM ET,DET,11.76,240,,,Any Other Washington Redskins Player,3500,3500,750
RB,Joe Mixon (13564982),Joe Mixon,13564982,RB/FLEX,5000,JAX@CIN 10/20/2019 01:00PM ET,CIN,9.15,110,,,Kelvin Harmon,4000,4000,900
TE,Mark Andrews (13565410),Mark Andrews,13565410,TE/FLEX,4900,BAL@SEA 10/20/2019 04:25PM ET,BAL,16.33,190,,,Kendrick Bourne,4500,4500,950
QB,Chase Daniel (13564903),Chase Daniel,13564903,QB,4900,NO@CHI 10/20/2019 04:25PM ET,CHI,13.82,1300,,,Levine Toilolo,6000,6000,1200
QB,Eli Manning (13564902),Eli Manning,13564902,QB,4900,ARI@NYG 10/20/2019 01:00PM ET,NYG,15.52,#N/A,,,Craig Reynolds,7000,7000,1500
RB,Jamaal Williams (13564986),Jamaal Williams,13564986,RB/FLEX,4900,OAK@GB 10/20/2019 01:00PM ET,GB,10.96,150,,,Steven Sims Jr.,8000,8000,1800
WR,Geronimo Allison (13565196),Geronimo Allison,13565196,WR/FLEX,4900,OAK@GB 10/20/2019 01:00PM ET,GB,6.52,225,,,Hale Hentges,8000,8000,1800
WR,Dede Westbrook (13565198),Dede Westbrook,13565198,WR/FLEX,4900,JAX@CIN 10/20/2019 01:00PM ET,JAX,10.1,120,,,Case Keenum,9000,9000,1800
QB,Matt Barkley (13564901),Matt Barkley,13564901,QB,4900,MIA@BUF 10/20/2019 01:00PM ET,BUF,4.08,#N/A,,,Ross Dwelley,10000,10000,2200
WR,DK Metcalf (13565204),DK Metcalf,13565204,WR/FLEX,4800,BAL@SEA 10/20/2019 04:25PM ET,SEA,10.33,130,,,Mike Burton,10000,10000,2200
RB,David Montgomery (13564988),David Montgomery,13564988,RB/FLEX,4800,NO@CHI 10/20/2019 04:25PM ET,CHI,10.14,135,,,Aaron Jones,550,550,-155
QB,Marcus Mariota (13564904),Marcus Mariota,13564904,QB,4800,LAC@TEN 10/20/2019 04:05PM ET,TEN,14.84,#N/A,,,Josh Jacobs,550,550,-139
QB,Ryan Tannehill (13564905),Ryan Tannehill,13564905,QB,4800,LAC@TEN 10/20/2019 04:05PM ET,TEN,2.58,1100,,,Jamaal Williams,1000,1000,150
WR,Marquise Goodwin (13565200),Marquise Goodwin,13565200,WR/FLEX,4800,SF@WAS 10/20/2019 01:00PM ET,SF,7.32,180,,,Jimmy Graham,1000,1000,145
RB,Chase Edmonds (13564990),Chase Edmonds,13564990,RB/FLEX,4700,ARI@NYG 10/20/2019 01:00PM ET,ARI,7.28,-143,,,Darren Waller,1100,1100,175
RB,Carlos Hyde (13564992),Carlos Hyde,13564992,RB/FLEX,4700,HOU@IND 10/20/2019 01:00PM ET,HOU,11.8,130,,,Marquez Valdes-Scantling,1200,1200,190
QB,DeShone Kizer (13564906),DeShone Kizer,13564906,QB,4700,OAK@GB 10/20/2019 01:00PM ET,OAK,0,#N/A,,,Allen Lazard,1400,1400,220
TE,Darren Waller (13565412),Darren Waller,13565412,TE/FLEX,4700,OAK@GB 10/20/2019 01:00PM ET,OAK,15.32,175,,,Geronimo Allison,1500,1500,225
WR,Cole Beasley (13565202),Cole Beasley,13565202,WR/FLEX,4700,MIA@BUF 10/20/2019 01:00PM ET,BUF,11.14,425,,,Hunter Renfrow,1500,1500,240
RB,Tarik Cohen (13564996),Tarik Cohen,13564996,RB/FLEX,4600,NO@CHI 10/20/2019 04:25PM ET,CHI,8.5,200,,,Jake Kumerow,1600,1600,285
WR,Mike Williams (13565208),Mike Williams,13565208,WR/FLEX,4600,LAC@TEN 10/20/2019 04:05PM ET,LAC,9.86,210,,,Foster Moreau,2200,2200,400
QB,Case Keenum (13564908),Case Keenum,13564908,QB,4600,SF@WAS 10/20/2019 01:00PM ET,WAS,16.53,1800,,,Any Other Green Bay Packers Player,2200,2200,375
RB,Raheem Mostert (13564994),Raheem Mostert,13564994,RB/FLEX,4600,SF@WAS 10/20/2019 01:00PM ET,SF,8.14,550,,,Darrius Shepherd,2500,2500,425
QB,Mike Glennon (13564907),Mike Glennon,13564907,QB,4600,OAK@GB 10/20/2019 01:00PM ET,OAK,0,#N/A,,,Marcedes Lewis,3300,3300,550
