Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Odds,,,,,,
RB,Rashaad Penny (13565024),Rashaad Penny,13565024,RB/FLEX,4000,BAL@SEA 10/20/2019 04:25PM ET,SEA,7.4,550,,,Durham Smythe,10000,10000,2200
QB,Easton Stick (13564936),Easton Stick,13564936,QB,4000,LAC@TEN 10/20/2019 04:05PM ET,LAC,0,#N/A,,,Patrick Laird,10000,10000,2200
WR,Corey Davis (13565234),Corey Davis,13565234,WR/FLEX,4000,LAC@TEN 10/20/2019 04:05PM ET,TEN,7.62,250,,,Senorise Perry,10000,10000,2200
TE,Hunter Henry (13565422),Hunter Henry,13565422,TE/FLEX,4000,LAC@TEN 10/20/2019 04:05PM ET,LAC,21.5,180,,,Marlon Mack,800,800,120
QB,C.J. Beathard (13564935),C.J. Beathard,13564935,QB,4000,SF@WAS 10/20/2019 01:00PM ET,SF,0,#N/A,,,DeAndre Hopkins,800,800,110
RB,Chris Thompson (13565022),Chris Thompson,13565022,RB/FLEX,4000,SF@WAS 10/20/2019 01:00PM ET,WAS,10.42,#N/A,,,T.Y. Hilton,850,850,125
QB,Alex Tanney (13564934),Alex Tanney,13564934,QB,4000,ARI@NYG 10/20/2019 01:00PM ET,NYG,0,#N/A,,,Carlos Hyde,850,850,130
WR,Damiere Byrd (13565232),Damiere Byrd,13565232,WR/FLEX,4000,ARI@NYG 10/20/2019 01:00PM ET,ARI,7.4,500,,,Will Fuller V,950,950,140
QB,Andrew Luck (13564932),Andrew Luck,13564932,QB,4000,HOU@IND 10/20/2019 01:00PM ET,IND,0,#N/A,,,Jack Doyle,1200,1200,190
QB,Alex McGough (13564933),Alex McGough,13564933,QB,4000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,#N/A,,,Nyheim Hines,1200,1200,190
WR,Zach Pascal (13565228),Zach Pascal,13565228,WR/FLEX,4000,HOU@IND 10/20/2019 01:00PM ET,IND,5.5,425,,,Eric Ebron,1500,1500,240
WR,Parris Campbell (13565230),Parris Campbell,13565230,WR/FLEX,4000,HOU@IND 10/20/2019 01:00PM ET,IND,5.48,#N/A,,,Duke Johnson,1500,1500,240
QB,Jake Dolegala (13564931),Jake Dolegala,13564931,QB,4000,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,#N/A,,,Deshaun Watson,1600,1600,250
WR,Taylor Gabriel (13565240),Taylor Gabriel,13565240,WR/FLEX,3900,NO@CHI 10/20/2019 04:25PM ET,CHI,13.37,285,,,Darren Fells,2000,2000,300
WR,Anthony Miller (13565242),Anthony Miller,13565242,WR/FLEX,3900,NO@CHI 10/20/2019 04:25PM ET,CHI,3.2,500,,,Kenny Stills,2200,2200,375
RB,Dion Lewis (13565030),Dion Lewis,13565030,RB/FLEX,3900,LAC@TEN 10/20/2019 04:05PM ET,TEN,4.27,300,,,Zach Pascal,2500,2500,425
WR,KeeSean Johnson (13565238),KeeSean Johnson,13565238,WR/FLEX,3900,ARI@NYG 10/20/2019 01:00PM ET,ARI,5.47,350,,,Any Other Indianapolis Colts Player,2500,2500,425
RB,Jordan Wilkins (13565026),Jordan Wilkins,13565026,RB/FLEX,3900,HOU@IND 10/20/2019 01:00PM ET,IND,3.2,650,,,Any Other Houston Texans Player,2500,2500,450
TE,Eric Ebron (13565416),Eric Ebron,13565416,TE/FLEX,3900,HOU@IND 10/20/2019 01:00PM ET,IND,6.92,240,,,Deon Cain,3300,3300,550
RB,T.J. Yeldon (13565028),T.J. Yeldon,13565028,RB/FLEX,3900,MIA@BUF 10/20/2019 01:00PM ET,BUF,4.7,400,,,Chester Rogers,3500,3500,650
WR,Preston Williams (13565236),Preston Williams,13565236,WR/FLEX,3900,MIA@BUF 10/20/2019 01:00PM ET,MIA,9.24,400,,,Jacoby Brissett,3500,3500,650
WR,A.J. Brown (13565244),A.J. Brown,13565244,WR/FLEX,3800,LAC@TEN 10/20/2019 04:05PM ET,TEN,9.38,285,,,Jordan Wilkins,3500,3500,650
TE,Delanie Walker (13565418),Delanie Walker,13565418,TE/FLEX,3800,LAC@TEN 10/20/2019 04:05PM ET,TEN,9.08,200,,,Jordan Akins,3500,3500,600
RB,Dexter Williams (13565034),Dexter Williams,13565034,RB/FLEX,3800,OAK@GB 10/20/2019 01:00PM ET,GB,0,2200,,,Keke Coutee,4000,4000,750
RB,Jalen Richard (13565036),Jalen Richard,13565036,RB/FLEX,3800,OAK@GB 10/20/2019 01:00PM ET,OAK,3.34,1000,,,Ashton Dulin,10000,10000,2200
RB,Ty Johnson (13565032),Ty Johnson,13565032,RB/FLEX,3800,MIN@DET 10/20/2019 01:00PM ET,DET,2.02,1200,,,Jonathan Williams,10000,10000,2200
WR,Danny Amendola (13565248),Danny Amendola,13565248,WR/FLEX,3800,MIN@DET 10/20/2019 01:00PM ET,DET,8.92,425,,,Mo Alie-Cox,10000,10000,2200
WR,DeVante Parker (13565246),DeVante Parker,13565246,WR/FLEX,3800,MIA@BUF 10/20/2019 01:00PM ET,MIA,9.58,450,,,Cullen Gillaspia,10000,10000,2200
RB,C.J. Prosise (13565038),C.J. Prosise,13565038,RB/FLEX,3700,BAL@SEA 10/20/2019 04:25PM ET,SEA,4.6,1400,,,Buddy Howell,10000,10000,2200
WR,Malik Turner (13565252),Malik Turner,13565252,WR/FLEX,3700,BAL@SEA 10/20/2019 04:25PM ET,SEA,2.05,2200,,,DeAndre Carter,10000,10000,2200
WR,Jaron Brown (13565254),Jaron Brown,13565254,WR/FLEX,3700,BAL@SEA 10/20/2019 04:25PM ET,SEA,6.08,220,,,Logan Paulsen,10000,10000,2200
RB,Justin Jackson (13565040),Justin Jackson,13565040,RB/FLEX,3700,LAC@TEN 10/20/2019 04:05PM ET,LAC,7.17,#N/A,,,Taiwan Jones,10000,10000,2200
WR,Chester Rogers (13565250),Chester Rogers,13565250,WR/FLEX,3700,HOU@IND 10/20/2019 01:00PM ET,IND,3.84,650,,,Saquon Barkley,425,425,-250
RB,Qadree Ollison (13565042),Qadree Ollison,13565042,RB/FLEX,3700,LAR@ATL 10/20/2019 01:00PM ET,ATL,0,#N/A,,,Chase Edmonds,550,550,-143
TE,Gerald Everett (13565420),Gerald Everett,13565420,TE/FLEX,3700,LAR@ATL 10/20/2019 01:00PM ET,LAR,8.7,225,,,David Johnson,550,550,-162
WR,Ted Ginn Jr. (13565288),Ted Ginn Jr.,13565288,WR/FLEX,3600,NO@CHI 10/20/2019 04:25PM ET,NO,7.82,325,,,Evan Engram,900,900,115
TE,Jared Cook (13565424),Jared Cook,13565424,TE/FLEX,3600,NO@CHI 10/20/2019 04:25PM ET,NO,7.3,325,,,Sterling Shepard,1000,1000,130
RB,Jonathan Williams (13565044),Jonathan Williams,13565044,RB/FLEX,3600,HOU@IND 10/20/2019 01:00PM ET,IND,0,2200,,,Golden Tate,1200,1200,165
WR,Keke Coutee (13565262),Keke Coutee,13565262,WR/FLEX,3600,HOU@IND 10/20/2019 01:00PM ET,HOU,4.78,750,,,Larry Fitzgerald,1200,1200,160
WR,Jake Kumerow (13565256),Jake Kumerow,13565256,WR/FLEX,3600,OAK@GB 10/20/2019 01:00PM ET,GB,1.95,285,,,Darius Slayton,1500,1500,225
TE,T.J. Hockenson (13565426),T.J. Hockenson,13565426,TE/FLEX,3600,MIN@DET 10/20/2019 01:00PM ET,DET,9.74,225,,,Kyler Murray,1600,1600,225
RB,Kalen Ballage (13565046),Kalen Ballage,13565046,RB/FLEX,3600,MIA@BUF 10/20/2019 01:00PM ET,MIA,3.1,1200,,,Christian Kirk,1800,1800,260
WR,Robert Foster (13565258),Robert Foster,13565258,WR/FLEX,3600,MIA@BUF 10/20/2019 01:00PM ET,BUF,0,650,,,Daniel Jones,2200,2200,325
WR,Albert Wilson (13565260),Albert Wilson,13565260,WR/FLEX,3600,MIA@BUF 10/20/2019 01:00PM ET,MIA,4.95,750,,,Any Other New York Giants Player,2200,2200,350
WR,Miles Boykin (13565272),Miles Boykin,13565272,WR/FLEX,3500,BAL@SEA 10/20/2019 04:25PM ET,BAL,4.43,450,,,KeeSean Johnson,2500,2500,350
WR,Javon Wims (13565270),Javon Wims,13565270,WR/FLEX,3500,NO@CHI 10/20/2019 04:25PM ET,CHI,2.28,1050,,,Rhett Ellison,2800,2800,450
RB,Wendell Smallwood (13565048),Wendell Smallwood,13565048,RB/FLEX,3500,SF@WAS 10/20/2019 01:00PM ET,WAS,1.47,550,,,Damiere Byrd,3000,3000,500
WR,Cody Latimer (13565268),Cody Latimer,13565268,WR/FLEX,3500,ARI@NYG 10/20/2019 01:00PM ET,NYG,3.28,700,,,Any Other Arizona Cardinals Player,3000,3000,475
TE,Jack Doyle (13565428),Jack Doyle,13565428,TE/FLEX,3500,HOU@IND 10/20/2019 01:00PM ET,IND,6.56,190,,,Wayne Gallman Jr.,3500,3500,600
WR,Darrius Shepherd (13565266),Darrius Shepherd,13565266,WR/FLEX,3500,OAK@GB 10/20/2019 01:00PM ET,GB,0.02,425,,,Cody Latimer,4000,4000,700
WR,Chris Conley (13565264),Chris Conley,13565264,WR/FLEX,3500,JAX@CIN 10/20/2019 01:00PM ET,JAX,7.38,165,,,Bennie Fowler,4000,4000,700
WR,Marqise Lee (13565274),Marqise Lee,13565274,WR/FLEX,3500,JAX@CIN 10/20/2019 01:00PM ET,JAX,0.62,#N/A,,,Charles Clay,4000,4000,600
DST,Jaguars  (13565564),Jaguars ,13565564,DST,3500,JAX@CIN 10/20/2019 01:00PM ET,JAX,5.33,#N/A,,,Maxx Williams,4500,4500,700
RB,Darrell Henderson Jr. (13565050),Darrell Henderson Jr.,13565050,RB/FLEX,3500,LAR@ATL 10/20/2019 01:00PM ET,LAR,1.45,180,,,Pharoh Cooper,4500,4500,700
WR,David Moore (13565290),David Moore,13565290,WR/FLEX,3400,BAL@SEA 10/20/2019 04:25PM ET,SEA,5.1,850,,,Trent Sherfield,5500,5500,850
RB,Mike Davis (13565054),Mike Davis,13565054,RB/FLEX,3400,NO@CHI 10/20/2019 04:25PM ET,CHI,2.48,2200,,,Cody Core,10000,10000,2200
WR,Cordarrelle Patterson (13565278),Cordarrelle Patterson,13565278,WR/FLEX,3400,NO@CHI 10/20/2019 04:25PM ET,CHI,2.26,750,,,Garrett Dickerson,10000,10000,2200
WR,Adam Humphries (13565276),Adam Humphries,13565276,WR/FLEX,3400,LAC@TEN 10/20/2019 04:05PM ET,TEN,6.67,275,,,Kaden Smith,10000,10000,2200
WR,Trey Quinn (13565286),Trey Quinn,13565286,WR/FLEX,3400,SF@WAS 10/20/2019 01:00PM ET,WAS,6.42,475,,,Elijhaa Penny,10000,10000,2200
TE,Rhett Ellison (13565430),Rhett Ellison,13565430,TE/FLEX,3400,ARI@NYG 10/20/2019 01:00PM ET,NYG,2.93,450,,,D.J. Foster,10000,10000,2200
DST,Packers  (13565565),Packers ,13565565,DST,3400,OAK@GB 10/20/2019 01:00PM ET,GB,8.33,#N/A,,,Andy Isabella,10000,10000,2200
RB,Samaje Perine (13565052),Samaje Perine,13565052,RB/FLEX,3400,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,#N/A,,,Javorius Allen,10000,10000,2200
WR,Jakeem Grant (13565282),Jakeem Grant,13565282,WR/FLEX,3400,MIA@BUF 10/20/2019 01:00PM ET,MIA,3.25,950,,,Leonard Fournette,375,375,-225
WR,Isaiah McKenzie (13565284),Isaiah McKenzie,13565284,WR/FLEX,3400,MIA@BUF 10/20/2019 01:00PM ET,BUF,4.5,650,,,Joe Mixon,700,700,110
WR,Josh Reynolds (13565280),Josh Reynolds,13565280,WR/FLEX,3400,LAR@ATL 10/20/2019 01:00PM ET,LAR,0.9,1000,,,DJ Chark Jr.,700,700,110
WR,Tre'Quan Smith (13565300),Tre'Quan Smith,13565300,WR/FLEX,3300,NO@CHI 10/20/2019 04:25PM ET,NO,6.17,600,,,Dede Westbrook,750,750,120
WR,Geremy Davis (13565298),Geremy Davis,13565298,WR/FLEX,3300,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.36,1400,,,Chris Conley,1050,1050,165
RB,Derrius Guice (13565058),Derrius Guice,13565058,RB/FLEX,3300,SF@WAS 10/20/2019 01:00PM ET,WAS,6.8,#N/A,,,A.J. Green,1100,1100,180
WR,Cam Sims (13565292),Cam Sims,13565292,WR/FLEX,3300,SF@WAS 10/20/2019 01:00PM ET,WAS,0,#N/A,,,Tyler Boyd,1200,1200,200
TE,Vernon Davis (13565432),Vernon Davis,13565432,TE/FLEX,3300,SF@WAS 10/20/2019 01:00PM ET,WAS,7.08,#N/A,,,Auden Tate,1500,1500,260
WR,Russell Shepard (13565296),Russell Shepard,13565296,WR/FLEX,3300,ARI@NYG 10/20/2019 01:00PM ET,NYG,1.83,#N/A,,,Seth DeValve,1500,1500,260
RB,Isaiah Crowell (13565056),Isaiah Crowell,13565056,RB/FLEX,3300,OAK@GB 10/20/2019 01:00PM ET,OAK,0,#N/A,,,Giovani Bernard,1600,1600,275
WR,Trevor Davis (13565294),Trevor Davis,13565294,WR/FLEX,3300,OAK@GB 10/20/2019 01:00PM ET,OAK,6.1,1000,,,Tyler Eifert,2200,2200,400
WR,Keelan Cole (13565302),Keelan Cole,13565302,WR/FLEX,3300,JAX@CIN 10/20/2019 01:00PM ET,JAX,0.48,600,,,Any Other Jacksonville Jaguars Player,2500,2500,450
TE,Dawson Knox (13565434),Dawson Knox,13565434,TE/FLEX,3300,MIA@BUF 10/20/2019 01:00PM ET,BUF,6.5,325,,,C.J. Uzomah,2800,2800,525
TE,Trey Burton (13565438),Trey Burton,13565438,TE/FLEX,3200,NO@CHI 10/20/2019 04:25PM ET,CHI,4.18,450,,,Alex Erickson,2800,2800,525
RB,Troymaine Pope (13565060),Troymaine Pope,13565060,RB/FLEX,3200,LAC@TEN 10/20/2019 04:05PM ET,LAC,2.28,2200,,,Any Other Cincinnati Bengals Player,2800,2800,525
WR,Andre Patton (13565310),Andre Patton,13565310,WR/FLEX,3200,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.4,2200,,,Josh Oliver,3300,3300,600
WR,Tajae Sharpe (13565312),Tajae Sharpe,13565312,WR/FLEX,3200,LAC@TEN 10/20/2019 04:05PM ET,TEN,2.6,650,,,Keelan Cole,3300,3300,600
DST,Titans  (13565566),Titans ,13565566,DST,3200,LAC@TEN 10/20/2019 04:05PM ET,TEN,9,#N/A,,,C.J. Board,3500,3500,750
WR,Jordan Matthews (13565308),Jordan Matthews,13565308,WR/FLEX,3200,SF@WAS 10/20/2019 01:00PM ET,SF,0,#N/A,,,Andy Dalton,4000,4000,750
WR,DeAndre Carter (13565306),DeAndre Carter,13565306,WR/FLEX,3200,HOU@IND 10/20/2019 01:00PM ET,HOU,-0.02,2200,,,Damion Willis,4500,4500,900
WR,Deon Cain (13565314),Deon Cain,13565314,WR/FLEX,3200,HOU@IND 10/20/2019 01:00PM ET,IND,1.84,550,,,Gardner Minshew II,4500,4500,900
TE,Jordan Akins (13565436),Jordan Akins,13565436,TE/FLEX,3200,HOU@IND 10/20/2019 01:00PM ET,HOU,7.43,600,,,Ryquell Armstead,4500,4500,850
RB,DeAndre Washington (13565064),DeAndre Washington,13565064,RB/FLEX,3200,OAK@GB 10/20/2019 01:00PM ET,OAK,5.14,600,,,Ben Koyack,8000,8000,1500
WR,Alex Erickson (13565304),Alex Erickson,13565304,WR/FLEX,3200,JAX@CIN 10/20/2019 01:00PM ET,CIN,3.77,525,,,Cethan Carter,10000,10000,2200
RB,Mark Walton (13565062),Mark Walton,13565062,RB/FLEX,3200,MIA@BUF 10/20/2019 01:00PM ET,MIA,5.42,550,,,Drew Sample,10000,10000,1800
RB,Justice Hill (13565080),Justice Hill,13565080,RB/FLEX,3100,BAL@SEA 10/20/2019 04:25PM ET,BAL,2.12,800,,,Stanley Jr. Morgan,10000,10000,2200
WR,Chris Moore (13565344),Chris Moore,13565344,WR/FLEX,3100,BAL@SEA 10/20/2019 04:25PM ET,BAL,0.63,1400,,,Trayveon Williams,10000,10000,2200
WR,Deonte Harris (13565340),Deonte Harris,13565340,WR/FLEX,3100,NO@CHI 10/20/2019 04:25PM ET,NO,1.05,2200,,,Devine Ozigbo,10000,10000,2200
WR,Lil'Jordan Humphrey (13565342),Lil'Jordan Humphrey,13565342,WR/FLEX,3100,NO@CHI 10/20/2019 04:25PM ET,NO,0,1600,,,Tyler Ervin,10000,10000,2200
RB,Rod Smith (13565076),Rod Smith,13565076,RB/FLEX,3100,LAC@TEN 10/20/2019 04:05PM ET,TEN,0,2200,,,Derrick Henry,550,550,-106
RB,Dalyn Dawkins (13565078),Dalyn Dawkins,13565078,RB/FLEX,3100,LAC@TEN 10/20/2019 04:05PM ET,TEN,0.2,2200,,,Melvin Gordon III,900,900,165
WR,Jason Moore (13565338),Jason Moore,13565338,WR/FLEX,3100,LAC@TEN 10/20/2019 04:05PM ET,LAC,6.3,1400,,,Keenan Allen,950,950,180
DST,Chargers  (13565568),Chargers ,13565568,DST,3100,LAC@TEN 10/20/2019 04:05PM ET,LAC,7,#N/A,,,Hunter Henry,950,950,180
WR,Steven Sims Jr. (13565336),Steven Sims Jr.,13565336,WR/FLEX,3100,SF@WAS 10/20/2019 01:00PM ET,WAS,3.67,1800,,,Austin Ekeler,1000,1000,190
WR,Pharoh Cooper (13565332),Pharoh Cooper,13565332,WR/FLEX,3100,ARI@NYG 10/20/2019 01:00PM ET,ARI,3.37,700,,,Delanie Walker,1100,1100,200
WR,Andy Isabella (13565334),Andy Isabella,13565334,WR/FLEX,3100,ARI@NYG 10/20/2019 01:00PM ET,ARI,0.32,2200,,,Mike Williams,1100,1100,210
TE,Darren Fells (13565440),Darren Fells,13565440,TE/FLEX,3100,HOU@IND 10/20/2019 01:00PM ET,HOU,8.15,300,,,Corey Davis,1300,1300,250
RB,Alec Ingold (13565072),Alec Ingold,13565072,RB/FLEX,3100,OAK@GB 10/20/2019 01:00PM ET,OAK,0.08,2200,,,Adam Humphries,1400,1400,275
WR,Zay Jones (13565328),Zay Jones,13565328,WR/FLEX,3100,OAK@GB 10/20/2019 01:00PM ET,OAK,2.78,550,,,A.J. Brown,1500,1500,285
WR,Marcell Ateman (13565330),Marcell Ateman,13565330,WR/FLEX,3100,OAK@GB 10/20/2019 01:00PM ET,OAK,0,850,,,Dion Lewis,1500,1500,300
RB,Paul Perkins (13565070),Paul Perkins,13565070,RB/FLEX,3100,MIN@DET 10/20/2019 01:00PM ET,DET,0,#N/A,,,Any Other Tennessee Titans Player,2500,2500,500
RB,Tra Carson (13565074),Tra Carson,13565074,RB/FLEX,3100,MIN@DET 10/20/2019 01:00PM ET,DET,3.6,2200,,,Any Other Los Angeles Chargers Player,2500,2500,550
WR,Chad Beebe (13565322),Chad Beebe,13565322,WR/FLEX,3100,MIN@DET 10/20/2019 01:00PM ET,MIN,3,#N/A,,,Tajae Sharpe,3300,3300,650
WR,Marvin Hall (13565324),Marvin Hall,13565324,WR/FLEX,3100,MIN@DET 10/20/2019 01:00PM ET,DET,4.5,900,,,Ryan Tannehill,4500,4500,1100
WR,Tom Kennedy (13565326),Tom Kennedy,13565326,WR/FLEX,3100,MIN@DET 10/20/2019 01:00PM ET,DET,0,#N/A,,,Virgil Green,5000,5000,1100
DST,Vikings  (13565567),Vikings ,13565567,DST,3100,MIN@DET 10/20/2019 01:00PM ET,MIN,8.67,#N/A,,,Jonnu Smith,6600,6600,1400
WR,Stanley Morgan (13565320),Stanley Morgan,13565320,WR/FLEX,3100,JAX@CIN 10/20/2019 01:00PM ET,CIN,0.8,#N/A,,,Geremy Davis,6600,6600,1400
RB,Senorise Perry (13565068),Senorise Perry,13565068,RB/FLEX,3100,MIA@BUF 10/20/2019 01:00PM ET,BUF,0,2200,,,Jason Moore,6600,6600,1400
WR,Allen Hurns (13565316),Allen Hurns,13565316,WR/FLEX,3100,MIA@BUF 10/20/2019 01:00PM ET,MIA,2.68,2000,,,MyCole Pruitt,10000,10000,2200
WR,Isaiah Ford (13565318),Isaiah Ford,13565318,WR/FLEX,3100,MIA@BUF 10/20/2019 01:00PM ET,MIA,1.45,2200,,,Anthony Firkser,10000,10000,2200
RB,John Kelly (13565066),John Kelly,13565066,RB/FLEX,3100,LAR@ATL 10/20/2019 01:00PM ET,LAR,0,#N/A,,,Darius Jennings,10000,10000,2200
RB,Patrick Ricard (13565132),Patrick Ricard,13565132,RB/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,1.67,1400,,,Dalyn Dawkins,10000,10000,2200
RB,Travis Homer (13565134),Travis Homer,13565134,RB/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,2200,,,Andre Patton,10000,10000,2200
RB,Nick Bellore (13565136),Nick Bellore,13565136,RB/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0.5,2200,,,Lance Kendricks,10000,10000,2200
WR,Seth Roberts (13565396),Seth Roberts,13565396,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,3.27,600,,,Derek Watt,10000,10000,2200
WR,Jaleel Scott (13565398),Jaleel Scott,13565398,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,0,2200,,,Troymaine Pope,10000,10000,2200
WR,John Ursua (13565400),John Ursua,13565400,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,2200,,,Philip Rivers,10000,10000,2200
WR,Gary Jennings (13565402),Gary Jennings,13565402,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,2200,,,Rod Smith,10000,10000,2200
TE,Luke Willson (13565444),Luke Willson,13565444,TE/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,3.4,300,,,Chris Carson,550,550,-155
TE,Hayden Hurst (13565446),Hayden Hurst,13565446,TE/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,5.35,550,,,Tyler Lockett,750,750,108
RB,Dwayne Washington (13565128),Dwayne Washington,13565128,RB/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,NO,0,850,,,Mark Ingram II,750,750,-106
RB,Zach Line (13565130),Zach Line,13565130,RB/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,NO,0.22,2200,,,DK Metcalf,950,950,130
WR,Austin Carr (13565392),Austin Carr,13565392,WR/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,NO,0,1600,,,Mark Andrews,1300,1300,190
WR,Riley Ridley (13565394),Riley Ridley,13565394,WR/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,CHI,0,2200,,,Lamar Jackson,1300,1300,190
DST,Bears  (13565570),Bears ,13565570,DST,3000,NO@CHI 10/20/2019 04:25PM ET,CHI,11.2,#N/A,,,Jaron Brown,1400,1400,220
RB,Derek Watt (13565126),Derek Watt,13565126,RB/FLEX,3000,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.08,2200,,,Marquise Brown,1600,1600,250
WR,Travis Benjamin (13565388),Travis Benjamin,13565388,WR/FLEX,3000,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.8,#N/A,,,Luke Willson,1800,1800,300
WR,Darius Jennings (13565390),Darius Jennings,13565390,WR/FLEX,3000,LAC@TEN 10/20/2019 04:05PM ET,TEN,0.62,2200,,,Russell Wilson,2000,2000,300
RB,Kyle Juszczyk (13565124),Kyle Juszczyk,13565124,RB/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,SF,3.55,#N/A,,,Willie Snead IV,2200,2200,325
WR,Kelvin Harmon (13565382),Kelvin Harmon,13565382,WR/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,WAS,1.95,900,,,Any Other Seattle Seahawks Player,2200,2200,375
WR,Richie James Jr. (13565384),Richie James Jr.,13565384,WR/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,SF,3.16,#N/A,,,Miles Boykin,2800,2800,450
WR,Kendrick Bourne (13565386),Kendrick Bourne,13565386,WR/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,SF,2.6,950,,,Gus Edwards,2800,2800,450
RB,D.J. Foster (13565122),D.J. Foster,13565122,RB/FLEX,3000,ARI@NYG 10/20/2019 01:00PM ET,ARI,0,2200,,,Any Other Baltimore Ravens Player,2800,2800,450
WR,Trent Sherfield (13565378),Trent Sherfield,13565378,WR/FLEX,3000,ARI@NYG 10/20/2019 01:00PM ET,ARI,1.77,850,,,Rashaad Penny,3300,3300,550
WR,Cody Core (13565380),Cody Core,13565380,WR/FLEX,3000,ARI@NYG 10/20/2019 01:00PM ET,NYG,0.97,2200,,,Hayden Hurst,3300,3300,550
RB,Taiwan Jones (13565116),Taiwan Jones,13565116,RB/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,Seth Roberts,3500,3500,600
RB,Buddy Howell (13565118),Buddy Howell,13565118,RB/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,Nick Boyle,4000,4000,700
RB,Cullen Gillaspia (13565120),Cullen Gillaspia,13565120,RB/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,David Moore,4500,4500,850
WR,Ashton Dulin (13565374),Ashton Dulin,13565374,WR/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,IND,0,2200,,,Justice Hill,4500,4500,800
WR,Devin Funchess (13565376),Devin Funchess,13565376,WR/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,IND,6.2,#N/A,,,Chris Moore,7500,7500,1400
DST,Texans  (13565569),Texans ,13565569,DST,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,7.33,#N/A,,,C.J. Prosise,8000,8000,1400
RB,Danny Vitale (13565114),Danny Vitale,13565114,RB/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,GB,1.57,#N/A,,,Patrick Ricard,8000,8000,1400
WR,Dwayne Harris (13565366),Dwayne Harris,13565366,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,OAK,0.85,1000,,,Jacob Hollister,8000,8000,1400
WR,Keelan Doss (13565368),Keelan Doss,13565368,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,OAK,1.38,800,,,Gary Jennings,10000,10000,2200
WR,Jalin Marshall (13565370),Jalin Marshall,13565370,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,OAK,0,#N/A,,,Malik Turner,10000,10000,2200
WR,Allen Lazard (13565372),Allen Lazard,13565372,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,GB,2.75,220,,,John Ursua,10000,10000,2200
RB,Ameer Abdullah (13565104),Ameer Abdullah,13565104,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,1.13,1400,,,Nick Bellore,10000,10000,2200
RB,Mike Boone (13565106),Mike Boone,13565106,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,0.47,2200,,,Travis Homer,10000,10000,2200
RB,C.J. Ham (13565108),C.J. Ham,13565108,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,0.98,2200,,,Jaleel Scott,10000,10000,2200
RB,J.D. McKissic (13565110),J.D. McKissic,13565110,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,DET,3.44,600,,,Alvin Kamara,550,550,110
RB,Nick Bawden (13565112),Nick Bawden,13565112,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,DET,0.88,2200,,,David Montgomery,700,700,135
WR,Olabisi Johnson (13565362),Olabisi Johnson,13565362,WR/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,3.07,800,,,Allen Robinson II,700,700,130
WR,Laquon Treadwell (13565364),Laquon Treadwell,13565364,WR/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,0.83,1200,,,Latavius Murray,700,700,140
