Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Rafael Nadal (14349624),Rafael Nadal,14349624,P,11200,Andujar@Nadal 02/25/2020 08:20PM ET,Nadal,70.39,0.963606286186931,0,-2500,-3000,-2500,0.961538461538462,0.967741935483871,0.961538461538462,1
P,Shelby Rogers (14349623),Shelby Rogers,14349623,P,10200,Volynets@Rogers 02/25/2020 07:45PM ET,Rogers,34.43,0.844853214418432,0,-590,-550,-500,0.855072463768116,0.846153846153846,0.833333333333333,0
P,Alexander Zverev (14349622),Alexander Zverev,14349622,P,10000,Zverev@Jung 02/25/2020 07:00PM ET,Zverev,69.32,0.842657342657343,0,-560,-550,-500,0.848484848484848,0.846153846153846,0.833333333333333,1
P,John Isner (14349621),John Isner,14349621,P,9800,Zverev@Isner 02/25/2020 08:55PM ET,Isner,55.39,0.772476506844617,0,-335,-360,-325,0.770114942528736,0.782608695652174,0.764705882352941,1
P,Grigor Dimitrov (14349620),Grigor Dimitrov,14349620,P,9700,Dimitrov@Dzumhur 02/25/2020 05:00PM ET,Dimitrov,47.25,0.771654479519648,0,-345,-320,-350,0.775280898876405,0.761904761904762,0.777777777777778,1
P,Sloane Stephens (14349619),Sloane Stephens,14349619,P,9600,Zarazua@Stephens 02/25/2020 07:40PM ET,Stephens,30.97,0.748738543919267,0,-315,-290,-290,0.759036144578313,0.743589743589744,0.743589743589744,0
P,Lin Zhu (14349618),Lin Zhu,14349618,P,9500,Zavatska@Zhu 02/25/2020 05:00PM ET,Zhu,37.17,0.699807438937874,0,-225,-245,-230,0.692307692307692,0.710144927536232,0.696969696969697,1
P,Nick Kyrgios (14349617),Nick Kyrgios,14349617,P,9400,Humbert@Kyrgios 02/25/2020 11:00PM ET,Kyrgios,64.7,0.710104331587708,0,-250,-245,-240,0.714285714285714,0.710144927536232,0.705882352941176,0
P,Felix Auger-Aliassime (14349616),Felix Auger-Aliassime,14349616,P,9200,Auger-Aliassime@Bolt 02/25/2020 06:20PM ET,Auger-Aliassime,57.74,0.675541901348353,0,-215,-210,-200,0.682539682539683,0.67741935483871,0.666666666666667,1
P,Caroline Dolehide (14349615),Caroline Dolehide,14349615,P,9000,Dolehide@Arconada 02/25/2020 08:45PM ET,Dolehide,0,0.660567675346,0,-200,-194,-190,0.666666666666667,0.659863945578231,0.655172413793103,1
P,Leylah Annie Fernandez (14349614),Leylah Annie Fernandez,14349614,P,8800,Stojanovic@Fernandez 02/25/2020 06:15PM ET,Fernandez,13.9,0.647031372383485,0,-186,-184,-180,0.65034965034965,0.647887323943662,0.642857142857143,1
P,Soonwoo Kwon (14349613),Soonwoo Kwon,14349613,P,8600,Kwon@Daniel 02/25/2020 05:00PM ET,Kwon,49.58,0.655172413793103,0,,-190,,,0.655172413793103,,1
P,Radu Albot (14349612),Radu Albot,14349612,P,8500,Martinez@Albot 02/25/2020 05:00PM ET,Albot,32.15,0.599982932240997,0,-148,-152,-150,0.596774193548387,0.603174603174603,0.6,0
