Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS
P,Roger Federer (13546265),Roger Federer,13546265,P,10200,Federer@Goffin 10/10/2019 06:30AM ET,Federer,69.01,-430,0,-435,-480,-375
P,Dominic Thiem (13546263),Dominic Thiem,13546263,P,10000,Thiem@Basilashvili 10/10/2019 05:30AM ET,Thiem,57.71,-403,0,-400,-410,-400
P,Ekaterina Alexandrova (13546269),Ekaterina Alexandrova,13546269,P,9700,Siegemund@Alexandrova 10/10/2019 08:00AM ET,Alexandrova,47,-325,0,-335,-340,-300
P,Donna Vekic (13546273),Donna Vekic,13546273,P,9200,Vekic@Mladenovic 10/10/2019 10:00AM ET,Vekic,55.39,-223,0,-215,-225,-230
P,Kiki Bertens (13546275),Kiki Bertens,13546275,P,8900,Van Uytvanck@Bertens 10/10/2019 12:30PM ET,Bertens,56.3,-169,0,-165,-176,-165
P,Alexander Zverev (13546267),Alexander Zverev,13546267,P,8700,Rublev@Zverev 10/10/2019 07:50AM ET,Zverev,52.79,-174,0,-177,-180,-165
P,Anastasia Pavlyuchenkova (13546271),Anastasia Pavlyuchenkova,13546271,P,8300,Kuzmova@Pavlyuchenkova 10/10/2019 08:15AM ET,Pavlyuchenkova,44.25,-182,0,-195,-176,-175
P,Alize Cornet (13546278),Alize Cornet,13546278,P,7900,Ostapenko@Cornet 10/10/2019 01:45PM ET,Cornet,49.12,-124,0,-124,-118,-130
P,Jelena Ostapenko (13546277),Jelena Ostapenko,13546277,P,7400,Ostapenko@Cornet 10/10/2019 01:45PM ET,Ostapenko,32.9,33,0,100,-112,110
P,Viktoria Kuzmova (13546272),Viktoria Kuzmova,13546272,P,7100,Kuzmova@Pavlyuchenkova 10/10/2019 08:15AM ET,Kuzmova,43.02,147,0,155,130,155
P,Andrey Rublev (13546268),Andrey Rublev,13546268,P,6800,Rublev@Zverev 10/10/2019 07:50AM ET,Rublev,51.55,146,0,140,154,145
P,Alison Van Uytvanck (13546276),Alison Van Uytvanck,13546276,P,6600,Van Uytvanck@Bertens 10/10/2019 12:30PM ET,Van Uytvanck,50.7,136,0,133,130,145
P,Kristina Mladenovic (13546274),Kristina Mladenovic,13546274,P,6300,Vekic@Mladenovic 10/10/2019 10:00AM ET,Mladenovic,44.58,175,0,170,166,190
P,Laura Siegemund (13546270),Laura Siegemund,13546270,P,5700,Siegemund@Alexandrova 10/10/2019 08:00AM ET,Siegemund,37.74,245,0,250,235,250
P,Nikoloz Basilashvili (13546264),Nikoloz Basilashvili,13546264,P,5200,Thiem@Basilashvili 10/10/2019 05:30AM ET,Basilashvili,45.73,313,0,300,320,320
P,David Goffin (13546266),David Goffin,13546266,P,4800,Federer@Goffin 10/10/2019 06:30AM ET,Goffin,52.95,337,0,325,370,315
