Bianca Vanessa Andreescu,10200,0.7701149425287356,0.782608695652174,0.7647058823529411,Jennifer Brady,4800,0.28169014084507044,0.2564102564102564,0.273972602739726,1
Naomi Osaka,10000,0.7409326424870466,0.75,0.7297297297297297,Alison Riske,5000,0.3125,0.29411764705882354,0.30303030303030304,1
Caroline Wozniacki,9800,0.6875,0.7058823529411765,0.6875,Katerina Siniakova,5400,0.37037037037037035,0.33557046979865773,0.35714285714285715,1
Marin Cilic,9600,0.6923076923076923,0.6621621621621622,0.6875,Hyeon Chung,5200,0.36363636363636365,0.37593984962406013,0.35714285714285715,0
Jordan Thompson,9400,0.6774193548387096,0.6598639455782312,0.6551724137931034,Taro Daniel,5800,0.37735849056603776,0.3787878787878788,0.37735849056603776,0
Alexander Zverev,9200,0.6666666666666666,0.6621621621621622,0.6666666666666666,Felix Auger-Aliassime,6000,0.39215686274509803,0.37593984962406013,0.37037037037037035,1
John Millman,9000,0.6666666666666666,0.6551724137931034,0.6428571428571429,Lloyd Harris,6200,0.38461538461538464,0.38461538461538464,0.38461538461538464,1
Diego Sebastian Schwartzman,8800,0.6389891696750902,0.6402877697841727,0.6363636363636364,Sam Querrey,7200,0.4166666666666667,0.4,0.39215686274509803,0
Stefanos Tsitsipas,8600,0.6428571428571429,0.647887323943662,0.6296296296296297,Nikoloz Basilashvili,7000,0.411522633744856,0.3937007874015748,0.4,1
John Isner,8400,0.6254681647940075,0.635036496350365,0.6153846153846154,Daniel Evans,6400,0.4291845493562232,0.4032258064516129,0.4166666666666667,1
Ekaterina Alexandrova,8200,0.6078431372549019,0.5833333333333334,0.5833333333333334,Daria Kasatkina,7400,0.4444444444444444,0.45454545454545453,0.45454545454545453,0
David Goffin,8000,0.5689655172413793,0.5689655172413793,0.574468085106383,Denis Shapovalov,7600,0.4830917874396135,0.4672897196261682,0.46511627906976744,1
Novak Djokovic,10400,0.900990099009901,0.9230769230769231,0.9,Lucas Pouille,5000,0.14285714285714285,0.10869565217391304,0.13333333333333333,1
Caroline Wozniacki,9500,0.7014925373134329,0.6875,0.6875,Daria Kasatkina,6300,0.3508771929824561,0.352112676056338,0.35714285714285715,1
Dominic Thiem,9200,0.6875,0.7014925373134329,0.6875,Andy Murray,6500,0.36363636363636365,0.3401360544217687,0.35714285714285715,1
John Millman,9100,0.6875,0.6774193548387096,0.6875,Taro Daniel,6400,0.36363636363636365,0.3597122302158273,0.35714285714285715,1
David Goffin,8900,0.6666666666666666,0.6825396825396826,0.6666666666666666,Hyeon Chung,6600,0.38461538461538464,0.36231884057971014,0.37037037037037035,1
Elina Svitolina,8700,0.6503496503496503,0.6551724137931034,0.6428571428571429,Kiki Bertens,6700,0.4,0.38461538461538464,0.38461538461538464,0
Karen Khachanov,8600,0.6363636363636364,0.6428571428571429,0.6363636363636364,Fabio Fognini,6900,0.4166666666666667,0.3968253968253968,0.39215686274509803,1
Reilly Opelka,8500,0.6389891696750902,0.635036496350365,0.6226415094339622,Yasutaka Uchiyama,7000,0.4166666666666667,0.4032258064516129,0.40816326530612246,1
Bianca Vanessa Andreescu,8400,0.6183206106870229,0.5798319327731093,0.6,Naomi Osaka,7200,0.43478260869565216,0.45454545454545453,0.43478260869565216,0
Stefanos Tsitsipas,8300,0.5815899581589958,0.5798319327731093,0.6,John Isner,7400,0.4716981132075472,0.45871559633027525,0.43478260869565216,1
Petra Kvitova,7800,0.5283018867924528,0.5283018867924528,0.5454545454545454,Ashleigh Barty,7600,0.5283018867924528,0.9900990099009901,0.5,0
Roger Federer,10700,0.9090909090909091,0.9130434782608695,0.9,Albert Ramos-Vinolas,4200,0.13333333333333333,0.1282051282051282,0.13333333333333333,1
Daniil Medvedev,10400,0.893048128342246,0.8947368421052632,0.8888888888888888,Cameron Norrie,4400,0.14814814814814814,0.14925373134328357,0.14285714285714285,1
Anastasia Pavlyuchenkova,10100,0.8484848484848485,0.8666666666666667,0.8461538461538461,Barbara Haas,4800,0.19607843137254902,0.2,0.19047619047619047,1
Roger Federer,10200,0.8130841121495327,0.8275862068965517,0.7894736842105263,David Goffin,4800,0.23529411764705882,0.2127659574468085,0.24096385542168675,1
Dominic Thiem,10000,0.8,0.803921568627451,0.8,Nikoloz Basilashvili,5200,0.25,0.23809523809523808,0.23809523809523808,1
Ekaterina Alexandrova,9700,0.7701149425287356,0.7727272727272727,0.75,Laura Siegemund,5700,0.2857142857142857,0.29850746268656714,0.2857142857142857,1
Donna Vekic,9200,0.6825396825396826,0.6923076923076923,0.696969696969697,Kristina Mladenovic,6300,0.37037037037037035,0.37593984962406013,0.3448275862068966,0
Kiki Bertens,8900,0.6226415094339622,0.6376811594202898,0.6226415094339622,Alison Van Uytvanck,6600,0.4291845493562232,0.43478260869565216,0.40816326530612246,1
Alexander Zverev,8700,0.6389891696750902,0.6428571428571429,0.6226415094339622,Andrey Rublev,6800,0.4166666666666667,0.3937007874015748,0.40816326530612246,1
Anastasia Pavlyuchenkova,8300,0.6610169491525424,0.6376811594202898,0.6363636363636364,Viktoria Kuzmova,7100,0.39215686274509803,0.43478260869565216,0.39215686274509803,0
Alize Cornet,7900,0.5535714285714286,0.5412844036697247,0.5652173913043478,Jelena Ostapenko,7400,0.5,0.5283018867924528,0.47619047619047616,0
Daniel Evans,10100,0.7701149425287356,0.75,0.7777777777777778,Bernard Tomic,5700,0.2857142857142857,0.2898550724637681,0.2564102564102564,1
Kristyna Pliskova,9700,0.7409326424870466,0.7435897435897436,0.7368421052631579,Aliona Bolsova Zadoinov,5900,0.3125,0.30303030303030304,0.29411764705882354,1
